name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Sextant International Fund (SSIFX),Foreign Large Growth,7,16.77,1.03,0.86,0.76
Sit Small Cap Dividend Growth Fund Class I (SSCDX),Small Blend,7,21.76,0.80,0.83,0.90
T. Rowe Price Retirement 2045 Fund (TRRKX),Target-Date 2045,6,16.78,1.03,1.04,0.99
T. Rowe Price Target 2060 Fund (TRTFX),Target-Date 2060,6,16.81,1.03,1.01,0.99
Janus Henderson Global Select Fund Class I (JORFX),World Large-Stock Blend,6,20.37,0.85,1.13,0.96
ClearBridge Value Trust Class A (LGVAX),Large Value,6,24.39,0.71,1.19,0.95
Matthew 25 Fund (MXXVX),Large Blend,6,27.21,0.63,1.33,0.81
The Hartford MidCap Fund Class A (HFMCX),Mid-Cap Growth,6,22.11,0.78,0.92,0.94
AlphaCentric Robotics and Automation Fund Class I (GNXIX),World Small/Mid Stock,7,23.01,0.75,1.08,0.74
American Century International Growth Fund Investor Class (TWIEX),Foreign Large Growth,7,16.75,1.03,0.93,0.89
Franklin International Growth Fund Class C (FNGDX),Foreign Large Growth,7,20.78,0.83,1.08,0.78
AQR Small Cap Momentum Style Fund Class I (ASMOX),Small Growth,7,23.86,0.72,0.93,0.93
Columbia Large Cap Enhanced Core Fund Class A (NMIAX),Large Blend,6,19.01,0.91,1.03,0.99
Madison Investors Fund Class A (MNVAX),Large Blend,6,17.23,1.00,0.90,0.94
Virtus AllianzGI Health Sciences Fund Class C (RCGHX),Health,7,15.31,1.13,1.02,0.95
BlackRock Advantage Small Cap Core Fund Institutional Shares (BDSIX),Small Blend,7,25.33,0.68,1.02,0.99
Voya Corporate Leaders 100 Fund Class I (VYCCX),Large Value,6,19.06,0.90,1.01,0.96
Miller Opportunity Trust Class I (LMNOX),Mid-Cap Blend,6,37.15,0.46,1.79,0.79
PSI Strategic Growth Fund Class A Shares (FXSAX),Tactical Allocation,6,20.38,0.84,0.92,0.69
Wells Fargo Diversified Equity Fund - Class A (NVDAX),Large Blend,6,19.41,0.89,,
PGIM Jennison Rising Dividend Fund- Class C (PJDCX),Large Blend,6,17.23,1.00,0.90,0.94
Putnam Focused Equity Fund Class C (PGIEX),Large Growth,6,20.26,0.86,1.06,0.93
Neuberger Berman Sustainable Equity Fund Class A (NRAAX),Large Blend,6,18.58,0.93,0.99,0.96
Cohen & Steers Institutional Realty Shares (CSRIX),Real Estate,8,18.31,0.94,0.97,0.99
Eaton Vance Tax-Managed Global Dividend Income Fund Class I (EIDIX),World Large-Stock Blend,6,18.63,0.92,1.03,0.98
Hartford Small Cap Growth Fund Class C (HSLCX),Small Growth,7,24.46,0.70,0.98,0.96
Lord Abbett Alpha Strategy Fund Class A (ALFAX),Small Growth,7,23.44,0.73,0.93,0.97
MainStay Candriam Emerging Markets Equity Fund Class I (MCYIX),Diversified Emerging Mkts,8,19.41,0.88,1.02,0.95
Meridian Contrarian Fund Class C (MFCCX),Mid-Cap Blend,6,24.92,0.69,1.04,0.97
Virtus KAR International Small-Mid Cap Fund Class A (VISAX),Foreign Small/Mid Growth,7,20.01,0.86,0.98,0.89
Invesco Oppenheimer International Growth Fund Class A (OIGAX),Foreign Large Growth,7,17.42,0.98,0.97,0.90
Lazard US Equity Concentrated Portfolio Institutional Shares (LEVIX),Large Blend,6,17.98,0.95,0.94,0.92
EP Emerging Markets Small Companies Fund Class I (EPEIX),Diversified Emerging Mkts,8,20.09,0.85,0.85,0.89
MFS Low Volatility Equity Fund Class I (MLVHX),Large Blend,6,16.39,1.05,0.85,0.91
Neuberger Berman International Small Cap Fund Class A (NIOAX),Foreign Small/Mid Growth,7,18.19,0.94,0.89,0.92
AQR Risk-Balanced Commodities Strategy Fund Class I (ARCIX),Commodities Broad Basket,9,19.10,0.90,1.12,0.80
American Funds 2055 Target Date Retirement Fund® Class A (AAMTX),Target-Date 2055,6,15.48,1.11,0.91,0.99
BNY Mellon Global Stock Fund - Class C (DGLCX),World Large-Stock Growth,6,15.93,1.09,0.86,0.94
Madison Mid Cap Fund Class Y (GTSGX),Mid-Cap Blend,6,19.41,0.88,0.86,0.92
Thornburg Global Opportunities Fund Class A (THOAX),World Large-Stock Blend,6,21.23,0.79,1.15,0.91
Carillon Scout Small Cap Fund Class I (UMBHX),Small Growth,7,25.60,0.67,1.02,0.94
Invesco Charter Fund Class C (CHTCX),Large Blend,6,18.76,0.91,0.98,0.98
The Hartford Capital Appreciation Fund Class C (HCACX),Large Blend,6,19.17,0.89,0.98,0.96
Eaton Vance Atlanta Capital Select Equity Fund Class C (ESECX),Large Growth,6,17.12,1.00,0.83,0.84
Eaton Vance Worldwide Health Sciences Fund Class I (EIHSX),Health,7,14.83,1.15,0.99,0.96
Fidelity® Select FinTech Portfolio (FSVLX),Financial,7,29.99,0.57,1.38,0.72
Janus Henderson Global Select Fund Class T (JORNX),World Large-Stock Blend,6,20.37,0.84,1.13,0.96
American Funds 2060 Target Date Retirement Fund® Class A (AANTX),Target-Date 2060,6,15.48,1.10,0.91,0.99
American Funds 2060 Target Date Retirement Fund® Class F-1 (FAWTX),Target-Date 2060,6,15.44,1.11,0.91,0.99
Fidelity® Small Cap Value Fund (FCPVX),Small Value,7,25.11,0.68,0.94,0.97
Janus Henderson Global Life Sciences Fund Class I (JFNIX),Health,7,16.88,1.01,1.05,0.83
Thornburg Global Opportunities Fund Class I (THOIX),World Large-Stock Blend,6,21.28,0.80,1.15,0.91
American Funds 2050 Target Date Retirement Fund® Class A (AALTX),Target-Date 2050,6,15.44,1.11,0.92,0.99
American Funds 2055 Target Date Retirement Fund® Class F-1 (FAJTX),Target-Date 2055,6,15.44,1.11,0.91,0.99
Neuberger Berman Real Estate Fund Trust Class (NBRFX),Real Estate,8,16.53,1.03,0.87,0.97
Chase Growth Fund Class Institutional (CHAIX),Large Growth,6,17.98,0.95,0.95,0.94
Guggenheim RBP® Large-Cap Market Fund Class C (TVMCX),Large Growth,6,21.06,0.81,,
T. Rowe Price Asia Opportunities Fund (TRAOX),Pacific/Asia ex-Japan Stk,8,17.49,0.98,0.96,0.92
American Funds 2050 Target Date Retirement Fund® Class F-1 (FAITX),Target-Date 2050,6,15.44,1.10,0.92,0.99
Buffalo Dividend Focus Fund Institutional Class (BUIDX),Large Blend,6,17.82,0.96,,
ClearBridge Dividend Strategy Fund Class I (SOPYX),Large Blend,6,17.69,0.96,0.94,0.96
Cohen & Steers Realty Shares Fund Class I (CSJIX),Real Estate,8,18.38,0.93,0.97,0.99
Dunham Real Estate Stock Fund Class N (DNREX),Real Estate,8,17.51,0.97,,
MainStay MacKay International Equity Fund Class A (MSEAX),Foreign Large Growth,7,16.73,1.02,0.93,0.89
Alger Health Sciences Fund Class C (AHSCX),Health,7,18.19,0.94,0.70,0.51
T. Rowe Price Target 2055 Fund (TRFFX),Target-Date 2055,6,16.38,1.04,0.99,0.99
iShares Russell Small/Mid-Cap Index Fund Investor A Shares (BSMAX),Small Blend,7,23.60,0.72,1.00,1.00
"BlackRock Advantage SMID Cap Fund, Inc.Institutional Shares (MASPX)",Mid-Cap Blend,6,18.89,0.90,0.76,0.91
Invesco Main Street Small Cap Fund Class A (OSCAX),Small Blend,7,24.59,0.69,,
PGIM QMA Large-Cap Core Equity Fund- Class Z (PTEZX),Large Blend,6,19.65,0.87,1.06,0.98
TIAA-CREF Real Estate Securities Fund Retail Class (TCREX),Real Estate,8,17.09,1.00,0.90,0.98
Goldman Sachs Emerging Markets Equity Fund Class C (GEMCX),Diversified Emerging Mkts,8,18.91,0.90,1.00,0.96
AlphaCentric Robotics and Automation Fund Class A (GNXAX),World Small/Mid Stock,7,23.08,0.74,1.08,0.74
Hodges Blue Chip Equity Income Fund Retail Class (HDPBX),Large Blend,6,19.67,0.86,1.02,0.96
Calvert Growth Allocation Fund Class A (CAAAX),Allocation--85%+ Equity,6,16.79,1.01,0.87,0.98
Eaton Vance Dividend Builder Fund Class I (EIUTX),Large Blend,6,18.06,0.94,0.97,0.98
EuroPac Gold Fund Class I (EPGIX),Equity Precious Metals,8,36.85,0.46,,
Principal Strategic Asset Management Strategic Growth Fund Institutional Class (PSWIX),Allocation--85%+ Equity,6,17.56,0.97,0.90,0.98
Goldman Sachs ESG Emerging Markets Equity Fund Class C Shares (GEBCX),Diversified Emerging Mkts,8,19.24,0.88,1.02,0.96
Janus Henderson Growth And Income Fund Class I (JGINX),Large Blend,6,18.26,0.93,0.97,0.96
MFS Blended Research Core Equity Fund Class C (MUECX),Large Blend,6,19.21,0.88,1.04,0.99
Neuberger Berman Multi-Cap Opportunities Fund Class A (NMUAX),Large Blend,6,20.41,0.83,1.09,0.96
AQR Small Cap Momentum Style Fund Class N (ASMNX),Small Growth,7,23.85,0.71,0.93,0.93
Calvert International Equity Fund Class C (CWVCX),Foreign Large Growth,7,16.24,1.04,0.92,0.94
Chase Growth Fund Class N Shares (CHASX),Large Growth,6,18.02,0.94,0.95,0.94
Kopernik International Fund Class I (KGIIX),Foreign Large Value,6,18.20,0.93,0.85,0.62
American Century Global Gold Fund Investor Class (BGEIX),Equity Precious Metals,8,34.86,0.49,0.77,0.16
American Century International Growth Fund A Class (TWGAX),Foreign Large Growth,7,16.77,1.01,0.93,0.89
American Funds Fundamental Investors® Class A (ANCFX),Large Blend,6,18.02,0.94,0.96,0.97
BlackRock Advantage Small Cap Core Fund Investor A Shares (BDSAX),Small Blend,7,25.37,0.67,1.02,0.99
Columbia Disciplined Core Fund Class A (AQEAX),Large Blend,6,18.88,0.90,1.01,0.98
Hennessy Cornerstone Mid Cap 30 Fund Institutional Class (HIMDX),Mid-Cap Blend,6,29.13,0.58,1.38,0.76
AQR Risk-Balanced Commodities Strategy Fund Class N (ARCNX),Commodities Broad Basket,9,19.05,0.89,1.11,0.80
Eaton Vance Atlanta Capital SMID-Cap Fund Class I (EISMX),Mid-Cap Growth,6,21.50,0.79,0.85,0.89
Eaton Vance Tax-Managed Global Dividend Income Fund Class A (EADIX),World Large-Stock Blend,6,18.61,0.91,1.03,0.98
Haverford Quality Growth Stock Fund (HAVGX),Large Blend,6,19.01,0.89,1.01,0.95
Miller Opportunity Trust Class A (LGOAX),Mid-Cap Blend,6,37.15,0.46,1.79,0.79
"Morgan Stanley Institutional Fund, Inc. Global Franchise Portfolio Class I (MSFAX)",World Large-Stock Blend,6,14.09,1.20,0.72,0.84
PGIM Select Real Estate Fund- Class C (SRECX),Global Real Estate,7,17.17,0.99,0.81,0.91
PIMCO RAE PLUS Small Fund Class A (PCFAX),Small Value,7,31.07,0.54,1.16,0.96
AQR Large Cap Defensive Style Fund Class I (AUEIX),Large Blend,6,16.26,1.04,0.83,0.94
Columbia Acorn International Select Fund Class A (LAFAX),Foreign Large Growth,7,19.99,0.85,1.21,0.87
Goldman Sachs U.S. Equity Insights Fund Class C (GSUSX),Large Blend,6,19.00,0.89,1.02,0.98
Gotham Enhanced S&P 500 Index Fund Institutional Class (GSPFX),Large Blend,6,17.78,0.95,0.96,0.98
The Hartford Healthcare Fund Class C (HGHCX),Health,7,16.96,1.00,1.01,0.87
Buffalo Dividend Focus Fund (BUFDX),Large Blend,6,17.82,0.95,,
Delaware Ivy Global Growth Fund Class A (IVINX),World Large-Stock Growth,6,18.35,0.92,1.01,0.97
Fidelity Asset Manager® 85% (FAMRX),Allocation--85%+ Equity,6,16.38,1.03,0.87,0.96
Janus Henderson Global Life Sciences Fund Class T (JAGLX),Health,7,16.88,1.00,1.05,0.83
Jensen Quality Value Fund Class J (JNVSX),Mid-Cap Value,6,19.46,0.87,0.87,0.94
Wells Fargo Common Stock Fund - Class Admin (SCSDX),Mid-Cap Blend,6,24.64,0.69,1.02,0.96
American Funds Fundamental Investors® Class F-1 (AFIFX),Large Blend,6,18.01,0.94,0.96,0.97
John Hancock Funds Multimanager 2060 Lifetime Portfolio Class I (JMENX),Target-Date 2060,6,17.27,0.98,1.04,0.99
Sterling Capital Equity Income Fund Institutional Shares (BEGIX),Large Value,6,19.28,0.88,0.94,0.95
American Funds New World Fund® Class C (NEWCX),Diversified Emerging Mkts,8,17.57,0.96,0.95,0.90
Columbia Greater China Fund Class A (NGCAX),China Region,8,21.48,0.79,1.02,0.94
JPMorgan Investor Growth Fund Class I (ONIFX),Allocation--85%+ Equity,6,16.75,1.01,0.86,0.98
Neuberger Berman Real Estate Fund Class A (NREAX),Real Estate,8,16.53,1.02,0.87,0.97
13D Activist Fund Class I (DDDIX),Mid-Cap Blend,6,24.73,0.68,1.02,0.95
ERShares Global Fund™ Institutional Class (ENTIX),World Large-Stock Growth,6,22.47,0.75,1.04,0.69
MFS Low Volatility Equity Fund Class A (MLVAX),Large Blend,6,16.37,1.03,0.85,0.91
Rydex Basic Materials Fund Class Investor (RYBIX),Natural Resources,8,23.59,0.72,1.16,0.81
Voya Corporate Leaders 100 Fund Class A (VYCAX),Large Value,6,19.05,0.89,1.01,0.96
Ariel Fund Institutional Class (ARAIX),Mid-Cap Value,6,27.57,0.61,1.08,0.98
EP Emerging Markets Small Companies Fund Class A (EPASX),Diversified Emerging Mkts,8,20.11,0.84,0.85,0.89
Fidelity® Multi-Asset Income Fund (FMSDX),Allocation--50% to 70% Equity,5,10.61,1.59,0.03,0.00
John Hancock Funds II Multimanager 2045 Lifetime Portfolio Class I (JHROX),Target-Date 2045,6,17.23,0.98,1.07,0.99
Meridian Growth Fund® A Class (MRAGX),Small Growth,7,24.30,0.69,1.00,0.91
American Funds 2045 Target Date Retirement Fund® Class A (AAHTX),Target-Date 2045,6,15.18,1.11,0.91,0.99
Carillon Scout Small Cap Fund Class A (CSSAX),Small Growth,7,25.59,0.66,1.02,0.94
John Hancock Funds Multimanager 2050 Lifetime Portfolio Class I (JHRPX),Target-Date 2050,6,17.17,0.98,1.04,0.99
Lazard US Equity Concentrated Portfolio Open Shares (LEVOX),Large Blend,6,17.98,0.94,0.94,0.92
Invesco Small Cap Equity Fund Class C (SMECX),Small Blend,7,24.00,0.70,0.95,0.95
John Hancock Funds Multimanager 2055 Lifetime Portfolio Class I (JHRTX),Target-Date 2055,6,17.25,0.98,1.04,0.99
Virtus KAR Small-Cap Value Fund Class C (PQSCX),Small Growth,7,21.13,0.80,0.74,0.85
Fidelity® Small Cap Discovery Fund (FSCRX),Small Blend,7,26.61,0.63,1.03,0.91
Fidelity ZEROSM Extended Market Index Fund (FZIPX),Mid-Cap Blend,6,24.50,0.69,1.00,1.00
The Hartford Dividend and Growth Fund Class Y (HDGYX),Large Value,6,18.15,0.93,0.96,0.94
Goldman Sachs Mid Cap Value Fund Class A (GCMAX),Mid-Cap Blend,6,21.30,0.79,0.92,0.99
American Funds 2045 Target Date Retirement Fund® Class F-1 (FATTX),Target-Date 2045,6,15.18,1.11,0.91,0.99
Calvert Global Water Fund Class C (CFWCX),Natural Resources,8,17.92,0.94,,
Dana Epiphany ESG Equity Fund Institutional Class Shares (ESGIX),Large Blend,6,18.93,0.89,1.01,0.98
Eaton Vance Worldwide Health Sciences Fund Class A (ETHSX),Health,7,14.81,1.14,0.99,0.96
Vanguard Small-Cap Index Fund Admiral Shares (VSMAX),Small Blend,7,23.84,0.71,1.00,1.00
Fidelity® Diversified International Fund (FDIVX),Foreign Large Growth,7,15.65,1.07,0.88,0.91
John Hancock Funds II Multimanager Lifestyle Aggressive Portfolio Class I (JTAIX),Allocation--85%+ Equity,6,18.28,0.92,0.96,0.94
Nuveen Small Cap Select Fund Class C (FHMCX),Small Blend,7,25.33,0.66,0.99,0.94
Pacific Funds Portfolio Optimization Aggressive-Growth Fund Class A (POEAX),Allocation--85%+ Equity,6,18.61,0.90,0.99,0.96
Terra Firma US Concentrated Realty Equity Fund Institutional Class Shares (TFRIX),Real Estate,8,18.50,0.91,,
Janus Henderson Growth And Income Fund Class T (JAGIX),Large Blend,6,18.26,0.92,0.97,0.96
T. Rowe Price Global Consumer Fund (PGLOX),Consumer Defensive,5,16.70,1.01,,
"BlackRock Emerging Markets Fund, Inc. Institutional Shares (MADCX)",Diversified Emerging Mkts,8,19.33,0.87,1.01,0.95
DWS Core Equity Fund - Class C (SUWCX),Large Blend,6,18.86,0.89,0.99,0.99
MainStay WMC Enduring Capital Fund Class C (MGOCX),Large Blend,6,19.31,0.87,1.04,0.98
The Hartford Dividend and Growth Fund Class I (HDGIX),Large Value,6,18.17,0.92,0.96,0.94
PGIM QMA Large-Cap Core Equity Fund- Class A (PTMAX),Large Blend,6,19.67,0.85,1.06,0.98
PGIM US Real Estate Fund- Class C (PJECX),Real Estate,8,19.03,0.88,0.91,0.96
Fuller & Thaler Behavioral Small-Cap Equity Fund Institutional Shares (FTHSX),Small Blend,7,21.40,0.78,0.82,0.89
Cohen & Steers Realty Shares Fund Class A (CSJAX),Real Estate,8,18.39,0.91,0.97,0.99
Hodges Fund Retail Class (HDPMX),Mid-Cap Blend,6,37.50,0.45,1.80,0.78
Sterling Capital Special Opportunities Fund Institutional Shares (BOPIX),Large Blend,6,21.72,0.77,1.09,0.93
TIAA-CREF Lifestyle Aggressive Growth Fund Retail Class (TSALX),Allocation--85%+ Equity,6,18.87,0.89,1.07,0.98
"BlackRock Advantage SMID Cap Fund, Inc.Investor A Shares (MDSPX)",Mid-Cap Blend,6,18.89,0.89,0.76,0.91
Dunham Real Estate Stock Fund Class A (DAREX),Real Estate,8,17.49,0.96,,
DWS International Growth Fund - Class Inst (SGQIX),Foreign Large Growth,7,17.72,0.94,1.00,0.91
Guggenheim Risk Managed Real Estate Fund Institutional (GURIX),Real Estate,8,14.26,1.17,0.64,0.84
Thompson MidCap Fund (THPMX),Mid-Cap Blend,6,28.56,0.59,1.26,0.92
American Century Equity Growth Fund C Class (AEYCX),Large Blend,6,17.72,0.94,0.95,0.98
Fidelity Freedom® Blend 2040 Fund (FHARX),Target-Date 2040,6,16.58,1.01,0.87,0.94
Fidelity® Overseas Fund (FOSFX),Foreign Large Growth,7,16.58,1.01,0.93,0.91
Hartford Schroders International Stock Fund Class C (HSWCX),Foreign Large Blend,6,17.41,0.96,1.00,0.95
Putnam Emerging Markets Equity Fund Class C (PEMZX),Diversified Emerging Mkts,8,17.95,0.93,0.92,0.91
Eaton Vance Tax-Managed Equity Asset Allocation Fund Class I (EIEAX),Allocation--85%+ Equity,6,18.22,0.92,0.95,0.99
Fidelity Freedom® Blend 2055 Fund (FHAOX),Target-Date 2055,6,16.56,1.01,0.87,0.94
SEI Catholic Values Trust Catholic Values Equity Fund Class F (CAVAX),Large Blend,6,20.03,0.84,1.03,0.98
T. Rowe Price Retirement 2040 Fund (TRRDX),Target-Date 2040,6,16.10,1.04,1.04,0.99
American Century Global Gold Fund A Class (ACGGX),Equity Precious Metals,8,34.83,0.48,0.78,0.16
Pear Tree Axiom Emerging Markets World Equity Fund Institutional Class (QEMAX),Diversified Emerging Mkts,8,18.32,0.91,0.96,0.95
RBC International Opportunities Fund Class I (RIOIX),Foreign Large Growth,7,19.18,0.87,1.11,0.95
Schwab Fundamental US Large Company Index Fund (SFLNX),Large Value,6,20.55,0.81,,
Camelot Event Driven Fund Institutional Class (EVDIX),Event Driven,4,21.90,0.76,0.98,0.68
Eaton Vance Dividend Builder Fund Class A (EVTMX),Large Blend,6,18.03,0.92,0.97,0.98
Fidelity Freedom® Blend 2050 Fund (FHAPX),Target-Date 2050,6,16.59,1.01,0.87,0.94
MFS Blended Research Mid Cap Equity Fund A (BMSFX),Mid-Cap Blend,6,21.02,0.79,0.96,0.98
Carillon Eagle Small Cap Growth Fund Class C (HSCCX),Small Growth,7,24.11,0.69,0.97,0.96
ClearBridge Dividend Strategy Fund Class A (SOPAX),Large Blend,6,17.70,0.94,0.94,0.96
Fidelity Freedom® Blend 2045 Fund (FHAQX),Target-Date 2045,6,16.54,1.01,0.87,0.94
Invesco Equally-Weighted S&P 500 Fund Class C (VADCX),Large Blend,6,21.02,0.76,1.10,0.93
Neuberger Berman Integrated Large Cap Fund Class C (NGQCX),Large Blend,6,18.25,0.91,0.95,0.98
Oakmark Global Select Fund Class Advisor (OAYWX),World Large-Stock Value,6,24.83,0.67,1.31,0.89
Olstein Strategic Opportunities Fund Class C (OFSCX),Small Value,7,29.08,0.57,1.12,0.96
Sit Balanced Fund (SIBAX),Allocation--50% to 70% Equity,5,12.28,1.36,0.41,0.01
Virtus AllianzGI Global Small-Cap Fund Institutional Class (DGSCX),World Small/Mid Stock,7,21.62,0.77,0.95,0.96
BNY Mellon Small Cap Multi-Strategy Fund Class Investor (MISCX),Small Growth,7,24.70,0.68,0.98,0.96
EuroPac Gold Fund Class A (EPGFX),Equity Precious Metals,8,36.87,0.45,,
Fidelity Freedom® Blend 2060 Fund (FHANX),Target-Date 2060,6,16.55,1.01,0.87,0.94
IMS Capital Value Fund (IMSCX),Large Blend,6,20.02,0.83,1.03,0.90
Virtus Duff & Phelps Real Estate Securities Fund Class I (PHRIX),Real Estate,8,19.04,0.88,0.92,0.98
Boston Trust Walden Small Cap Fund (BOSOX),Small Blend,7,19.95,0.84,0.76,0.89
Federated Hermes MDT Small Cap Growth Fund Class C Shares (QCSGX),Small Growth,7,25.21,0.66,1.01,0.96
Lazard Global Equity Select Portfolio Institutional Shares (GESIX),World Large-Stock Growth,6,15.50,1.07,0.86,0.96
Eaton Vance Atlanta Capital SMID-Cap Fund Class A (EAASX),Mid-Cap Growth,6,21.49,0.77,0.85,0.89
"Morgan Stanley Institutional Fund, Inc. Global Franchise Portfolio Class A (MSFBX)",World Large-Stock Blend,6,14.06,1.18,0.72,0.83
Tocqueville Fund (TOCQX),Large Blend,6,18.31,0.91,0.98,0.98
Madison Mid Cap Fund Class A (MERAX),Mid-Cap Blend,6,19.42,0.86,0.86,0.92
MFS Global Equity Fund Class I (MWEIX),World Large-Stock Blend,6,17.98,0.92,0.98,0.96
American Funds Investment Company of America® Class A (AIVSX),Large Blend,6,16.87,0.99,0.91,0.98
JPMorgan Investor Growth Fund Class A (ONGAX),Allocation--85%+ Equity,6,16.76,0.99,0.86,0.98
Sterling Capital Equity Income Fund Class A (BAEIX),Large Value,6,19.27,0.86,0.94,0.95
Thornburg Developing World Fund Class I (THDIX),Diversified Emerging Mkts,8,19.40,0.85,1.03,0.97
Touchstone Mid Cap Fund Institutional (TMPIX),Mid-Cap Blend,6,18.24,0.91,0.81,0.93
13D Activist Fund Class A (DDDAX),Mid-Cap Blend,6,24.74,0.67,1.02,0.95
AQR Large Cap Defensive Style Fund Class N (AUENX),Large Blend,6,16.28,1.02,0.83,0.94
Invesco Rising Dividends Fund Class A (OARDX),Large Blend,6,18.15,0.91,0.98,0.98
Neuberger Berman Dividend Growth Fund Class C (NDGCX),Large Blend,6,19.49,0.85,1.03,0.94
Principal Strategic Asset Management Strategic Growth Fund Class A (SACAX),Allocation--85%+ Equity,6,17.55,0.95,0.90,0.98
T. Rowe Price Target 2050 Fund (TRFOX),Target-Date 2050,6,15.77,1.05,0.96,0.99
Glenmede Strategic Equity Portfolio (GTCEX),Large Blend,6,19.79,0.84,1.02,0.94
Royce International Premier Fund Investment Class (RIPNX),Foreign Small/Mid Growth,7,18.45,0.90,0.86,0.87
Invesco Global Opportunities Fund Class A (OPGIX),World Small/Mid Stock,7,23.69,0.70,1.21,0.81
Rydex Basic Materials Fund Class A (RYBMX),Natural Resources,8,23.59,0.70,1.16,0.81
Rydex Basic Materials Fund Class H (RYBAX),Natural Resources,8,23.59,0.70,1.16,0.81
Goldman Sachs U.S. Tax-Managed Equity Fund Class C (GCTCX),Large Blend,6,19.59,0.85,1.01,0.98
John Hancock Emerging Markets Equity Fund Class I (JEMMX),Diversified Emerging Mkts,8,20.34,0.81,1.07,0.95
SouthernSun Small Cap Fund Class I (SSSIX),Small Blend,7,26.55,0.62,1.01,0.89
Aristotle/Saul Global Equity Fund Class I (ARSOX),World Large-Stock Blend,6,18.04,0.92,1.00,0.96
DWS Small Cap Core Fund - Class C (SZCCX),Small Blend,7,27.09,0.61,1.06,0.94
Longboard Alternative Growth Fund Class I (LONGX),Long-Short Equity,4,14.17,1.17,0.32,0.06
Oakmark Global Select Fund Investor Class (OAKWX),World Large-Stock Value,6,24.86,0.67,1.31,0.89
Timothy Plan Large/Mid Cap Value Fund Class I (TMVIX),Mid-Cap Blend,6,18.78,0.88,0.99,0.94
American Funds Investment Company of America® Class F-1 (AICFX),Large Blend,6,16.85,0.98,0.91,0.98
Hennessy Cornerstone Mid Cap 30 Fund Investor Class (HFMDX),Mid-Cap Blend,6,29.17,0.57,1.38,0.76
PIMCO RealEstateRealReturn Strategy Fund Class C (PETCX),Real Estate,8,21.29,0.78,1.00,0.98
Fidelity® Select Insurance Portfolio (FSPCX),Financial,7,21.33,0.77,0.98,0.71
Wells Fargo Common Stock Fund - Class Inst (SCNSX),Mid-Cap Blend,6,24.53,0.67,1.02,0.96
Fidelity Freedom® 2060 Fund (FDKVX),Target-Date 2060,6,16.53,1.00,0.87,0.93
PGIM Jennison Health Sciences Fund- Class Z (PHSZX),Health,7,22.15,0.75,1.17,0.69
Touchstone Mid Cap Fund Class Y (TMCPX),Mid-Cap Blend,6,18.25,0.90,0.81,0.93
Fidelity Freedom® 2040 Fund (FFFFX),Target-Date 2040,6,16.52,1.00,0.86,0.93
Principal LifeTime 2060 Fund Institutional Class (PLTZX),Target-Date 2060,6,17.80,0.93,1.07,0.99
Aberdeen Global Equity Fund Institutional Class (GWLIX),World Large-Stock Growth,6,16.59,0.99,0.92,0.96
American Funds 2040 Target Date Retirement Fund® Class A (AAGTX),Target-Date 2040,6,14.86,1.11,0.92,0.99
Ariel Fund Investor Class (ARGFX),Mid-Cap Value,6,27.55,0.60,1.08,0.98
ClearBridge International Growth Fund Class I (LMGNX),Foreign Large Growth,7,16.16,1.02,0.88,0.87
Fidelity Freedom® 2045 Fund (FFFGX),Target-Date 2045,6,16.60,0.99,0.87,0.93
Fidelity Freedom® 2050 Fund (FFFHX),Target-Date 2050,6,16.54,1.00,0.87,0.93
Fidelity Freedom® 2055 Fund (FDEEX),Target-Date 2055,6,16.58,0.99,0.87,0.93
John Hancock Funds II Multimanager 2045 Lifetime Portfolio Class A (JLJAX),Target-Date 2045,6,17.14,0.96,1.07,0.99
MainStay WMC Value Fund Class C (MMPCX),Large Value,6,20.91,0.79,1.03,0.96
Nuveen Large Cap Select Fund Class C (FLYCX),Large Blend,6,19.83,0.83,1.05,0.95
PIMCO RAE US Small Fund Class A (PMJAX),Small Value,7,28.55,0.58,1.06,0.96
Terra Firma US Concentrated Realty Equity Fund Open Class Shares (TFREX),Real Estate,8,18.46,0.89,,
Wells Fargo Small Company Growth Fund - Class C (WSMCX),Small Growth,7,24.70,0.67,0.99,0.95
"BlackRock Emerging Markets Fund, Inc. Investor A Shares (MDDCX)",Diversified Emerging Mkts,8,19.34,0.85,1.01,0.95
Fidelity® Puritan® Fund (FPURX),Allocation--50% to 70% Equity,5,12.39,1.33,0.66,0.96
Fidelity® Select Biotechnology Portfolio (FBIOX),Health,7,23.64,0.70,0.88,0.47
John Hancock Funds Multimanager 2055 Lifetime Portfolio Class A (JLKLX),Target-Date 2055,6,17.23,0.96,1.04,0.99
State Street Target Retirement 2060 Fund Class I (SSDWX),Target-Date 2060,6,16.03,1.03,0.85,0.95
U.S. Global Investors Global Resources Fund (PSPFX),Natural Resources,8,28.33,0.58,1.26,0.67
Goldman Sachs GQG Partners International Opportunities Fund Class C (GSILX),Foreign Large Growth,7,12.32,1.34,0.64,0.77
Sterling Capital Special Opportunities Fund Class A (BOPAX),Large Blend,6,21.73,0.76,1.09,0.93
The Hartford Dividend and Growth Fund Class A (IHGIX),Large Value,6,18.16,0.91,0.96,0.94
John Hancock Funds II Multimanager Lifestyle Aggressive Portfolio Class A (JALAX),Allocation--85%+ Equity,6,18.27,0.90,0.96,0.94
