name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Driehaus Small Cap Growth Fund Investor Class (DVSMX),Small Growth,7,25.70,1.39,1.01,0.91
American Century Investments Focused Dynamic Growth Fund I Class (ACFSX),Large Growth,6,22.77,1.57,1.10,0.89
Putnam Global Technology Fund Class C (PGTDX),Technology,7,21.40,1.67,0.96,0.86
Columbia Seligman Technology and Information Fund Class C (SCICX),Technology,7,23.39,1.52,1.04,0.85
Lord Abbett Growth Leaders Fund Class A (LGLAX),Large Growth,6,21.57,1.65,1.01,0.84
American Century Investments Focused Dynamic Growth Fund Investor Class (ACFOX),Large Growth,6,22.77,1.55,1.10,0.89
Wasatch Emerging Markets Select Fund Institutional Class Shares (WIESX),Diversified Emerging Mkts,8,21.32,1.65,1.02,0.79
Touchstone Sands Capital Select Growth Fund Class Y (CFSIX),Large Growth,6,20.75,1.69,0.97,0.84
American Century Investments Focused Dynamic Growth Fund A Class (ACFDX),Large Growth,6,22.77,1.54,1.10,0.89
Touchstone Sands Capital Select Growth Fund Institutional Class (CISGX),Large Growth,6,20.80,1.68,0.98,0.84
Firsthand Technology Opportunities Fund (TEFQX),Technology,7,28.54,1.22,1.07,0.48
Wasatch Emerging Markets Select Fund Investor Class Shares (WAESX),Diversified Emerging Mkts,8,21.29,1.64,1.02,0.79
Touchstone Sands Capital Select Growth Fund Class A (TSNAX),Large Growth,6,20.76,1.68,0.97,0.84
Touchstone Sands Capital Select Growth Fund Class Z (PTSGX),Large Growth,6,20.80,1.67,0.98,0.84
Fidelity® Blue Chip Growth Fund (FBGRX),Large Growth,6,21.56,1.61,1.07,0.94
PGIM Jennison Emerging Markets Equity Opportunities Fund- Class Z (PDEZX),Diversified Emerging Mkts,8,21.62,1.59,0.98,0.70
"Morgan Stanley Institutional Fund, Inc. Global Insight Portfolio Class I (MIGIX)",World Large-Stock Growth,6,25.35,1.36,1.17,0.66
PGIM Jennison Global Opportunities Fund-Class Z (PRJZX),World Large-Stock Growth,6,22.00,1.56,1.06,0.71
Baron WealthBuilder Fund Institutional Shares (BWBIX),Allocation--85%+ Equity,6,23.81,1.44,1.19,0.85
Janus Henderson Global Technology and Innovation Fund Class I (JATIX),Technology,7,19.22,1.78,0.97,0.86
PGIM Jennison Global Opportunities Fund-Class A (PRJAX),World Large-Stock Growth,6,22.00,1.55,1.06,0.72
PGIM Jennison Emerging Markets Equity Opportunities Fund- Class A (PDEAX),Diversified Emerging Mkts,8,21.66,1.57,0.98,0.70
Fidelity® Select Automotive Portfolio (FSAVX),Consumer Cyclical,7,28.34,1.20,1.37,0.80
PGIM Jennison Technology Fund Class Z (PGKZX),Technology,7,20.88,1.63,0.97,0.87
"Morgan Stanley Institutional Fund, Inc. Global Insight Portfolio Class A (MIGPX)",World Large-Stock Growth,6,25.34,1.34,1.17,0.66
Janus Henderson Global Technology and Innovation Fund Class T (JAGTX),Technology,7,19.22,1.77,0.97,0.86
Baron WealthBuilder Fund Retail Shares (BWBFX),Allocation--85%+ Equity,6,23.80,1.42,1.19,0.85
Touchstone Sands Capital Select Growth Fund Class C (TSNCX),Large Growth,6,20.77,1.62,0.97,0.84
PGIM Jennison International Opportunities Fund- Class Z (PWJZX),Foreign Large Growth,7,17.76,1.90,0.83,0.63
Franklin DynaTech Fund Class A (FKDNX),Large Growth,6,20.23,1.65,0.97,0.88
Matthews Asia Innovators Fund Institutional Class Shares (MITEX),Pacific/Asia ex-Japan Stk,8,21.71,1.54,1.10,0.79
ClearBridge Select Fund Class I (LBFIX),Mid-Cap Growth,6,22.79,1.47,1.08,0.83
PGIM Jennison International Opportunities Fund- Class A (PWJAX),Foreign Large Growth,7,17.77,1.88,0.83,0.63
Virtus AllianzGI Mid-Cap Growth Fund Institutional Class (DRMCX),Mid-Cap Growth,6,21.81,1.53,1.00,0.94
Matthews Asia Innovators Fund Investor Class Shares (MATFX),Pacific/Asia ex-Japan Stk,8,21.71,1.53,1.10,0.79
Needham Growth Fund Institutional Class (NEEIX),Mid-Cap Growth,6,20.68,1.61,1.01,0.80
Delaware Small Cap Growth Fund Class A (DSGDX),Small Growth,7,28.06,1.18,1.07,0.86
PGIM Jennison Emerging Markets Equity Opportunities Fund- Class C (PDECX),Diversified Emerging Mkts,8,21.66,1.53,0.98,0.70
ClearBridge Select Fund Class A (LCLAX),Mid-Cap Growth,6,22.81,1.45,1.08,0.83
Fidelity® Select Construction and Housing Portfolio (FSHOX),Consumer Cyclical,7,23.09,1.43,1.14,0.83
Virtus AllianzGI Mid-Cap Growth Fund Class A (RMDAX),Mid-Cap Growth,6,21.85,1.51,1.00,0.94
PGIM Jennison Global Opportunities Fund-Class C (PRJCX),World Large-Stock Growth,6,21.99,1.50,1.06,0.71
Quantified STF Fund Investor Class (QSTFX),Tactical Allocation,6,27.98,1.17,,
Virtus KAR Mid-Cap Growth Fund Class I (PICMX),Mid-Cap Growth,6,21.92,1.50,0.97,0.87
Needham Growth Fund Retail Class (NEEGX),Mid-Cap Growth,6,20.67,1.58,1.01,0.80
Artisan Mid Cap Fund Advisor Class (APDMX),Mid-Cap Growth,6,20.48,1.59,0.83,0.77
