rank,school,type,grades,address,city,zip,county,district,year
1014,G.H. Carson Elementary School,Public,"PK, KG-3",4150 Garfield Avenue,Pennsauken,08109,Camden County,Pennsauken Township Board of Education School District,2018
1015,Park Avenue Elementary School,Public,3-5,280 Park Ave.,Freehold,07728,Monmouth County,Freehold Borough School District,2018
1016,Hurden Looker School,Public,2-6,1261 Liberty Ave,Hillside,07205,Union County,Hillside Public School District,2018
1017,Number 2,Public,"PK, KG-5",1700 South Wood Avenue,Linden,07036,Union County,Linden Public School District,2018
1018,Hope Academy Charter School,"Public, Charter",K-8,601 Grand Avenue,Asbury Park,07712,Monmouth County,Hope Academy Charter School,2018
1019,Paul Robeson Community School for the Arts,Public,"PK, KG-8",199 Commercial Ave,New Brunswick,08901,Middlesex County,New Brunswick School District,2018
1020,East End School,Public,"PK, KG-4",170 Oneida Avenue,North Plainfield,07060,Somerset County,North Plainfield School District,2018
1021,Tuckerton Elementary School,Public,"PK, KG-6",Marine Street,Tuckerton,08087,Ocean County,Tuckerton Borough School District,2018
1022,East Newark Elementary School,Public,"PK, KG-5",501  11 North Third Street,East Newark,07029,Hudson County,East Newark School District,2018
1023,School #17,Public,"PK, KG-5",361 Lexington Avenue,Clifton,07011,Passaic County,Clifton Public School District,2018
1024,Thomas A Edison Elementary School,Public,"PK, KG-6",507 West St,Union City,07087,Hudson County,Union City School District,2018
1025,Parkway Elementary School,Public,"PK, KG-5",446 Parkway Avenue,Ewing,08618,Mercer County,Ewing Township School District,2018
1026,Henry E. Harris Community School,Public,"PK, KG-8",135 Avenue C,Bayonne,07002,Hudson County,Bayonne School District,2018
1027,Heywood Avenue Elementary School,Public,"PK, KG-7",421 Heywood Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
1028,Number 1,Public,"PK, KG-5",728 North Wood Ave.,Linden,07036,Union County,Linden Public School District,2018
1029,Mahatma K. Gandhi School,Public,"PK, KG-8",143 Romaine Ave,Jersey City,07306,Hudson County,Jersey City Public Schools,2018
1030,Roebling Elementary School,Public,"PK, KG-3",1330 Hornberger Ave,Roebling,08554,Burlington County,Florence Township School District,2018
1031,Robert Waters Elementary School,Public,"PK, KG-6",2800 Summit Ave,Union City,07087,Hudson County,Union City School District,2018
1032,Evergreen Avenue Elementary School,Public,"PK, KG-5",160 North Evergreen Avenue,Woodbury,08096,Gloucester County,Woodbury City Public School District,2018
1033,Alice Costello Elementary School,Public,"PK, KG-8",301 Haakon rd.,Brooklawn,08030,Camden County,Brooklawn Public School District,2018
1034,Tulsa Trail Elementary School,Public,2-3,2 Tulsa Trail,Hopatcong,07843,Sussex County,Hopatcong Borough School District,2018
1035,Kisthardt Elementary School,Public,"PK, KG-5",215 Harcourt Drive,Hamilton,08610,Mercer County,Hamilton Township Public School District,2018
1036,Eastampton Township Community School,Public,"PK, KG-8",1 Student Drive,Eastampton,08060,Burlington County,Eastampton Township School District,2018
1037,School 5,Public,K-5,430 Totowa Avenue,Paterson,07502,Passaic County,Paterson Public School District,2018
1038,John H. Glenn School,Public,"PK, KG-5",1005 Turnerville Rd,Pine Hill,08021,Camden County,Pine Hill School District,2018
1039,Roosevelt Elementary School,Public,"PK, KG-6",811 St George Ave,Rahway,07065,Union County,Rahway Public School District,2018
1040,School #4,Public,"PK, KG-5",194 West Second Street,Clifton,07011,Passaic County,Clifton Public School District,2018
1041,Forest Street Community Elementary School,Public,"PK, KG-7",651 Forest St,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
1042,Chelsea Heights School,Public,"PK, KG-8",4101  Filbert Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
1043,South River Elementary School,Public,2-5,81 Johnson Place,South River,08882,Middlesex County,South River Public School District,2018
1044,Wilbur Watts Intermediate School,Public,3-6,550 High Street,Burlington,08016,Burlington County,Burlington City Public School District,2018
1045,Maude M. Wilkins Elementary School,Public,2-4,34 West Mill Road,Maple Shade,08052,Burlington County,Maple Shade School District,2018
1046,Pine Beach Elementary School,Public,K-5,101 Pennsylvania Avenue,Pine Beach,08741,Ocean County,Toms River Regional School District,2018
1047,Brighton Avenue School,Public,"PK, KG-5",30 N. Brighton Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
1048,iPrep Academy School No 8,Public,K-8,221-227 Court Street,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
1049,H & M Potter School,Public,"PK, KG-4",60 Veeder Lane,Bayville,08721,Ocean County,Berkeley Township School District,2018
1050,Franklin Elementary School,Public,"PK, KG-6",1809 St Georges Ave,Rahway,07065,Union County,Rahway Public School District,2018
1051,Wilson Avenue School,Public,K-8,19 Wilson Ave,Newark,07108,Essex County,Newark Public School District,2018
1052,Ventnor Elementary School,Public,"PK, KG-4",400 N  Lafayette Avenue,Ventnor City,08406,Atlantic County,Ventnor City School District,2018
1053,Hamburg School,Public,"PK, KG-8",30 Linwood Avenue,Hamburg,07419,Sussex County,Hamburg School District,2018
1054,Hillcrest School,Public,"PK, KG-5",500 Franklin Blvd,Somerset,08873,Somerset County,Franklin Township Public School District,2018
1055,Ridge Street School,Public,K-8,735 Ridge St,Newark,07104,Essex County,Newark Public School District,2018
1056,Sovereign Avenue School,Public,"PK, KG-8",111 N. Sovereign Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
1057,Dawes Avenue Elementary School,Public,"PK, KG-3",22 W. Dawes Avenue,Somers Point,08244,Atlantic County,Somers Point School District,2018
1058,East Orange Community Charter School,"Public, Charter",K-4,99 Washington Street,East Orange,07017,Essex County,East Orange Community Charter School,2018
1059,Mildred Magowan Elementary School,Public,"PK, KG-4",405 Cherrix Avenue,Edgewater Park,08010,Burlington County,Edgewater Park Township School District,2018
1060,Woodrow Wilson,Public,"PK, KG-8",210 West Sylvania Ave,Neptune City,07753,Monmouth County,Neptune City School District,2018
1061,Burch Charter School of Excellence,"Public, Charter",K-5,100 Linden Ave,Irvington,07111,Essex County,Burch Charter School of Excellence,2018
1062,Lafayette Estates Elementary School,Public,K-5,Ford Avenue,Fords,08863,Middlesex County,Woodbridge Township School District,2018
1063,Dionne Warwick Institute,Public,"PK, KG-5",120 Central Ave,East Orange,07018,Essex County,East Orange School District,2018
1064,Woodbine Elementary School,Public,"PK, KG-8",801 Webster Street,Woodbine,08270,Cape May County,Woodbine School District,2018
1065,Franklin Elementary School,Public,K-4,8 Meeker Street,Succasunna,07876,Morris County,Roxbury Township School District,2018
1066,Maud Abrams School,Public,3-4,714 Townbank Rd,Cape May,08204,Cape May County,Lower Township Elementary School District,2018
1067,Number Three School,Public,"PK, KG-4",403 Cliff Street,Fairview,07022,Bergen County,Fairview Public School District,2018
1068,Abraham Lincoln School #6,Public,"PK, KG-5",111 Palisade Ave,Garfield,07026,Bergen County,Garfield Public School District,2018
1069,Watsessing Elementary School,Public,K-6,71 Prospect Street,Bloomfield,07003,Essex County,Bloomfield Township School District,2018
1070,Public School Number Five,Public,K-6,5401 Hudson Ave,West New York,07093,Hudson County,West New York School District,2018
1071,Nicholas S. Lacorte-Peterstown School No. 3,Public,K-8,700 Second Ave,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
1072,Shady Lane Elementary School,Public,2-6,130 Peach Street,Westville,08093,Gloucester County,Deptford Township Public School District,2018
1073,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",909 Broad Street,Newark,07102,Essex County,Great Oaks Legacy Charter School,2018
1074,Joseph Battin School No 4,Public,K-8,300 South Broad Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
1075,Lawnside School,Public,"PK, KG-8",426 East Charleston Ave,Lawnside,08045,Camden County,Lawnside School Distric,2018
1076,Ecole Toussaint Louverture,Public,"PK, KG-5",330 Central Ave,East Orange,07018,Essex County,East Orange School District,2018
1077,Field Street School,Public,1-3,144 Field Street,Carneys Point,08069,Salem County,Penns Grove-Carneys Point Regional School District,2018
