rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
624,Daniel F. Ryan Elementary School No. 19,1-8,Passaic City School District,772,100.0%,"$9,378",9,2020
625,Martin Center for the Arts,"PK, KG-8",Jersey City Public Schools,430,69.3%,"$12,741",8.9,2020
626,Broad Street School,K-8,Bridgeton City School District,936,87.0%,"$13,961",8.7,2020
627,Senator Frank Lautenberg School,K-8,Paterson Public School District,626,75.1%,"$8,560",8.6,2020
628,Dunn Middle School,6-8,Trenton Public School District,929,54.9%,"$10,513",8.6,2020
629,Etta Gero School No. 9,K-8,Passaic City School District,737,99.7%,"$10,703",8.5,2020
630,Sonia Sotomayor School #21,K-8,Passaic City School District,684,99.4%,,8.4,2020
631,School 13,K-8,Paterson Public School District,536,62.1%,"$8,300",8.3,2020
632,Rafael Hernandez School,"PK, KG-8",Newark Public School District,704,83.9%,"$8,503",8.2,2020
633,School 12,K-8,Paterson Public School District,546,70.7%,"$9,638",8.1,2020
634,Dr. Henry H. Davis Elementary School,"PK, KG-8",Camden City School District,321,67.6%,"$20,427",8.1,2020
635,Ezra L. Nolan School,6-8,Jersey City Public Schools,267,70.0%,"$12,859",7.8,2020
636,Ollie Culbreth Junior School,"PK, KG-8",Jersey City Public Schools,418,69.9%,"$15,626",7.8,2020
637,Rev. Dr. Frank Napier Junior School,1-8,Paterson Public School District,548,73.0%,"$10,865",7.6,2020
638,Luis Mu?oz Marin Elementary School,"PK, KG-8",Newark Public School District,802,81.5%,"$9,330",7.3,2020
639,Cooper's Poynt Family School,"PK, KG-8",Camden City School District,407,69.0%,"$18,278",7.2,2020
640,Whitney M. Young Junior School,"PK, KG-8",Jersey City Public Schools,609,74.7%,"$15,967",6.4,2020
641,Dr. William H. Horton Elementary School,K-8,Newark Public School District,742,93.3%,"$9,470",6.4,2020
642,School 10,K-8,Paterson Public School District,537,70.6%,"$8,827",6.4,2020
643,Young Men's Academy,3-8,Paterson Public School District,73,71.2%,"$21,107",6.3,2020
644,School 21,"PK, KG-8",Paterson Public School District,694,54.3%,"$8,480",6.2,2020
645,New York Avenue School,"PK, KG-8",Atlantic City School District,558,89.8%,"$13,378",6,2020
646,Casimir Pulaski School No. 8,"PK, KG-8",Passaic City School District,591,99.3%,"$11,142",6,2020
647,Joyce Kilmer School,K-8,Trenton Public School District,740,52.8%,"$14,475",5.9,2020
648,Henry B. Wilson Family School,K-8,Camden City School District,537,76.0%,"$17,638",5.4,2020
649,Veterans Memorial Family School,"PK, KG-8",Camden City School District,337,72.4%,"$16,878",2.7,2020
