rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
459,Franklin Elementary School,"PK, KG-4",South Plainfield School District,266,19.9%,"$7,790",69.7,2017
460,Learning Community Charter School,"PK, KG-8",The Learning Community Charter School,584,33.6%,"$9,314",69.7,2017
461,Virgil I. Grissom Elementary School,K-5,Old Bridge Township School District,230,20.9%,"$12,335",69.6,2017
462,Valley View School,"PK, KG-4",Lebanon Township School District,330,10.3%,"$11,199",69.5,2017
463,Belleville PS10,"PK, KG-6",Belleville Public School District,168,47.0%,,69.5,2017
464,C. Richard Applegate School,K-5,Freehold Township School District,452,11.5%,"$13,333",69.5,2017
465,Walter C. Black Elementary School,K-2,East Windsor Regional School District,548,36.7%,"$14,313",69.3,2017
466,Bloomsbury Borough School,"PK, KG-8",Bloomsbury Borough School District,108,19.4%,"$16,669",69.3,2017
467,John Hill School,3-8,Boonton Town Public School District,633,35.9%,"$11,679",69.2,2017
468,Pace Charter School of Hamilton,K-8,Pace Charter School of Hamilton,249,77.9%,"$10,730",69.2,2017
469,Sylvia Rosenauer Elementary School,"PK, KG-5",Jackson Township School District,331,40.2%,"$13,203",69.1,2017
470,Columbus School,K-5,Lodi School District,271,55.7%,"$8,336",68.9,2017
471,Mercerville Elementary School,K-5,Hamilton Township Public School District,320,21.9%,"$8,682",68.8,2017
472,Connecticut Farms Elementary,"PK, KG-5",Township of Union School District,406,31.8%,"$9,283",68.8,2017
473,Midstreams Elementary School,K-5,Brick Township Public School District,461,17.6%,"$7,076",68.8,2017
474,Clinton Public School,"PK, KG-8",Clinton-Glen Gardner School District,451,12.2%,"$16,860",68.8,2017
475,Soaring Heights Charter School,K-8,Soaring Heights Charter School,237,48.1%,"$8,696",68.7,2017
476,Robert B Jaggard School,K-5,Evesham Township School District,409,13.0%,"$10,326",68.7,2017
477,Canfield Avenue School,"PK, KG-6",Mine Hill Township School District,350,24.6%,"$14,201",68.6,2017
478,Fairview Elementary School,"PK, KG-5",Middletown Township Public School District,286,8.0%,"$9,003",68.4,2017
479,Frederic N. Brown Elementary School,K-4,Verona Public School District,211,0.0%,"$13,894",68.4,2017
480,Taylor Mills School,K-6,Manalapan-Englishtown Regional School District,557,15.3%,"$9,016",68.2,2017
481,Honiss Elementary/Middle School,K-8,Dumont Public School District,603,15.1%,"$8,229",68.2,2017
482,Lafayette Elementary School,K-5,Wayne Township Public School District,334,7.2%,"$15,454",68.2,2017
483,Highland Elementary School,3-6,Midland Park School District,263,6.1%,"$16,024",68.1,2017
484,Englewood on the Palisades Charter School,K-8,Englewood on the Palisades Charter School,252,55.6%,"$11,407",68,2017
485,Nixon Elementary School,K-4,Roxbury Township School District,271,26.6%,"$13,933",68,2017
486,Thomas Paine Elementary School,K-5,Cherry Hill School District,350,29.4%,"$9,500",68,2017
487,Northeast Elementary School,K-5,Montclair Public School District,415,13.7%,"$11,807",68,2017
488,Lillian M. Steen,"PK, KG-5",Bogota Public School District,292,47.9%,"$8,428",67.9,2017
489,Lebanon Borough School,"PK, KG-6",Lebanon Borough School District,101,14.9%,"$16,745",67.8,2017
490,Fernbrook School,K-5,Randolph Township School District,522,17.2%,"$11,152",67.8,2017
491,Hazel Avenue Elementary School,K-5,West Orange Public Schools,337,61.7%,"$11,540",67.8,2017
492,Frankford Township School,"PK, KG-8",Frankford Township Consolidated School District,519,11.8%,"$16,040",67.7,2017
493,Countryside Elementary School,"PK, KG-4",Mount Laurel Township School District,313,15.0%,"$9,922",67.5,2017
494,Harmony Elementary School,"PK, KG-5",Middletown Township Public School District,520,14.4%,"$9,359",67.5,2017
495,Memorial Elementary School,3-5,Howell Township Public School District,329,17.0%,"$13,399",67.3,2017
496,John A. Forrest Elementary School,K-4,Fair Lawn Public School District,288,16.0%,"$7,529",67.1,2017
497,Bradley Gardens Primary School,"PK, KG-4",Bridgewater-Raritan Regional School District,257,6.6%,"$12,003",67.1,2017
498,Laura Donovan School,K-5,Freehold Township School District,440,22.5%,"$10,648",67.1,2017
499,Stephen J. Gerace School,K-5,Pequannock Township School District,298,3.4%,"$8,745",67.1,2017
500,School #9,"PK, KG-5",Clifton Public School District,322,30.7%,"$13,262",67.1,2017
501,Lenox School,K-5,Pompton Lakes School District,355,24.8%,"$9,988",67.1,2017
502,School #8,"PK, KG-5",Clifton Public School District,365,48.5%,"$18,003",66.9,2017
503,Greenwich School,"PK, KG-5",Greenwich Township School District,457,8.3%,"$6,883",66.9,2017
504,Central Avenue School,"PK, KG-5",Madison Public School District,502,8.0%,"$13,439",66.8,2017
505,Bertrand F. Gibbs Elementary School,K-5,New Milford Public School District,461,16.1%,"$9,803",66.6,2017
506,Ardena Elementary School,3-5,Howell Township Public School District,375,23.2%,"$9,486",66.6,2017
507,Pines Lake Elementary School,K-5,Wayne Township Public School District,387,9.8%,"$14,923",66.6,2017
508,Woodcrest Elementary School,K-5,Cherry Hill School District,364,9.1%,"$8,197",66.6,2017
509,Central Elementary School,K-5,Wall Township Public School District,523,17.6%,"$8,202",66.6,2017
510,E Raymond Appleby Elementary School,2-5,Spotswood Public School District,445,18.9%,"$11,070",66.3,2017
511,Thomas Jefferson School,3-5,Morris School District,308,38.6%,"$11,406",66.3,2017
512,Benjamin Franklin Elementary School,K-5,Edison Township School District,612,37.1%,"$6,208",66.3,2017
513,Peter Muschal Elementary,"PK, KG-5",Bordentown Regional School District,541,0.0%,"$7,739",66.2,2017
514,Morgan Elementary School,"PK, KG-5",Hamilton Township Public School District,325,18.8%,"$10,522",66.1,2017
515,Westbrook Elementary School,K-5,West Milford Township Public School District,351,15.7%,"$11,326",66,2017
516,Hillside Elementary School,3-5,Montclair Public School District,619,14.1%,"$12,700",66,2017
517,Washington School,K-6,Nutley Public School District,568,17.6%,"$11,365",65.8,2017
518,Franklin Township School,"PK, KG-6",Franklin Township School District,223,12.6%,"$17,688",65.7,2017
519,Southwood Elementary School,K-5,Old Bridge Township School District,433,23.8%,"$16,304",65.7,2017
520,Mannington Township Elementary School,"PK, KG-8",Mannington Township School District,158,30.4%,"$13,691",65.6,2017
521,Byram Lakes Elementary School,"PK, KG-4",Byram Township School District,439,6.8%,"$13,821",65.6,2017
522,Whitehall Elementary School,"PK, KG-4",Monroe Township Public School District,386,34.5%,"$6,021",65.5,2017
523,Kresson School,K-5,Voorhees Township School District,390,5.4%,"$12,759",65.3,2017
524,Greenbrook Elementary School,K-5,South Brunswick School District,426,28.4%,"$13,104",65.1,2017
525,Springfield Township School,"PK, KG-6",Springfield Township School District,232,17.2%,"$15,391",65.1,2017
526,Richard L Rice School,"PK, KG-5",Evesham Township School District,527,10.2%,"$8,190",65.1,2017
527,Howard C. Johnson Elementary School,"PK, KG-5",Jackson Township School District,466,15.2%,"$9,917",64.9,2017
528,Mount Arlington Public School,3-8,Mount Arlington Public School District,248,18.1%,"$3,206",64.8,2017
529,Euclid Elementary School,"PK, KG-5",Hasbrouck Heights School District,387,12.1%,"$12,378",64.7,2017
530,Bergen Arts and Sciences Charter School,K-12,Bergen Arts and Science Charter School,"1,126",46.4%,"$8,403",64.6,2017
531,Samuel R. Donald Elementary School,2-4,Bloomingdale School District,181,22.1%,"$16,555",64.6,2017
532,Parker Elementary School,K-3,Middlesex Borough School District,215,52.1%,"$10,883",64.6,2017
533,John F. Kennedy Elementary School,K-5,Wayne Township Public School District,407,14.5%,"$14,918",64.5,2017
534,Emma Arleth Elementary School,K-3,Sayreville School District,505,37.0%,"$8,249",64.3,2017
535,Patrick McGaheran,"PK, KG-2",Clinton Township School District,246,4.5%,"$6,639",64.3,2017
536,South Harrison Elementary School,"PK, KG-6",South Harrison Township School District,384,13.0%,"$11,098",64.2,2017
537,White Rock Elementary School,2-5,Jefferson Township Public School District,359,7.5%,"$10,339",64.2,2017
538,Florence V Evans,1-5,Evesham Township School District,361,11.4%,,64.1,2017
539,William A. Miller Elementary School,K-5,Old Bridge Township School District,330,18.8%,"$12,088",63.9,2017
540,Hatchery Hill Elementary School,"PK, KG-1",Hackettstown Public School District,359,38.7%,"$12,316",63.8,2017
541,Ocean Road Elementary School,"PK, KG-5",Point Pleasant Borough School District,513,18.7%,"$11,627",63.8,2017
542,Franklin Elementary,"PK, KG-4",Township of Union School District,448,46.9%,"$8,711",63.8,2017
543,Dr. Michael Conti School,"PK, KG-8",Jersey City Public Schools,657,59.5%,"$10,825",63.8,2017
544,Mary S. Shoemaker School,1-5,Woodstown-Pilesgrove Regional School District,418,31.1%,"$5,196",63.7,2017
545,Jotham W. Wakeman School,"PK, KG-5",Jersey City Public Schools,878,64.8%,"$12,283",63.5,2017
546,Delaware Township School,"PK, KG-8",Delaware Township School District,388,8.0%,"$17,866",63.4,2017
547,Memorial Elementary School,"PK, KG-4",North Haledon School District,374,16.0%,"$11,307",63.3,2017
548,Swimming River School,3-5,Tinton Falls School District,512,22.9%,"$12,736",63.1,2017
549,Memorial School,"PK, KG-8",South Hackensack School District,275,34.5%,"$14,711",63,2017
550,Frelinghuysen Township Elementary School,"PK, KG-6",Frelinghuysen Township School District,150,5.3%,"$12,044",62.9,2017
551,Newell Elementary School,"PK, KG-4",Upper Freehold Regional School District,491,10.4%,"$11,192",62.9,2017
552,Bartle Elementary School,2-5,Highland Park Boro School District,496,41.1%,"$9,348",62.7,2017
553,Hoover Elementary School,"PK, KG-5",Bergenfield Borough School District,222,58.1%,"$12,367",62.5,2017
554,Washington Street Elementary School,K-5,Toms River Regional School District,412,32.3%,"$6,399",62.4,2017
555,Frank K. Hehnly,K-5,Clark Township Public School District,537,6.1%,"$10,499",62.3,2017
556,Kennedy Elementary School,K-4,Roxbury Township School District,226,3.5%,"$13,088",62.3,2017
557,Atlantic Avenue,"PK, KG-2",HADDON HEIGHTS School District,142,7.7%,"$13,637",62.3,2017
558,Bee Meadow School,K-5,Hanover Township School District,334,1.8%,"$12,321",62.2,2017
559,Normandy Park School,K-5,Morris School District,333,36.0%,"$12,130",62.2,2017
560,Marshall Hill Elementary School,K-5,West Milford Township Public School District,263,16.7%,"$12,904",62.2,2017
561,School 19,K-4,Paterson Public School District,376,69.9%,"$9,566",62.1,2017
562,Dennis Township Primary School,"PK, KG-2",Dennis Township School District,260,28.5%,"$14,492",62,2017
563,Alexander Elementary School,K-5,Hamilton Township Public School District,310,17.7%,"$9,054",61.9,2017
564,Stoy Elementary School,"PK, KG-5",Haddon Township School District,148,12.2%,"$9,973",61.9,2017
565,Lynn Crest Elementary School,"PK, KG-5",Woodbridge Township School District,413,21.3%,"$6,206",61.8,2017
566,School #5,"PK, KG-4",Cliffside Park School District,314,58.0%,"$16,248",61.6,2017
567,High Bridge Elementary School,"PK, KG-4",High Bridge Borough School District,219,11.4%,"$17,715",61.6,2017
568,Gloucester Township Elementary School,K-5,Gloucester Township Public Schools,254,39.8%,"$12,587",61.5,2017
569,Harry S. Truman Elementary School,K-3,Sayreville School District,526,34.6%,"$7,343",61.5,2017
570,Huber Street School,"PK, KG-5",Secaucus School District,604,24.0%,"$7,790",61.5,2017
571,Knollwood Elementary School,K-3,Piscataway Township School District,505,25.1%,"$5,790",61.2,2017
572,Raritan Valley School,1-4,Hazlet Township Public School District,262,16.4%,"$10,336",61,2017
573,Theodore Roosevelt School,3-6,Weehawken Public School District,359,37.9%,"$5,045",61,2017
