county_name,median_hh_income,poverty_count,poverty_rate,st_abb,year,state_code,county_code
SUSSEX,74137,6504,4.3,NJ,2005,034,037
UNION,61617,46448,8.9,NJ,2005,034,039
WARREN,61040,5987,5.5,NJ,2005,034,041
ATLANTIC,51554,25264,9.5,NJ,2006,034,001
BERGEN,75460,47697,5.3,NJ,2006,034,003
BURLINGTON,67995,25191,5.8,NJ,2006,034,005
CAMDEN,56676,55170,10.9,NJ,2006,034,007
CAPE MAY,49265,9061,9.5,NJ,2006,034,009
CUMBERLAND,45667,21942,15.4,NJ,2006,034,011
ESSEX,51739,110167,14.4,NJ,2006,034,013
GLOUCESTER,66067,18665,6.7,NJ,2006,034,015
HUDSON,48352,89081,15.0,NJ,2006,034,017
HUNTERDON,93556,4159,3.3,NJ,2006,034,019
MERCER,64930,30277,8.7,NJ,2006,034,021
MIDDLESEX,72175,54167,7.1,NJ,2006,034,023
MONMOUTH,76876,37176,5.9,NJ,2006,034,025
MORRIS,89464,19660,4.1,NJ,2006,034,027
OCEAN,54771,47029,8.5,NJ,2006,034,029
PASSAIC,50193,69996,14.3,NJ,2006,034,031
SALEM,54748,6283,9.6,NJ,2006,034,033
SOMERSET,91177,14311,4.5,NJ,2006,034,035
SUSSEX,78050,7032,4.6,NJ,2006,034,037
UNION,62001,41818,8.0,NJ,2006,034,039
WARREN,63037,6575,6.0,NJ,2006,034,041
ATLANTIC,54340,31488,11.9,NJ,2007,034,001
BERGEN,80063,51880,5.9,NJ,2007,034,003
BURLINGTON,73083,21750,5.0,NJ,2007,034,005
CAMDEN,58541,53434,10.6,NJ,2007,034,007
CAPE MAY,51356,8392,8.9,NJ,2007,034,009
CUMBERLAND,46482,24969,17.4,NJ,2007,034,011
ESSEX,53319,100208,13.3,NJ,2007,034,013
GLOUCESTER,70119,21478,7.6,NJ,2007,034,015
HUDSON,51247,81698,13.9,NJ,2007,034,017
HUNTERDON,100089,4642,3.7,NJ,2007,034,019
MERCER,69139,32206,9.3,NJ,2007,034,021
MIDDLESEX,75069,50917,6.6,NJ,2007,034,023
MONMOUTH,78173,38874,6.1,NJ,2007,034,025
MORRIS,94556,19721,4.1,NJ,2007,034,027
OCEAN,56243,46853,8.4,NJ,2007,034,029
PASSAIC,54207,64765,13.4,NJ,2007,034,031
SALEM,54588,6636,10.2,NJ,2007,034,033
SOMERSET,96792,10674,3.3,NJ,2007,034,035
SUSSEX,78713,6911,4.6,NJ,2007,034,037
UNION,61587,41463,8.0,NJ,2007,034,039
WARREN,66237,6764,6.2,NJ,2007,034,041
ATLANTIC,52409,29498,11.1,NJ,2008,034,001
BERGEN,82136,47293,5.3,NJ,2008,034,003
BURLINGTON,76869,23326,5.4,NJ,2008,034,005
CAMDEN,60746,56871,11.2,NJ,2008,034,007
CAPE MAY,54423,8300,8.9,NJ,2008,034,009
CUMBERLAND,49720,19360,13.4,NJ,2008,034,011
ESSEX,54694,108608,14.5,NJ,2008,034,013
GLOUCESTER,70273,19438,6.9,NJ,2008,034,015
HUDSON,54800,87699,14.9,NJ,2008,034,017
HUNTERDON,102249,4596,3.7,NJ,2008,034,019
MERCER,72883,30973,9.0,NJ,2008,034,021
MIDDLESEX,77015,54644,7.1,NJ,2008,034,023
MONMOUTH,82503,37480,5.9,NJ,2008,034,025
MORRIS,99268,19263,4.0,NJ,2008,034,027
OCEAN,59199,48172,8.6,NJ,2008,034,029
PASSAIC,56552,66753,13.9,NJ,2008,034,031
SALEM,57935,6821,10.5,NJ,2008,034,033
SOMERSET,99817,11619,3.6,NJ,2008,034,035
SUSSEX,79393,6833,4.6,NJ,2008,034,037
UNION,67127,45220,8.8,NJ,2008,034,039
WARREN,74721,7303,6.7,NJ,2008,034,041
ATLANTIC,51585,28926,10.9,NJ,2009,034,001
BERGEN,80604,58713,6.6,NJ,2009,034,003
BURLINGTON,74481,26190,6.1,NJ,2009,034,005
CAMDEN,60445,57405,11.3,NJ,2009,034,007
CAPE MAY,49797,10003,10.7,NJ,2009,034,009
CUMBERLAND,47921,23801,16.4,NJ,2009,034,011
ESSEX,53712,107767,14.4,NJ,2009,034,013
GLOUCESTER,69928,21878,7.7,NJ,2009,034,015
HUDSON,55767,86008,14.6,NJ,2009,034,017
HUNTERDON,100485,5372,4.3,NJ,2009,034,019
MERCER,70570,37360,10.8,NJ,2009,034,021
MIDDLESEX,74959,61032,7.9,NJ,2009,034,023
MONMOUTH,80231,43974,6.9,NJ,2009,034,025
MORRIS,96300,18065,3.8,NJ,2009,034,027
OCEAN,59456,46190,8.2,NJ,2009,034,029
PASSAIC,51933,79637,16.5,NJ,2009,034,031
SALEM,52958,6687,10.2,NJ,2009,034,033
SOMERSET,90125,14198,4.4,NJ,2009,034,035
SUSSEX,80155,8146,5.4,NJ,2009,034,037
UNION,64588,49365,9.5,NJ,2009,034,039
WARREN,70092,7542,7.0,NJ,2009,034,041
ATLANTIC,51457,36693,13.6,NJ,2010,034,001
BERGEN,77059,61715,6.9,NJ,2010,034,003
BURLINGTON,73788,25008,5.7,NJ,2010,034,005
CAMDEN,56939,62052,12.3,NJ,2010,034,007
CAPE MAY,51585,10828,11.4,NJ,2010,034,009
CUMBERLAND,49964,24653,17.0,NJ,2010,034,011
ESSEX,52288,125503,16.4,NJ,2010,034,013
GLOUCESTER,70012,19449,6.8,NJ,2010,034,015
HUDSON,53547,103576,16.5,NJ,2010,034,017
HUNTERDON,97532,5016,4.0,NJ,2010,034,019
MERCER,70228,40635,11.7,NJ,2010,034,021
MIDDLESEX,75890,60788,7.7,NJ,2010,034,023
MONMOUTH,80462,42394,6.8,NJ,2010,034,025
MORRIS,91403,27564,5.7,NJ,2010,034,027
OCEAN,56924,62634,11.0,NJ,2010,034,029
PASSAIC,53363,76910,15.6,NJ,2010,034,031
SALEM,55274,7264,11.2,NJ,2010,034,033
SOMERSET,93777,16678,5.2,NJ,2010,034,035
SUSSEX,81330,8404,5.7,NJ,2010,034,037
UNION,65937,58007,10.9,NJ,2010,034,039
WARREN,69658,7873,7.4,NJ,2010,034,041
ATLANTIC,49983,35108,13.1,NJ,2011,034,001
BERGEN,79037,59235,6.6,NJ,2011,034,003
BURLINGTON,72594,25040,5.7,NJ,2011,034,005
CAMDEN,57261,66839,13.2,NJ,2011,034,007
CAPE MAY,52312,11138,11.8,NJ,2011,034,009
CUMBERLAND,49465,24300,16.7,NJ,2011,034,011
ESSEX,51021,132017,17.2,NJ,2011,034,013
GLOUCESTER,70618,21035,7.4,NJ,2011,034,015
HUDSON,55133,102173,16.2,NJ,2011,034,017
HUNTERDON,99216,5370,4.3,NJ,2011,034,019
MERCER,71926,38790,11.1,NJ,2011,034,021
MIDDLESEX,73914,67199,8.5,NJ,2011,034,023
MONMOUTH,79062,42983,6.9,NJ,2011,034,025
MORRIS,91420,24438,5.0,NJ,2011,034,027
OCEAN,56851,64467,11.3,NJ,2011,034,029
PASSAIC,52243,79789,16.2,NJ,2011,034,031
SALEM,53890,7664,11.8,NJ,2011,034,033
SOMERSET,95915,16582,5.2,NJ,2011,034,035
SUSSEX,82987,8570,5.8,NJ,2011,034,037
UNION,65178,56959,10.7,NJ,2011,034,039
WARREN,66857,8218,7.7,NJ,2011,034,041
ATLANTIC,50881,38245,14.2,NJ,2012,034,001
BERGEN,82001,72647,8.0,NJ,2012,034,003
BURLINGTON,74285,28776,6.6,NJ,2012,034,005
CAMDEN,58572,63861,12.6,NJ,2012,034,007
CAPE MAY,55175,10301,10.9,NJ,2012,034,009
CUMBERLAND,46491,27144,18.7,NJ,2012,034,011
ESSEX,51019,132434,17.2,NJ,2012,034,013
GLOUCESTER,72248,24404,8.6,NJ,2012,034,015
HUDSON,56087,107096,16.6,NJ,2012,034,017
HUNTERDON,103301,5664,4.6,NJ,2012,034,019
MERCER,67662,36894,10.5,NJ,2012,034,021
MIDDLESEX,77044,77061,9.6,NJ,2012,034,023
MONMOUTH,81190,45472,7.3,NJ,2012,034,025
MORRIS,95236,23017,4.7,NJ,2012,034,027
OCEAN,59022,62772,11.0,NJ,2012,034,029
PASSAIC,58073,76698,15.6,NJ,2012,034,031
SALEM,57939,7235,11.2,NJ,2012,034,033
SOMERSET,95574,19644,6.1,NJ,2012,034,035
SUSSEX,85036,9018,6.2,NJ,2012,034,037
UNION,64698,58609,10.9,NJ,2012,034,039
WARREN,70560,7285,6.9,NJ,2012,034,041
ATLANTIC,51668,46281,17.1,NJ,2013,034,001
BERGEN,81615,73719,8.1,NJ,2013,034,003
BURLINGTON,76868,27192,6.2,NJ,2013,034,005
CAMDEN,57641,74058,14.7,NJ,2013,034,007
CAPE MAY,56520,10159,10.8,NJ,2013,034,009
CUMBERLAND,45850,29231,20.1,NJ,2013,034,011
ESSEX,53358,136161,17.7,NJ,2013,034,013
GLOUCESTER,71137,26775,9.4,NJ,2013,034,015
HUDSON,55699,126653,19.4,NJ,2013,034,017
HUNTERDON,107203,5068,4.1,NJ,2013,034,019
MERCER,70575,41296,11.8,NJ,2013,034,021
MIDDLESEX,76515,75437,9.4,NJ,2013,034,023
MONMOUTH,83424,48548,7.8,NJ,2013,034,025
MORRIS,99950,23871,4.9,NJ,2013,034,027
OCEAN,59888,60439,10.5,NJ,2013,034,029
PASSAIC,57426,82368,16.6,NJ,2013,034,031
SALEM,58483,9591,15.0,NJ,2013,034,033
SOMERSET,96947,18582,5.7,NJ,2013,034,035
SUSSEX,85747,8779,6.1,NJ,2013,034,037
UNION,64272,61990,11.5,NJ,2013,034,039
WARREN,68011,9194,8.7,NJ,2013,034,041
ATLANTIC,54208,40761,15.1,NJ,2014,034,001
BERGEN,84309,70557,7.6,NJ,2014,034,003
BURLINGTON,80479,31331,7.2,NJ,2014,034,005
CAMDEN,61685,65551,13.0,NJ,2014,034,007
CAPE MAY,55409,12080,13.0,NJ,2014,034,009
CUMBERLAND,45438,28287,19.5,NJ,2014,034,011
ESSEX,54603,130059,16.7,NJ,2014,034,013
GLOUCESTER,78983,23626,8.2,NJ,2014,034,015
HUDSON,57720,117129,17.7,NJ,2014,034,017
HUNTERDON,103876,5742,4.7,NJ,2014,034,019
MERCER,73750,41715,11.8,NJ,2014,034,021
MIDDLESEX,77330,67331,8.3,NJ,2014,034,023
MONMOUTH,87220,51001,8.2,NJ,2014,034,025
MORRIS,100511,24782,5.0,NJ,2014,034,027
OCEAN,62937,68832,11.9,NJ,2014,034,029
PASSAIC,58030,90553,18.2,NJ,2014,034,031
SALEM,56645,8307,13.1,NJ,2014,034,033
SOMERSET,100194,16496,5.0,NJ,2014,034,035
SUSSEX,82048,8875,6.2,NJ,2014,034,037
UNION,68172,60679,11.1,NJ,2014,034,039
WARREN,71294,8747,8.3,NJ,2014,034,041
ATLANTIC,53296,37923,14.1,NJ,2015,034,001
BERGEN,88512,65906,7.1,NJ,2015,034,003
BURLINGTON,74844,33675,7.7,NJ,2015,034,005
CAMDEN,63589,65805,13.1,NJ,2015,034,007
CAPE MAY,55632,9684,10.5,NJ,2015,034,009
CUMBERLAND,50259,24740,17.2,NJ,2015,034,011
ESSEX,52206,131125,16.8,NJ,2015,034,013
GLOUCESTER,76780,22086,7.7,NJ,2015,034,015
HUDSON,60053,117828,17.7,NJ,2015,034,017
HUNTERDON,102797,6046,5.0,NJ,2015,034,019
MERCER,72172,39354,11.2,NJ,2015,034,021
MIDDLESEX,78249,69660,8.5,NJ,2015,034,023
MONMOUTH,86722,46641,7.5,NJ,2015,034,025
MORRIS,101754,25917,5.3,NJ,2015,034,027
OCEAN,63478,63101,10.9,NJ,2015,034,029
PASSAIC,55723,86457,17.3,NJ,2015,034,031
SALEM,63988,7524,11.9,NJ,2015,034,033
SOMERSET,99059,18132,5.5,NJ,2015,034,035
SUSSEX,84431,7958,5.6,NJ,2015,034,037
UNION,70581,58384,10.6,NJ,2015,034,039
WARREN,71672,8040,7.7,NJ,2015,034,041
ATLANTIC,55672,37734,14.2,NJ,2016,034,001
BERGEN,93205,63789,6.9,NJ,2016,034,003
BURLINGTON,80081,27083,6.2,NJ,2016,034,005
CAMDEN,65838,60385,12.0,NJ,2016,034,007
CAPE MAY,59181,10964,11.9,NJ,2016,034,009
CUMBERLAND,48867,26321,18.4,NJ,2016,034,011
ESSEX,54879,126492,16.3,NJ,2016,034,013
GLOUCESTER,79332,22402,7.8,NJ,2016,034,015
HUDSON,63157,104660,15.6,NJ,2016,034,017
HUNTERDON,113336,5431,4.5,NJ,2016,034,019
MERCER,76988,39066,11.1,NJ,2016,034,021
MIDDLESEX,82183,69642,8.6,NJ,2016,034,023
MONMOUTH,89968,43866,7.1,NJ,2016,034,025
MORRIS,107019,26615,5.4,NJ,2016,034,027
OCEAN,62276,64493,11.0,NJ,2016,034,029
PASSAIC,61517,85671,17.2,NJ,2016,034,031
SALEM,56071,7868,12.6,NJ,2016,034,033
SOMERSET,104668,17318,5.2,NJ,2016,034,035
SUSSEX,87549,8460,6.0,NJ,2016,034,037
UNION,71801,58425,10.6,NJ,2016,034,039
WARREN,74834,8708,8.3,NJ,2016,034,041
ATLANTIC,59309,38092,14.4,NJ,2017,034,001
BERGEN,93805,62037,6.6,NJ,2017,034,003
BURLINGTON,86777,28202,6.5,NJ,2017,034,005
CAMDEN,65817,58696,11.7,NJ,2017,034,007
CAPE MAY,64450,9486,10.4,NJ,2017,034,009
CUMBERLAND,51786,26129,18.4,NJ,2017,034,011
ESSEX,60284,123806,15.7,NJ,2017,034,013
GLOUCESTER,84639,19238,6.7,NJ,2017,034,015
HUDSON,65673,96125,14.1,NJ,2017,034,017
HUNTERDON,113083,4793,3.9,NJ,2017,034,019
MERCER,78161,40622,11.4,NJ,2017,034,021
MIDDLESEX,85187,69518,8.5,NJ,2017,034,023
MONMOUTH,97627,45085,7.3,NJ,2017,034,025
MORRIS,114269,24225,4.9,NJ,2017,034,027
OCEAN,70493,60406,10.2,NJ,2017,034,029
PASSAIC,63127,82865,16.5,NJ,2017,034,031
SALEM,61322,8215,13.3,NJ,2017,034,033
SOMERSET,111838,17396,5.3,NJ,2017,034,035
SUSSEX,89744,7372,5.3,NJ,2017,034,037
UNION,76830,52052,9.3,NJ,2017,034,039
WARREN,79633,7770,7.4,NJ,2017,034,041
ATLANTIC,60826,33167,12.8,NJ,2018,034,001
BERGEN,100181,63403,6.8,NJ,2018,034,003
BURLINGTON,84470,26786,6.2,NJ,2018,034,005
CAMDEN,67135,64417,12.9,NJ,2018,034,007
CAPE MAY,62175,9325,10.3,NJ,2018,034,009
CUMBERLAND,51790,21430,15.2,NJ,2018,034,011
ESSEX,62875,116246,14.9,NJ,2018,034,013
GLOUCESTER,81315,21869,7.6,NJ,2018,034,015
HUDSON,73337,95704,14.3,NJ,2018,034,017
HUNTERDON,112335,5317,4.4,NJ,2018,034,019
MERCER,79979,38279,10.9,NJ,2018,034,021
MIDDLESEX,87666,65823,8.2,NJ,2018,034,023
MONMOUTH,99223,41380,6.7,NJ,2018,034,025
MORRIS,112396,22980,4.7,NJ,2018,034,027
OCEAN,68483,57366,9.7,NJ,2018,034,029
PASSAIC,71959,67374,13.6,NJ,2018,034,031
SALEM,64524,6891,11.2,NJ,2018,034,033
SOMERSET,119731,16112,4.9,NJ,2018,034,035
SUSSEX,92284,7233,5.2,NJ,2018,034,037
UNION,80737,43279,7.8,NJ,2018,034,039
WARREN,77571,7006,6.7,NJ,2018,034,041
ATLANTIC,62678,29057,11.3,NJ,2019,034,001
BERGEN,107971,52980,5.7,NJ,2019,034,003
BURLINGTON,88443,24961,5.7,NJ,2019,034,005
CAMDEN,73168,53641,10.7,NJ,2019,034,007
CAPE MAY,66565,8853,9.8,NJ,2019,034,009
CUMBERLAND,54179,19261,13.8,NJ,2019,034,011
ESSEX,64522,107745,13.8,NJ,2019,034,013
GLOUCESTER,87996,21602,7.5,NJ,2019,034,015
HUDSON,77738,90976,13.7,NJ,2019,034,017
HUNTERDON,117275,4794,4.0,NJ,2019,034,019
MERCER,79475,41600,11.9,NJ,2019,034,021
MIDDLESEX,92770,68514,8.5,NJ,2019,034,023
MONMOUTH,102579,37725,6.2,NJ,2019,034,025
MORRIS,116328,25678,5.3,NJ,2019,034,027
OCEAN,75627,53950,9.0,NJ,2019,034,029
PASSAIC,76039,65342,13.3,NJ,2019,034,031
SALEM,68146,7000,11.4,NJ,2019,034,033
SOMERSET,112722,17409,5.4,NJ,2019,034,035
SUSSEX,100281,7180,5.2,NJ,2019,034,037
UNION,79953,50094,9.1,NJ,2019,034,039
WARREN,83998,7313,7.1,NJ,2019,034,041
ATLANTIC,61377,35571,13.8,NJ,2020,034,001
BERGEN,107114,59225,6.4,NJ,2020,034,003
