county_name,year,num_of_bedrooms,house_value_index,est_pop,median_hh_income,poverty_count,poverty_rate,st_abb,state_code,county_code,tax_rate,apr_30,points_30,apr_15,points_15
BURLINGTON,2019,1,88986.74596934422,446160,88443,24961,5.7,NJ,034,005,2.968025,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
BURLINGTON,2020,1,103523.22916701004,446596,92471,25900,6.0,NJ,034,005,3.016825,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
BURLINGTON,2021,1,119028.83886046876,464269,94043,34379,7.6,NJ,034,005,2.6728999999999994,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
CAMDEN,2010,1,69860.68568773197,513283,56939,62052,12.3,NJ,034,007,4.439111111111111,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
CAMDEN,2011,1,61135.17071214607,512610,57261,66839,13.2,NJ,034,007,4.281861111111112,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
CAMDEN,2012,1,56559.972850056794,511636,58572,63861,12.6,NJ,034,007,4.115333333333333,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
CAMDEN,2013,1,56248.596098362235,509983,57641,74058,14.7,NJ,034,007,3.952694444444445,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
CAMDEN,2014,1,58286.19805590602,508409,61685,65551,13.0,NJ,034,007,4.001416666666667,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
CAMDEN,2015,1,58453.56234236374,507760,63589,65805,13.1,NJ,034,007,3.8871944444444435,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
CAMDEN,2016,1,58739.26744530294,507119,65838,60385,12.0,NJ,034,007,3.954861111111111,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
CAMDEN,2017,1,61842.64304634524,506488,65817,58696,11.7,NJ,034,007,4.027583333333333,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
CAMDEN,2018,1,68311.63791764139,506685,67135,64417,12.9,NJ,034,007,4.118583333333333,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
CAMDEN,2019,1,78019.82974693044,506503,73168,53641,10.7,NJ,034,007,4.122888888888889,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
CAMDEN,2020,1,96878.29180004324,506809,71718,61747,12.4,NJ,034,007,4.188083333333334,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
CAMDEN,2021,1,118325.5431109412,523771,77675,62053,12.0,NJ,034,007,4.254972222222222,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
CAPE MAY,2010,1,147740.61841327706,97222,51585,10828,11.4,NJ,034,009,0.9658749999999999,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
CAPE MAY,2011,1,135981.0173159383,96522,52312,11138,11.8,NJ,034,009,1.0249999999999997,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
