county_name,year,min_tax_rate,avg_tax_rate,max_tax_rate,murder,rape,robbery,assault,burglary,larceny,auto_theft,avg_std_cnt_ele,avg_exp_ele,avg_score_ele,min_std_cnt_ele,min_exp_ele,min_score_ele,max_std_cnt_ele,max_exp_ele,max_score_ele,avg_std_cnt_mid,avg_exp_mid,avg_score_mid,min_std_cnt_mid,min_exp_mid,min_score_mid,max_std_cnt_mid,max_exp_mid,max_score_mid,avg_std_cnt_high,avg_exp_high,avg_score_high,min_std_cnt_high,min_exp_high,min_score_high,max_std_cnt_high,max_exp_high,max_score_high,est_pop,apr_30,points_30,apr_15,points_15,num_of_bedrooms,house_value_index,median_hh_income,poverty_count,poverty_rate
ATLANTIC,2017,0.964,2.9136521739130434,4.694,21.0,45.0,337.0,399.0,1159.0,4756.0,271.0,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,265446,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,1,81887.96438912215,59309,38092,14.4
ATLANTIC,2017,0.964,2.9136521739130434,4.694,21.0,45.0,337.0,399.0,1159.0,4756.0,271.0,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,265446,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,2,125858.10670330626,59309,38092,14.4
ATLANTIC,2017,0.964,2.9136521739130434,4.694,21.0,45.0,337.0,399.0,1159.0,4756.0,271.0,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,265446,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,3,175185.5825410794,59309,38092,14.4
ATLANTIC,2017,0.964,2.9136521739130434,4.694,21.0,45.0,337.0,399.0,1159.0,4756.0,271.0,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,265446,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,4,245768.0159968508,59309,38092,14.4
ATLANTIC,2017,0.964,2.9136521739130434,4.694,21.0,45.0,337.0,399.0,1159.0,4756.0,271.0,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,625.6111111111111,12472.541666666666,36.36805555555556,118,6322.0,2.9,2365,19102.0,91.3,265446,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,5,398474.9715751358,59309,38092,14.4
BERGEN,2017,0.801,2.5239857142857143,3.8,4.0,64.0,237.0,388.0,1166.0,7463.0,543.0,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,932449,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,1,225401.00877822356,93805,62037,6.6
BERGEN,2017,0.801,2.5239857142857143,3.8,4.0,64.0,237.0,388.0,1166.0,7463.0,543.0,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,932449,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,2,338998.2437002841,93805,62037,6.6
BERGEN,2017,0.801,2.5239857142857143,3.8,4.0,64.0,237.0,388.0,1166.0,7463.0,543.0,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,932449,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,3,442297.56904647785,93805,62037,6.6
BERGEN,2017,0.801,2.5239857142857143,3.8,4.0,64.0,237.0,388.0,1166.0,7463.0,543.0,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,932449,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,4,566237.1136596983,93805,62037,6.6
BERGEN,2017,0.801,2.5239857142857143,3.8,4.0,64.0,237.0,388.0,1166.0,7463.0,543.0,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,528.9431818181819,11803.848484848484,69.79431818181818,13,3269.0,13.9,1832,27835.0,95.5,932449,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536,5,855603.7957217359,93805,62037,6.6
