rank,school,type,grades,address,city,zip,county,district,year
1,Deane-Porter Elementary School,Public,"PK, KG-3",50 Blackpoint Road,Rumson,07760,Monmouth County,Rumson Borough School District,2017
2,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2017
3,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2017
4,Terence C. Reilly School No 7,Public,2-8,436 First Avenue,Elizabeth,07206,Union County,Elizabeth Public Schools,2017
5,Deerfield School,Public,K-4,26 Troy Lane,Short Hills,07078,Essex County,Millburn Township School District,2017
6,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2017
7,Sara M. Gilmore Academy,Public,1-8,1700 Kerrigan Avenue,Union City,07087,Hudson County,Union City School District,2017
8,Sea Girt Elementary School,Public,"PK, KG-8",451 Bell Place,Sea Girt,08750,Monmouth County,Sea Girt Borough School District,2017
9,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2017
10,Hartshorn School,Public,K-4,400 Hartshorn Drive,Short Hills,07078,Essex County,Millburn Township School District,2017
11,Glenwood School,Public,K-4,325 Taylor Road  South,Short Hills,07078,Essex County,Millburn Township School District,2017
12,Merritt Memorial,Public,1-5,1 Dogwood Lane,Cresskill,07626,Bergen County,Cresskill Public School District,2017
13,Essex Fells Elementary School,Public,"PK, KG-6",102 Hawthorne Rd,Essex Fells,07021,Essex County,Essex Fells School District,2017
14,Lincoln-Hubbard Elementary School,Public,1-5,52 Woodland Ave,Summit,07901,Union County,Summit Public School District,2017
15,William F. Halloran School No.22,Public,2-8,612 Pulaski Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2017
16,Franklin Elementary School,Public,1-5,136 Blackburn Road,Summit,07901,Union County,Summit Public School District,2017
17,Monmouth Junction Elementary School,Public,"PK, KG-5",630 Ridge Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2017
18,Hawes Elementary School,Public,K-5,531 Stevens Avenue,Ridgewood,07451,Bergen County,Ridgewood Public School District,2017
19,Wildwood Elementary School,Public,K-5,51 Glen Rd.,Mountain Lakes,07046,Morris County,Mountain Lakes Public School District,2017
20,Orchard Elementary School,Public,K-5,230 Demarest St,Ridgewood,07451,Bergen County,Ridgewood Public School District,2017
21,Toll Gate Grammar School,Public,"PK, KG-5",275 So  Main Street,Pennington,08534,Mercer County,Hopewell Valley Regional School District,2017
22,Mount Prospect Elementary School,Public,"PK, KG-5",111 Hansom Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2017
23,Roosevelt Public School,Public,"PK, KG-6",2a School Lane,Roosevelt,08555,Monmouth County,Roosevelt Borough Public School District,2017
24,Washington Avenue School,Public,"PK, KG-3",102 Washington Avenue,Chatham,07928,Morris County,School District of the Chathams,2017
25,West Cape May Elementary School,Public,"PK, KG-6",301 Moore Street,West Cape May,08204,Cape May County,West Cape May School District,2017
