rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
650,Toussaint Louverture-Marquis de Lafayette School No. 6,"PK, KG-8",Elizabeth Public Schools,"1,030",84.1%,"$9,262",8.1,2018
651,South Seventeenth Street School,K-8,Newark Public School District,482,87.1%,"$11,770",7.8,2018
652,Mastery Schools of Camden Inc.,K-12,Mastery Schools of Camden Inc.,"2,140",96.0%,"$14,663",7.6,2018
653,Dr. E. Alma Flagg School,K-8,Newark Public School District,499,89.8%,"$9,797",7.6,2018
654,George Washington Academy School No. 1,"PK, KG-8",Elizabeth Public Schools,634,89.0%,"$7,312",7.6,2018
655,Juan Pablo Duarte - Jose Julian Marti School No 28,"PK, KG-8",Elizabeth Public Schools,984,89.2%,"$9,410",7.5,2018
656,Quitman Street School,"PK, KG-8",Newark Public School District,576,87.8%,"$12,167",7.5,2018
657,George Washington Carver Elementary School,"PK, KG-8",Newark Public School District,455,79.8%,"$10,378",7.4,2018
658,Winfield Scott School No. 2,"PK, KG-8",Elizabeth Public Schools,695,85.2%,"$9,616",7.4,2018
659,School 8,K-8,Paterson Public School District,482,85.1%,"$9,233",7.4,2018
660,Dr. Henry H. Davis Elementary School,"PK, KG-8",Camden City School District,339,65.2%,"$20,427",7.3,2018
661,Henry B. Wilson Family School,K-8,Camden City School District,630,74.0%,"$17,638",7.2,2018
662,Octavio V. Catto Community Family School,"PK, KG-8",Camden City School District,638,60.0%,"$16,913",7.2,2018
663,Buckshutem Road School,K-8,Bridgeton City School District,604,69.0%,"$10,609",7.1,2018
664,Lindenwold Middle School,5-8,Lindenwold Public School District,784,84.2%,"$8,274",7.1,2018
665,Rafael Hernandez School,"PK, KG-8",Newark Public School District,788,95.4%,"$8,503",7,2018
666,Uptown School Complex,"PK, KG-8",Atlantic City School District,572,95.6%,"$14,625",6.9,2018
667,Dr. William H. Horton Elementary School,K-8,Newark Public School District,742,87.5%,"$9,470",6.7,2018
668,Senator Frank Lautenberg School,K-8,Paterson Public School District,528,80.9%,"$8,560",6.6,2018
669,Pennsylvania Ave School,"PK, KG-8",Atlantic City School District,559,95.0%,"$14,638",6.3,2018
670,Louise A. Spencer Elementary School,"PK, KG-8",Newark Public School District,774,87.7%,"$12,119",6.2,2018
671,Rev. Dr. Frank Napier Junior School,1-8,Paterson Public School District,469,76.1%,"$10,865",6.2,2018
672,New York Avenue School,"PK, KG-8",Atlantic City School District,605,97.7%,"$13,378",6.1,2018
673,Ezra L. Nolan School,6-8,Jersey City Public Schools,257,84.4%,"$12,859",6,2018
674,Dunn Middle School,6-8,Trenton Public School District,909,86.8%,"$10,513",5.9,2018
675,Newcomers,3-11,Paterson Public School District,203,81.3%,$946,5.8,2018
676,University High School,7-12,Newark Public School District,558,72.0%,"$12,448",5.8,2018
677,Martin Center for the Arts,"PK, KG-8",Jersey City Public Schools,428,82.7%,"$12,741",5.7,2018
678,Ollie Culbreth Junior School,"PK, KG-8",Jersey City Public Schools,427,77.0%,"$15,626",5.5,2018
679,School 10,K-8,Paterson Public School District,617,73.9%,"$8,827",5.4,2018
680,Luis Munoz-Rivera Middle School,6-8,Trenton Public School District,447,92.8%,"$12,350",5.4,2018
681,Whitney M. Young Junior School,"PK, KG-8",Jersey City Public Schools,711,81.7%,"$15,967",5.3,2018
682,School 21,"PK, KG-8",Paterson Public School District,756,70.2%,"$8,480",5.2,2018
683,Egg Harbor City Community School,4-8,Egg Harbor City School District,261,83.9%,"$12,120",5,2018
684,Salem Middle School,3-8,Salem City School District,381,86.4%,"$9,419",4.8,2018
685,Veterans Memorial Family School,"PK, KG-8",Camden City School District,457,67.2%,"$16,878",4.8,2018
686,Fairfield Township School,"PK, KG-8",Fairfield Township School District,573,13.3%,"$13,433",4.7,2018
687,Joyce Kilmer School,K-8,Trenton Public School District,388,88.9%,"$14,475",4.6,2018
688,Paulsboro Junior High School,7-8,Paulsboro School District,163,91.4%,"$8,440",4.3,2018
689,Belmont Runyon Elementary School,"PK, KG-8",Newark Public School District,526,88.4%,"$13,240",4.2,2018
690,Thomas H. Dudley Family School,"PK, KG-8",Camden City School District,534,69.7%,"$19,328",4.2,2018
691,School 12,K-8,Paterson Public School District,563,91.3%,"$9,638",4.2,2018
692,Cooper's Poynt Family School,"PK, KG-8",Camden City School District,446,73.1%,"$18,278",3.7,2018
693,Eagle Academy for Young Men of Newark,6-12,Newark Public School District,204,63.7%,"$13,274",3.4,2018
