"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G34000300031003","26","5","340030031003"
"G34000300031004","47","8","340030031004"
"G34000300031005","19","4","340030031005"
"G34000300032001","28","5","340030032001"
"G34000300032002","30","6","340030032002"
"G34000300032003","24","5","340030032003"
"G34000300032004","43","8","340030032004"
"G34000300032005","30","6","340030032005"
"G34000300033001","20","4","340030033001"
"G34000300033002","23","4","340030033002"
"G34000300033003","22","4","340030033003"
"G34000300033004","24","5","340030033004"
"G34000300033005","18","3","340030033005"
"G34000300033006","19","4","340030033006"
"G34000300034011","22","4","340030034011"
"G34000300034012","11","2","340030034012"
"G34000300034021","19","4","340030034021"
"G34000300034022","16","3","340030034022"
"G34000300034023","13","2","340030034023"
"G34000300035001","17","3","340030035001"
"G34000300035002","30","6","340030035002"
"G34000300035003","23","4","340030035003"
"G34000300040011","25","5","340030040011"
"G34000300040012","27","5","340030040012"
"G34000300040021","26","5","340030040021"
"G34000300040022","29","6","340030040022"
"G34000300040023","26","5","340030040023"
"G34000300040024","23","4","340030040024"
"G34000300050001","21","4","340030050001"
"G34000300050002","13","2","340030050002"
"G34000300050003","20","4","340030050003"
"G34000300050004","23","4","340030050004"
"G34000300050005","28","5","340030050005"
"G34000300061011","29","6","340030061011"
"G34000300061012","20","4","340030061012"
"G34000300061013","14","3","340030061013"
"G34000300061014","17","3","340030061014"
"G34000300061021","18","3","340030061021"
"G34000300061022","14","3","340030061022"
"G34000300061023","34","7","340030061023"
"G34000300062011","20","4","340030062011"
"G34000300062012","27","5","340030062012"
"G34000300062013","28","5","340030062013"
"G34000300062014","12","2","340030062014"
"G34000300062021","6","1","340030062021"
"G34000300062022","21","4","340030062022"
"G34000300062023","10","2","340030062023"
"G34000300062024","16","3","340030062024"
"G34000300063011","19","4","340030063011"
"G34000300063012","21","4","340030063012"
"G34000300063013","11","2","340030063013"
"G34000300063021","6","1","340030063021"
"G34000300063022","29","6","340030063022"
"G34000300063023","14","3","340030063023"
"G34000300063024","40","8","340030063024"
"G34000300070011","7","1","340030070011"
"G34000300070012","9","2","340030070012"
"G34000300070021","4","1","340030070021"
"G34000300070022","3","1","340030070022"
"G34000300070023","12","2","340030070023"
"G34000300070024","7","1","340030070024"
"G34000300080011","3","1","340030080011"
"G34000300080012","9","2","340030080012"
"G34000300080013","5","1","340030080013"
"G34000300080021","9","2","340030080021"
"G34000300080022","9","2","340030080022"
"G34000300080023","8","1","340030080023"
"G34000300091001","6","1","340030091001"
"G34000300091002","3","1","340030091002"
"G34000300091003","11","2","340030091003"
"G34000300091004","10","2","340030091004"
"G34000300092001","7","1","340030092001"
"G34000300092002","10","2","340030092002"
"G34000300092003","5","1","340030092003"
"G34000300101001","16","3","340030101001"
"G34000300101002","27","5","340030101002"
"G34000300101003","20","4","340030101003"
"G34000300101004","19","4","340030101004"
"G34000300101005","28","5","340030101005"
"G34000300101006","26","5","340030101006"
"G34000300101007","23","4","340030101007"
"G34000300102001","16","3","340030102001"
"G34000300102002","19","4","340030102002"
"G34000300102003","23","4","340030102003"
"G34000300102004","22","4","340030102004"
"G34000300102005","36","7","340030102005"
"G34000300103001","20","4","340030103001"
"G34000300103002","24","5","340030103002"
"G34000300103003","15","3","340030103003"
"G34000300103004","24","5","340030103004"
"G34000300103005","19","4","340030103005"
"G34000300103006","20","4","340030103006"
"G34000300103007","21","4","340030103007"
"G34000300111001","24","5","340030111001"
"G34000300111002","24","5","340030111002"
"G34000300111003","68","10","340030111003"
"G34000300111004","27","5","340030111004"
"G34000300112001","30","6","340030112001"
"G34000300112002","18","3","340030112002"
"G34000300112003","28","5","340030112003"
"G34000300112004","28","5","340030112004"
"G34000300113001","24","5","340030113001"
"G34000300113002","19","4","340030113002"
"G34000300113003","24","5","340030113003"
"G34000300113004","27","5","340030113004"
"G34000300114001","18","3","340030114001"
"G34000300114002","15","3","340030114002"
"G34000300114003","26","5","340030114003"
"G34000300114004","27","5","340030114004"
"G34000300114005","25","5","340030114005"
"G34000300120011","23","4","340030120011"
"G34000300120012","27","5","340030120012"
"G34000300120013","22","4","340030120013"
"G34000300120014","26","5","340030120014"
"G34000300120021","25","5","340030120021"
"G34000300120022","24","5","340030120022"
"G34000300120023","23","4","340030120023"
"G34000300130021","4","1","340030130021"
"G34000300130022","22","4","340030130022"
"G34000300130023","15","3","340030130023"
"G34000300130024","14","3","340030130024"
"G34000300130031","7","1","340030130031"
"G34000300130041","8","1","340030130041"
"G34000300130042","6","1","340030130042"
"G34000300130043","7","1","340030130043"
"G34000300140001","8","1","340030140001"
"G34000300140002","16","3","340030140002"
"G34000300140003","16","3","340030140003"
"G34000300140004","12","2","340030140004"
"G34000300140005","8","1","340030140005"
"G34000300140006","15","3","340030140006"
"G34000300151001","2","1","340030151001"
"G34000300151002","4","1","340030151002"
"G34000300151003","4","1","340030151003"
"G34000300152001","26","5","340030152001"
"G34000300152002","11","2","340030152002"
"G34000300152003","33","6","340030152003"
"G34000300152004","11","2","340030152004"
"G34000300152005","22","4","340030152005"
"G34000300152006","30","6","340030152006"
"G34000300153001","30","6","340030153001"
"G34000300153002","34","7","340030153002"
"G34000300153003","31","6","340030153003"
"G34000300153004","56","9","340030153004"
"G34000300154011","35","7","340030154011"
"G34000300154012","38","7","340030154012"
"G34000300154013","18","3","340030154013"
"G34000300154021","25","5","340030154021"
"G34000300154022","33","6","340030154022"
"G34000300155001","4","1","340030155001"
"G34000300155002","16","3","340030155002"
"G34000300155003","1","1","340030155003"
"G34000300155004","2","1","340030155004"
"G34000300155005","10","2","340030155005"
"G34000300155006","36","7","340030155006"
"G34000300160001","1","1","340030160001"
"G34000300160002","2","1","340030160002"
"G34000300160003","2","1","340030160003"
"G34000300160004","5","1","340030160004"
"G34000300160005","2","1","340030160005"
"G34000300160006","3","1","340030160006"
"G34000300171011","12","2","340030171011"
"G34000300171012","8","1","340030171012"
"G34000300171013","11","2","340030171013"
"G34000300171014","15","3","340030171014"
"G34000300171015","12","2","340030171015"
"G34000300171021","8","1","340030171021"
"G34000300171022","11","2","340030171022"
"G34000300172001","23","4","340030172001"
"G34000300172002","16","3","340030172002"
"G34000300172003","25","5","340030172003"
"G34000300172004","18","3","340030172004"
"G34000300172005","17","3","340030172005"
"G34000300172006","19","4","340030172006"
"G34000300173011","16","3","340030173011"
"G34000300173012","14","3","340030173012"
"G34000300173013","14","3","340030173013"
"G34000300173021","16","3","340030173021"
"G34000300173022","15","3","340030173022"
"G34000300173023","15","3","340030173023"
"G34000300174001","12","2","340030174001"
"G34000300174002","12","2","340030174002"
"G34000300174003","14","3","340030174003"
"G34000300174004","17","3","340030174004"
"G34000300174005","20","4","340030174005"
"G34000300175011","15","3","340030175011"
"G34000300175012","17","3","340030175012"
"G34000300175013","21","4","340030175013"
"G34000300175014","21","4","340030175014"
"G34000300175021","26","5","340030175021"
"G34000300175022","18","3","340030175022"
"G34000300175023","15","3","340030175023"
"G34000300181011","31","6","340030181011"
"G34000300181012","11","2","340030181012"
"G34000300181013","41","8","340030181013"
"G34000300181014","24","5","340030181014"
"G34000300181021","32","6","340030181021"
"G34000300181022","22","4","340030181022"
"G34000300182001","15","3","340030182001"
"G34000300182002","22","4","340030182002"
"G34000300182003","16","3","340030182003"
"G34000300182004","31","6","340030182004"
"G34000300182005","16","3","340030182005"
"G34000300191021","34","7","340030191021"
"G34000300191022","44","8","340030191022"
"G34000300191031","74","10","340030191031"
"G34000300191032","9","2","340030191032"
"G34000300191033","82","10","340030191033"
"G34000300191034","62","10","340030191034"
"G34000300191041","22","4","340030191041"
"G34000300191042","23","4","340030191042"
"G34000300191043","43","8","340030191043"
"G34000300191044","37","7","340030191044"
"G34000300192021","18","3","340030192021"
"G34000300192031","17","3","340030192031"
"G34000300192032","46","8","340030192032"
"G34000300192033","35","7","340030192033"
"G34000300192041","32","6","340030192041"
"G34000300192042","14","3","340030192042"
"G34000300192043","51","9","340030192043"
"G34000300193031","17","3","340030193031"
"G34000300193032","8","1","340030193032"
"G34000300193033","30","6","340030193033"
"G34000300193034","26","5","340030193034"
"G34000300193041","9","2","340030193041"
"G34000300193042","8","1","340030193042"
"G34000300193043","10","2","340030193043"
"G34000300193051","16","3","340030193051"
"G34000300193052","7","1","340030193052"
"G34000300193053","45","8","340030193053"
"G34000300193061","5","1","340030193061"
"G34000300201001","2","1","340030201001"
"G34000300201002","6","1","340030201002"
"G34000300201003","6","1","340030201003"
"G34000300202001","2","1","340030202001"
"G34000300202002","2","1","340030202002"
"G34000300202003","2","1","340030202003"
"G34000300211011","38","7","340030211011"
"G34000300211012","19","4","340030211012"
"G34000300211013","23","4","340030211013"
"G34000300211014","19","4","340030211014"
"G34000300211021","27","5","340030211021"
"G34000300211022","27","5","340030211022"
"G34000300211023","25","5","340030211023"
"G34000300212001","21","4","340030212001"
"G34000300212002","38","7","340030212002"
"G34000300212003","28","5","340030212003"
"G34000300212004","31","6","340030212004"
"G34000300212005","36","7","340030212005"
"G34000300212006","25","5","340030212006"
"G34000300213001","30","6","340030213001"
"G34000300213002","34","7","340030213002"
"G34000300213003","37","7","340030213003"
"G34000300213004","20","4","340030213004"
"G34000300214001","23","4","340030214001"
"G34000300214002","19","4","340030214002"
"G34000300214003","16","3","340030214003"
"G34000300214004","15","3","340030214004"
"G34000300215001","28","5","340030215001"
"G34000300215002","34","7","340030215002"
"G34000300215003","45","8","340030215003"
"G34000300215004","47","8","340030215004"
"G34000300215005","31","6","340030215005"
"G34000300215006","43","8","340030215006"
"G34000300216001","27","5","340030216001"
"G34000300216002","32","6","340030216002"
"G34000300216003","38","7","340030216003"
"G34000300216004","30","6","340030216004"
"G34000300221001","6","1","340030221001"
"G34000300221002","4","1","340030221002"
"G34000300221003","11","2","340030221003"
"G34000300222001","7","1","340030222001"
"G34000300222002","8","1","340030222002"
"G34000300222003","3","1","340030222003"
"G34000300222004","6","1","340030222004"
"G34000300222005","6","1","340030222005"
"G34000300222006","8","1","340030222006"
"G34000300222007","6","1","340030222007"
"G34000300231001","19","4","340030231001"
"G34000300231002","20","4","340030231002"
"G34000300232011","25","5","340030232011"
"G34000300232012","33","6","340030232012"
"G34000300232013","42","8","340030232013"
"G34000300232014","44","8","340030232014"
"G34000300232021","31","6","340030232021"
"G34000300232022","21","4","340030232022"
"G34000300232023","54","9","340030232023"
"G34000300233011","19","4","340030233011"
"G34000300233012","22","4","340030233012"
"G34000300233013","20","4","340030233013"
"G34000300233031","77","10","340030233031"
"G34000300233032","24","5","340030233032"
"G34000300233033","51","9","340030233033"
"G34000300233041","37","7","340030233041"
"G34000300233042","58","9","340030233042"
"G34000300234011","59","9","340030234011"
"G34000300234012","58","9","340030234012"
"G34000300234013","20","4","340030234013"
"G34000300234021","31","6","340030234021"
"G34000300234022","31","6","340030234022"
"G34000300234023","22","4","340030234023"
"G34000300234024","14","3","340030234024"
"G34000300234025","15","3","340030234025"
"G34000300235011","39","7","340030235011"
"G34000300235012","60","9","340030235012"
"G34000300235021","46","8","340030235021"
"G34000300235022","45","8","340030235022"
"G34000300235023","44","8","340030235023"
"G34000300236011","33","6","340030236011"
"G34000300236012","36","7","340030236012"
"G34000300236013","28","5","340030236013"
"G34000300236021","35","7","340030236021"
"G34000300236022","27","5","340030236022"
"G34000300236023","GQ","GQ","340030236023"
"G34000300241001","6","1","340030241001"
"G34000300241002","4","1","340030241002"
"G34000300241003","4","1","340030241003"
"G34000300241004","6","1","340030241004"
"G34000300242001","6","1","340030242001"
"G34000300242002","17","3","340030242002"
"G34000300242003","6","1","340030242003"
"G34000300242004","12","2","340030242004"
"G34000300242005","8","2","340030242005"
"G34000300251001","19","4","340030251001"
"G34000300251002","26","5","340030251002"
"G34000300251003","23","4","340030251003"
"G34000300251004","23","4","340030251004"
"G34000300251005","22","4","340030251005"
"G34000300251006","22","4","340030251006"
"G34000300252001","18","3","340030252001"
"G34000300252002","17","3","340030252002"
"G34000300252003","9","2","340030252003"
"G34000300252004","20","4","340030252004"
"G34000300252005","15","3","340030252005"
"G34000300252006","14","3","340030252006"
"G34000300261001","7","1","340030261001"
"G34000300261002","9","2","340030261002"
"G34000300261003","12","2","340030261003"
"G34000300261004","10","2","340030261004"
"G34000300262001","16","3","340030262001"
"G34000300262002","6","1","340030262002"
"G34000300262003","6","1","340030262003"
"G34000300262004","9","2","340030262004"
"G34000300262005","14","3","340030262005"
"G34000300270001","3","1","340030270001"
"G34000300270002","5","1","340030270002"
"G34000300270003","4","1","340030270003"
"G34000300270004","5","1","340030270004"
"G34000300280011","17","3","340030280011"
"G34000300280012","14","3","340030280012"
"G34000300280013","20","4","340030280013"
"G34000300280014","16","3","340030280014"
"G34000300280015","19","4","340030280015"
"G34000300280021","7","1","340030280021"
"G34000300280022","12","2","340030280022"
"G34000300280023","8","2","340030280023"
"G34000300280024","23","4","340030280024"
"G34000300291001","34","7","340030291001"
"G34000300291002","25","5","340030291002"
"G34000300291003","30","6","340030291003"
"G34000300292001","20","4","340030292001"
"G34000300292002","34","7","340030292002"
"G34000300292003","20","4","340030292003"
"G34000300292004","22","4","340030292004"
"G34000300292005","33","6","340030292005"
"G34000300301001","28","5","340030301001"
"G34000300301002","27","5","340030301002"
"G34000300301003","21","4","340030301003"
"G34000300301004","40","8","340030301004"
"G34000300301005","28","5","340030301005"
"G34000300302011","18","3","340030302011"
"G34000300302012","25","5","340030302012"
"G34000300302013","20","4","340030302013"
"G34000300302014","32","6","340030302014"
"G34000300302021","20","4","340030302021"
"G34000300302022","27","5","340030302022"
"G34000300302023","35","7","340030302023"
"G34000300303001","21","4","340030303001"
"G34000300303002","23","4","340030303002"
"G34000300303003","29","6","340030303003"
"G34000300303004","30","6","340030303004"
"G34000300303005","28","5","340030303005"
"G34000300304011","20","4","340030304011"
"G34000300304012","20","4","340030304012"
"G34000300304013","66","10","340030304013"
"G34000300304014","21","4","340030304014"
"G34000300304021","23","4","340030304021"
"G34000300304022","29","6","340030304022"
"G34000300304023","33","6","340030304023"
"G34000300304024","18","3","340030304024"
"G34000300311001","22","4","340030311001"
"G34000300311002","23","4","340030311002"
"G34000300311003","20","4","340030311003"
"G34000300311004","12","2","340030311004"
"G34000300312001","27","5","340030312001"
"G34000300312002","17","3","340030312002"
"G34000300312003","27","5","340030312003"
"G34000300312004","27","5","340030312004"
"G34000300312005","19","4","340030312005"
"G34000300313001","18","3","340030313001"
"G34000300313002","24","5","340030313002"
"G34000300313003","25","5","340030313003"
"G34000300313004","18","3","340030313004"
"G34000300313005","27","5","340030313005"
"G34000300313006","18","3","340030313006"
"G34000300314001","19","4","340030314001"
"G34000300314002","25","5","340030314002"
"G34000300314003","21","4","340030314003"
"G34000300314004","21","4","340030314004"
"G34000300314005","17","3","340030314005"
"G34000300314006","27","5","340030314006"
"G34000300321021","5","1","340030321021"
"G34000300321022","8","2","340030321022"
"G34000300321023","8","2","340030321023"
"G34000300321031","19","4","340030321031"
"G34000300321032","33","6","340030321032"
"G34000300321033","28","5","340030321033"
"G34000300321041","GQ","GQ","340030321041"
"G34000300321042","25","5","340030321042"
"G34000300322011","3","1","340030322011"
"G34000300322012","6","1","340030322012"
"G34000300322013","23","4","340030322013"
"G34000300322021","19","4","340030322021"
"G34000300322022","9","2","340030322022"
"G34000300322023","22","4","340030322023"
"G34000300322024","20","4","340030322024"
"G34000300331001","21","4","340030331001"
"G34000300331002","21","4","340030331002"
"G34000300331003","20","4","340030331003"
"G34000300331004","16","3","340030331004"
"G34000300332001","39","7","340030332001"
"G34000300332002","26","5","340030332002"
"G34000300332003","16","3","340030332003"
"G34000300333001","28","5","340030333001"
"G34000300333002","17","3","340030333002"
"G34000300333003","19","4","340030333003"
"G34000300333004","25","5","340030333004"
"G34000300340011","15","3","340030340011"
"G34000300340012","16","3","340030340012"
"G34000300340013","11","2","340030340013"
"G34000300340021","13","2","340030340021"
"G34000300340022","11","2","340030340022"
"G34000300340023","13","2","340030340023"
"G34000300340024","12","2","340030340024"
"G34000300351001","11","2","340030351001"
"G34000300351002","6","1","340030351002"
"G34000300351003","11","2","340030351003"
"G34000300351004","15","3","340030351004"
"G34000300351005","5","1","340030351005"
"G34000300352001","7","1","340030352001"
"G34000300352002","7","1","340030352002"
"G34000300352003","4","1","340030352003"
"G34000300352004","3","1","340030352004"
"G34000300352005","3","1","340030352005"
"G34000300361001","23","4","340030361001"
"G34000300361002","21","4","340030361002"
"G34000300362001","19","4","340030362001"
"G34000300362002","98","10","340030362002"
"G34000300371001","19","4","340030371001"
"G34000300371002","23","4","340030371002"
"G34000300371003","17","3","340030371003"
"G34000300371004","17","3","340030371004"
"G34000300371005","14","3","340030371005"
"G34000300371006","11","2","340030371006"
"G34000300372011","14","3","340030372011"
"G34000300372012","17","3","340030372012"
"G34000300372013","16","3","340030372013"
"G34000300372031","16","3","340030372031"
"G34000300372032","22","4","340030372032"
"G34000300372033","11","2","340030372033"
"G34000300372034","15","3","340030372034"
"G34000300372041","22","4","340030372041"
"G34000300372042","24","5","340030372042"
"G34000300372043","24","5","340030372043"
"G34000300381001","26","5","340030381001"
"G34000300381002","29","6","340030381002"
"G34000300381003","25","5","340030381003"
"G34000300381004","23","4","340030381004"
"G34000300381005","18","3","340030381005"
"G34000300381006","22","4","340030381006"
"G34000300382001","27","5","340030382001"
"G34000300382002","25","5","340030382002"
"G34000300382003","29","6","340030382003"
"G34000300382004","25","5","340030382004"
"G34000300383001","12","2","340030383001"
"G34000300383002","18","3","340030383002"
"G34000300383003","27","5","340030383003"
"G34000300383004","24","5","340030383004"
"G34000300383005","25","5","340030383005"
"G34000300383006","23","4","340030383006"
"G34000300391001","27","5","340030391001"
"G34000300391002","27","5","340030391002"
"G34000300391003","8","2","340030391003"
"G34000300392001","8","2","340030392001"
"G34000300392002","14","3","340030392002"
"G34000300392003","11","2","340030392003"
"G34000300392004","10","2","340030392004"
"G34000300392005","15","3","340030392005"
"G34000300393001","17","3","340030393001"
"G34000300393002","9","2","340030393002"
"G34000300400011","5","1","340030400011"
"G34000300400012","4","1","340030400012"
"G34000300400013","6","1","340030400013"
"G34000300400021","13","2","340030400021"
"G34000300400022","9","2","340030400022"
"G34000300400023","11","2","340030400023"
"G34000300400024","6","1","340030400024"
"G34000300411001","23","4","340030411001"
"G34000300411002","15","3","340030411002"
"G34000300411003","21","4","340030411003"
"G34000300411004","17","3","340030411004"
"G34000300411005","20","4","340030411005"
"G34000300412001","10","2","340030412001"
"G34000300412002","17","3","340030412002"
"G34000300412003","11","2","340030412003"
"G34000300412004","5","1","340030412004"
"G34000300413011","13","2","340030413011"
"G34000300413012","13","2","340030413012"
"G34000300413013","12","2","340030413013"
"G34000300413021","8","2","340030413021"
"G34000300413022","10","2","340030413022"
"G34000300413023","18","3","340030413023"
"G34000300421011","23","4","340030421011"
"G34000300421012","14","3","340030421012"
"G34000300421021","10","2","340030421021"
"G34000300421022","8","2","340030421022"
"G34000300421023","6","1","340030421023"
"G34000300421024","9","2","340030421024"
"G34000300423011","9","2","340030423011"
"G34000300423012","10","2","340030423012"
"G34000300423013","8","2","340030423013"
"G34000300423021","7","1","340030423021"
"G34000300423022","GQ","GQ","340030423022"
"G34000300423023","11","2","340030423023"
"G34000300423024","10","2","340030423024"
"G34000300424001","9","2","340030424001"
"G34000300424002","8","2","340030424002"
"G34000300424003","9","2","340030424003"
"G34000300424004","8","2","340030424004"
"G34000300425001","8","2","340030425001"
"G34000300425002","7","1","340030425002"
"G34000300425003","10","2","340030425003"
"G34000300430011","9","2","340030430011"
"G34000300430012","7","1","340030430012"
"G34000300430013","6","1","340030430013"
"G34000300430021","8","2","340030430021"
"G34000300430022","23","4","340030430022"
"G34000300430023","7","1","340030430023"
"G34000300430024","8","2","340030430024"
"G34000300441001","5","1","340030441001"
"G34000300441002","7","1","340030441002"
"G34000300441003","4","1","340030441003"
"G34000300441004","8","2","340030441004"
"G34000300442011","6","1","340030442011"
"G34000300442012","10","2","340030442012"
"G34000300442013","9","2","340030442013"
"G34000300442021","16","3","340030442021"
"G34000300442022","12","2","340030442022"
"G34000300442023","14","3","340030442023"
"G34000300451011","28","5","340030451011"
