rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
647,Frances DeMasi Elementary School,K-5,Evesham Township School District,300,5.3%,"$8,998",54.2,2018
648,Wilson School,"PK, KG-5",Lodi School District,353,52.7%,"$6,821",54.2,2018
649,Ogdensburg Borough School,"PK, KG-8",Ogdensburg Borough School District,224,20.5%,"$14,824",54.1,2018
650,Ocean Road Elementary School,"PK, KG-5",Point Pleasant Borough School District,493,16.4%,"$11,627",54.1,2018
651,Ann Street School,K-8,Newark Public School District,"1,276",85.3%,"$8,426",54,2018
652,Woodrow Wilson School #5,"PK, KG-5",Garfield Public School District,310,55.8%,"$10,577",54,2018
653,Huber Street School,"PK, KG-5",Secaucus School District,631,21.2%,"$7,790",53.9,2018
654,Samuel R. Donald Elementary School,2-4,Bloomingdale School District,173,23.1%,"$16,555",53.6,2018
655,Lafayette Township School,"PK, KG-8",Lafayette Township School District,225,11.6%,"$16,815",53.5,2018
656,Woodrow Wilson Community School,"PK, KG-8",Bayonne School District,700,62.1%,"$12,061",53.5,2018
657,McGalliard Elementary School,K-5,Hamilton Township Public School District,270,34.1%,"$8,432",53.4,2018
658,Birches Elementary School,K-5,Washington Township School District,443,20.8%,"$12,502",53.2,2018
659,Birchwood Elementary School,"PK, KG-5",Rockaway Township School District,300,28.3%,"$15,674",53.1,2018
660,Dwight D. Eisenhower Elementary School,K-3,Piscataway Township School District,530,40.2%,"$6,340",53,2018
661,Washington Street Elementary School,K-5,Toms River Regional School District,417,30.7%,"$6,399",53,2018
662,Bergen Arts and Sciences Charter School,K-12,Bergen Arts and Science Charter School,"1,151",50.0%,"$8,403",52.9,2018
663,West Amwell Township School,K-6,South Hunterdon Regional School District,231,10.8%,"$11,144",52.9,2018
664,Franklin Township School,"PK, KG-8",Franklin Township School District,288,2.4%,"$14,956",52.9,2018
665,Cedar Grove Elementary School,"PK, KG-5",Toms River Regional School District,852,24.1%,"$4,999",52.8,2018
666,Indian Mills Elementary School,"PK, KG-4",Shamong Township School District,393,12.5%,"$15,158",52.7,2018
667,Long Beach Island Grade School,3-6,Long Beach Island Consolidated School District,125,26.4%,"$22,591",52.5,2018
668,Forest Avenue School,K-4,Verona Public School District,210,0.0%,"$14,134",52.4,2018
669,Eleanor Rush Intermediate School,3-5,Cinnaminson Township School District,573,14.5%,"$8,892",52.3,2018
670,Oaklyn Public School,"PK, KG-5",Oaklyn Public School District,362,34.3%,"$16,778",52.2,2018
671,Parker Elementary School,K-3,Middlesex Borough School District,222,54.5%,"$10,883",52.2,2018
672,Martin Luther King Junior School,"PK, KG-8",Jersey City Public Schools,898,81.2%,"$9,613",52.1,2018
673,Hannah Caldwell Elementary,"PK, KG-4",Township of Union School District,498,25.1%,"$9,488",52.1,2018
674,Roosevelt Elementary School,K-5,Hawthorne Public School District,528,24.8%,"$11,687",52,2018
675,Perry L. Drew Elementary School,3-5,East Windsor Regional School District,659,45.7%,"$11,627",52,2018
676,Richmond Avenue School,"PK, KG-8",Atlantic City School District,715,92.0%,"$12,517",51.9,2018
677,Switlik Elementary School,"PK, KG-5",Jackson Township School District,775,24.9%,"$8,304",51.8,2018
678,Grace N. Rogers Elementary School,3-5,East Windsor Regional School District,594,44.4%,"$11,916",51.7,2018
679,Mary J Donohoe Community School,"PK, KG-8",Bayonne School District,471,55.4%,"$11,493",51.7,2018
680,Southampton Township School #2,3-5,Southampton Township School District,226,23.9%,"$12,084",51.5,2018
681,Marlton Elementary,K-5,Evesham Township School District,444,5.6%,"$9,212",51.5,2018
682,Dr. Albert Einstein Academy School No. 29,"PK, KG-8",Elizabeth Public Schools,809,78.7%,"$8,512",51.4,2018
683,Dwight D. Eisenhower Elementary School,K-3,Sayreville School District,525,35.8%,"$6,725",51.2,2018
684,Robert Erskine School,K-3,Ringwood School District,229,14.0%,"$11,230",51.2,2018
685,Clara Barton Elementary School,K-5,Cherry Hill School District,473,29.2%,"$7,759",51,2018
686,Jefferson (Annex) Elementary School,K-3,Wallington Boro School District,248,32.3%,"$6,495",50.9,2018
687,Bartle Elementary School,2-5,Highland Park Boro School District,463,40.2%,"$9,348",50.9,2018
688,Joseph A. Citta Elementary School,"PK, KG-5",Toms River Regional School District,613,40.5%,"$6,372",50.9,2018
689,Private Nicholas Minue Elementary School,"PK, KG-5",Carteret Public School District,678,63.6%,"$4,949",50.7,2018
690,Northfield Community Elementary School,"PK, KG-4",Northfield City School District,500,21.2%,"$10,405",50.7,2018
691,BelovED Community Charter School,K-11,BelovED Community Charter School,959,66.4%,"$7,699",50.6,2018
692,James W. Lilley Elementary School,K-5,Gloucester Township Public Schools,516,47.5%,"$13,945",50.5,2018
693,Battle Hill Elementary,"PK, KG-4",Township of Union School District,412,19.9%,"$12,502",50.3,2018
694,School #12,"PK, KG-5",Clifton Public School District,684,81.3%,"$13,219",50.3,2018
695,Cecil S. Collins Elementary,K-2,Barnegat Township School District,472,24.8%,"$5,306",50.3,2018
696,Unity Charter School,K-8,Unity Charter School,242,11.2%,"$10,094",50.3,2018
697,Robert Fulton Elementary School,1-8,North Bergen School District,"1,192",54.5%,"$4,189",50.2,2018
698,Whiton Elementary School,"PK, KG-3",Branchburg Township School District,611,5.9%,"$15,143",50.1,2018
699,Eldridge Park School,K-3,Lawrence Township Public School District,232,28.0%,"$16,447",50.1,2018
700,Wallace Elementary School,"PK, KG-5",Hoboken Public School District,678,38.6%,"$12,764",50.1,2018
701,School 1,K-5,Paterson Public School District,248,78.6%,"$9,731",50,2018
702,Beatrice Gilmore School,3-5,Woodland Park School District,228,38.6%,"$12,753",50,2018
703,J Harold Van Zant,K-5,Evesham Township School District,519,10.6%,"$8,694",50,2018
704,Lenox School,K-5,Pompton Lakes School District,329,24.6%,"$9,988",50,2018
705,North Dover Elementary School,"PK, KG-6",Dover Public School District,686,74.2%,"$5,024",49.8,2018
706,Frank R Conwell School,"PK, KG-5",Jersey City Public Schools,630,59.0%,"$9,863",49.8,2018
707,Fairview Elementary School,"PK, KG-6",Bloomfield Township School District,550,43.5%,"$6,620",49.7,2018
708,Christopher Columbus School #8,"PK, KG-5",Garfield Public School District,409,62.1%,"$11,164",49.5,2018
709,Memorial School,"PK, KG-8",Union Beach Public School District,625,33.0%,"$13,079",49.4,2018
710,James Johnson Elementary School,K-5,Cherry Hill School District,434,33.2%,"$8,729",49.3,2018
711,Middle Road School,1-4,Hazlet Township Public School District,263,16.0%,"$8,074",49.3,2018
712,Elsinboro Township School,K-8,Elsinboro Township School District,126,50.8%,"$14,031",49.3,2018
713,McKenzie School,"PK, KG-4",East Rutherford School District,477,29.4%,"$10,579",49.2,2018
714,Victor Mravlag School No. 21,"PK, KG-8",Elizabeth Public Schools,612,41.0%,"$10,124",49.2,2018
715,School #1,K-5,Clifton Public School District,282,62.1%,"$12,189",49.1,2018
716,Watchung Elementary School,K-3,Middlesex Borough School District,211,22.7%,"$7,418",49,2018
717,Deal Elementary School,K-8,Deal Boro School District,165,10.9%,"$16,125",49,2018
718,Francis A. Desmares Elementary School,K-4,Flemington-Raritan Regional School District,426,34.7%,"$10,815",48.9,2018
719,H Ashton Marsh,"PK, KG-4",Absecon Public Schools District,493,50.1%,"$9,221",48.9,2018
720,Green-Fields Elementary School,3-4,West Deptford Township School District,495,27.1%,"$10,486",48.9,2018
721,Mullica Township Primary School,"PK, KG-4",Mullica Township School District,393,39.2%,"$9,923",48.9,2018
722,Academy Street Elementary School,"PK, KG-6",Dover Public School District,562,79.5%,"$4,572",48.8,2018
723,Ridge and Valley Charter School,K-8,Ridge and Valley Charter School,127,0.0%,"$13,265",48.8,2018
724,Christa McAuliffe School,"PK, KG-8",Jersey City Public Schools,"1,043",83.1%,"$10,643",48.8,2018
725,Margaret Mace Elementary School,"PK, KG-8",North Wildwood School District,209,63.2%,"$26,141",48.8,2018
726,Washington Memorial Elementary School,2-6,Washington Borough School District,288,35.1%,"$11,382",48.8,2018
727,Franklin Elementary,"PK, KG-4",Township of Union School District,424,33.5%,"$8,711",48.6,2018
728,South Amboy Elementary,"PK, KG-5",South Amboy School District,537,42.8%,"$9,301",48.5,2018
729,Raymond E. Voorhees Elementary School,K-5,Old Bridge Township School District,354,23.2%,"$12,225",48.5,2018
730,Mansion Avenue School,3-6,Audubon Public School District,378,23.5%,"$12,922",48.4,2018
731,Thomas A. Edison Elementary School,"PK, KG-5",Haddon Township School District,143,14.0%,"$9,097",48.4,2018
732,Merchantville Elementary School,"PK, KG-8",Merchantville School District,403,29.8%,"$10,608",48.4,2018
733,New Monmouth Elementary School,K-5,Middletown Township Public School District,380,12.6%,"$13,439",48.4,2018
734,Empowerment Academy Charter School,K-7,Empowerment Academy Charter School,457,60.2%,"$8,106",48.2,2018
735,W.C.K. Walls Elementary,2-5,Pitman Boro School District,240,22.5%,"$9,919",48.2,2018
736,Franklin Borough School,"PK, KG-8",Franklin Borough School District,428,35.5%,"$15,890",48.1,2018
737,Nathaniel Hawthorne Elementary School,K-4,Teaneck School District,300,43.3%,"$6,234",48,2018
738,Quinton Township School,"PK, KG-8",Quinton Township School District,326,36.8%,"$11,907",48,2018
739,Hurffville Elementary School,K-5,Washington Township School District,492,19.3%,"$9,904",48,2018
740,Florence M. Burd,"PK, KG-4",Andover Regional School District,244,13.9%,"$14,461",48,2018
741,Livingston Park,"PK, KG-4",North Brunswick Township School District,590,36.4%,"$9,438",47.9,2018
742,Alloway Township School,"PK, KG-8",Alloway Township School District,359,14.8%,"$10,893",47.9,2018
743,Hardyston Township Elementary School,"PK, KG-4",Hardyston Township School District,374,11.0%,"$8,751",47.9,2018
744,Woodbury Heights Elementary,"PK, KG-6",Woodbury Heights Public School District,228,18.9%,"$12,936",47.8,2018
745,Beachwood Elementary School,K-5,Toms River Regional School District,515,25.2%,"$6,926",47.6,2018
746,Aura Elementary School,"PK, KG-6",Elk Township School District,377,30.8%,"$13,054",47.5,2018
747,Mansfield Township Elementary,"PK, KG-6",Mansfield Township Elementary School District,629,26.2%,"$12,529",47.5,2018
748,Apshawa Elementary School,K-5,West Milford Township Public School District,263,17.1%,"$12,195",47.5,2018
749,Walter F. Robinson Community School,"PK, KG-8",Bayonne School District,777,63.2%,"$10,239",47.4,2018
750,Merriam Avenue School,"PK, KG-4",Newton Public School District,485,48.9%,"$9,845",47.3,2018
751,Nellie K. Parker,"PK, KG-4",Hackensack School District,613,60.8%,"$15,918",47.3,2018
752,Camden Prep Inc.,K-10,Camden Prep Inc.,589,96.8%,"$11,619",47.2,2018
753,Roosevelt Elementary School,"PK, KG-6",Ridgefield Park Public School District,318,37.4%,"$10,844",47.1,2018
754,Woodbine Avenue Elementary School,K-5,Woodbridge Township School District,574,30.0%,"$4,196",47.1,2018
755,John P. Faber Elementary School,"PK, KG-5",Dunellen Public School District,591,46.4%,"$4,605",47,2018
756,Arthur Stanlick Elementary School,2-5,Jefferson Township Public School District,307,14.3%,"$10,708",47,2018
