rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Glenwood School,K-4,Millburn Township School District,357,0.8%,"$13,622",99.2,2020
2,Lincoln-Hubbard Elementary School,1-5,Summit Public School District,326,4.3%,"$6,083",99.2,2020
3,School 28,"PK, KG-8",Paterson Public School District,466,58.2%,"$9,579",98.8,2020
4,Cornelia F. Bradford School,"PK, KG-5",Jersey City Public Schools,774,4.9%,"$6,621",98.7,2020
5,Clara E Coleman School,K-5,Glen Rock Public School District,317,0.9%,"$12,862",97.9,2020
6,Wyoming School,K-4,Millburn Township School District,310,1.0%,"$14,064",97.7,2020
7,Mount Prospect Elementary School,"PK, KG-5",Bernards Township School District,507,0.6%,"$13,495",97.6,2020
8,Woodbrook Elementary School,K-5,Edison Township School District,988,3.4%,"$6,009",97.6,2020
9,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,591,12.7%,"$7,387",97.5,2020
10,Littlebrook School,"PK, KG-5",Princeton Public School District,342,6.7%,"$13,695",97.4,2020
11,Upper School,3-8,Englewood Cliffs School District,292,1.0%,"$12,826",97.4,2020
12,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,150,2.0%,"$19,511",97.3,2020
13,James Madison Intermediate School,3-5,Edison Township School District,635,5.8%,"$5,668",97.3,2020
14,Deerfield School,K-4,Millburn Township School District,400,0.8%,"$13,641",97.2,2020
15,Harrison Elementary School,K-5,Livingston Board of Education School District,453,0.7%,"$11,602",97.2,2020
16,Essex Fells Elementary School,"PK, KG-6",Essex Fells School District,251,1.2%,"$16,556",97.1,2020
17,Princeton Charter School,K-8,Princeton Charter School,426,4.9%,,97.1,2020
18,Central School,"PK, KG-5",Glen Rock Public School District,346,0.9%,"$13,648",96.9,2020
19,Martin Luther King Elementary School,K-5,Edison Township School District,700,5.3%,"$5,998",96.8,2020
20,Hillside Elementary School,K-5,Livingston Board of Education School District,386,4.1%,"$11,276",96.8,2020
21,South Mountain School,"PK, KG-4",Millburn Township School District,274,1.1%,"$14,387",96.8,2020
22,Mount Pleasant Elementary School,K-5,Livingston Board of Education School District,412,1.7%,"$10,849",96.8,2020
23,Hatikvah International Academy Charter School,K-8,Hatikvah International Academy Charter School,546,4.9%,"$8,359",96.6,2020
24,Hilldale School,K-5,Montville Township School District,297,1.0%,"$13,513",96.5,2020
25,Harrington Park School,"PK, KG-8",Harrington Park School District,558,0.5%,"$16,559",96.5,2020
26,Village School,"PK, KG-3",Holmdel Township School District,707,0.6%,"$19,682",96.4,2020
27,Orchard Elementary School,K-5,Ridgewood Public School District,299,6.0%,"$12,001",96.3,2020
28,Allen W. Roberts School,"PK, KG-6",New Providence School District,673,1.3%,"$8,365",96.3,2020
29,Point Road School,"PK, KG-4",Little Silver Boro School District,397,0.8%,"$9,910",96.2,2020
30,Washington Elementary School,1-5,Westfield Public School District,285,1.1%,"$6,459",96.1,2020
31,Dutch Neck Elementary School,K-3,West Windsor-Plainsboro Regional School District,704,3.6%,"$10,469",95.9,2020
32,Haworth Public School,K-8,Haworth Public School District,392,0.8%,"$17,223",95.8,2020
33,Tamaques Elementary School,1-5,Westfield Public School District,430,1.6%,"$6,564",95.6,2020
34,Deane-Porter Elementary School,"PK, KG-3",Rumson Borough School District,357,0.8%,"$11,020",95.6,2020
35,Mendham Township Elementary School,"PK, KG-4",Mendham Township School District,429,0.7%,"$18,225",95.5,2020
36,Hoboken Dual Language Charter School,K-8,Hoboken Dual Language Charter School,395,9.1%,"$9,496",95.3,2020
37,West Cape May Elementary School,"PK, KG-6",West Cape May School District,79,16.5%,"$14,370",95.3,2020
38,Hillside Elementary School,"PK, KG-4",Closter Public School District,603,0.5%,"$10,174",95.3,2020
39,Valley View School,"PK, KG-5",Montville Township School District,339,0.9%,"$19,750",95.3,2020
40,Brayton Elementary School,1-5,Summit Public School District,316,13.3%,"$6,383",95.2,2020
41,Hartshorn School,K-4,Millburn Township School District,393,0.8%,"$13,657",95.1,2020
42,Hamilton Primary School,K-4,Bridgewater-Raritan Regional School District,477,3.4%,"$8,485",95,2020
43,Luther Lee Emerson School,2-4,Demarest School District,218,1.4%,"$12,319",95,2020
44,Henry B. Milnes Elementary School,K-4,Fair Lawn Public School District,419,6.9%,"$5,535",94.9,2020
45,Northvail Elementary School,K-5,Parsippany-Troy Hills Township School District,381,7.1%,"$9,614",94.8,2020
46,Franklin Elementary School,1-5,Summit Public School District,329,4.6%,"$6,028",94.6,2020
47,Franklin Elementary School,1-5,Westfield Public School District,545,0.6%,"$6,401",94.6,2020
48,Monmouth Junction Elementary School,"PK, KG-5",South Brunswick School District,326,6.1%,"$11,552",94.5,2020
49,School No. 1,K-4,Fort Lee School District,526,8.7%,"$7,644",94.5,2020
