rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,School 28,"PK, KG-8",Paterson Public School District,505,65.1%,"$9,579",98.6,2019
2,George Washington School,K-3,Mahwah Township Public School District,191,6.8%,"$10,984",97.3,2019
3,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,512,9.2%,"$7,387",96.6,2019
4,Sara M. Gilmore Academy,1-8,Union City School District,399,56.6%,"$11,311",96.6,2019
5,William F. Halloran School No.22,2-8,Elizabeth Public Schools,"1,108",68.6%,"$6,924",96.1,2019
6,Lincoln-Hubbard Elementary School,1-5,Summit Public School District,314,5.7%,"$6,083",96,2019
7,Glenwood School,K-4,Millburn Township School District,362,0.0%,"$13,622",95.8,2019
8,Cornelia F. Bradford School,"PK, KG-5",Jersey City Public Schools,694,18.2%,"$6,621",95.7,2019
9,Princeton Charter School,K-8,Princeton Charter School,423,3.3%,,95.6,2019
10,Mendham Township Elementary School,"PK, KG-4",Mendham Township School District,377,0.0%,"$18,225",95.5,2019
11,Upper School,3-8,Englewood Cliffs School District,328,0.0%,"$12,826",95.5,2019
12,Monmouth Junction Elementary School,"PK, KG-5",South Brunswick School District,347,3.5%,"$11,552",95.4,2019
13,Henry B. Milnes Elementary School,K-4,Fair Lawn Public School District,497,5.2%,"$5,535",94.9,2019
14,Orchard Elementary School,K-5,Ridgewood Public School District,298,3.4%,"$12,001",94.7,2019
15,Hillside Elementary School,"PK, KG-4",Closter Public School District,682,1.0%,"$10,174",94.7,2019
16,Deane-Porter Elementary School,"PK, KG-3",Rumson Borough School District,385,0.0%,"$11,020",94.6,2019
17,Clara E Coleman School,K-5,Glen Rock Public School District,310,1.0%,"$12,862",94.5,2019
18,Wyoming School,K-4,Millburn Township School District,327,0.9%,"$14,064",94.5,2019
19,South Valley Elementary School,"PK, KG-3",Moorestown Township Public School District,405,4.4%,"$7,108",94.5,2019
20,Somerville Elementary School,K-5,Ridgewood Public School District,420,0.7%,"$11,464",94.4,2019
21,Riverview Elementary School,K-5,Denville Township K-8 School District,382,1.8%,"$9,403",94.3,2019
22,Hartshorn School,K-4,Millburn Township School District,404,0.7%,"$13,657",94.2,2019
23,George C. Baker Elementary School,"PK, KG-3",Moorestown Township Public School District,378,11.1%,"$6,999",94.2,2019
24,Mount Prospect Elementary School,"PK, KG-5",Bernards Township School District,591,0.5%,"$13,495",94.1,2019
25,Viola L Sickles School,"PK, KG-3",Fair Haven School District,401,0.0%,"$8,188",94,2019
26,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,125,0.0%,"$19,511",93.9,2019
27,Hillside Elementary School,"PK, KG-3",Allendale Public School District,362,0.8%,"$7,428",93.9,2019
28,Hawes Elementary School,K-5,Ridgewood Public School District,419,1.0%,"$10,461",93.8,2019
29,Washington Elementary School,1-5,Westfield Public School District,309,1.0%,"$6,459",93.8,2019
30,Milltown Primary School,"PK, KG-4",Bridgewater-Raritan Regional School District,425,5.4%,"$11,857",93.7,2019
31,Franklin Elementary School,1-5,Summit Public School District,336,1.8%,"$6,028",93.7,2019
32,Terence C. Reilly School No 7,2-8,Elizabeth Public Schools,"1,087",68.9%,"$7,777",93.6,2019
33,Deerfield School,K-4,Millburn Township School District,413,0.7%,"$13,641",93.5,2019
34,Ridge Elementary School,K-5,Ridgewood Public School District,440,1.8%,"$11,275",93.5,2019
35,Woodbrook Elementary School,K-5,Edison Township School District,978,2.1%,"$6,009",93.4,2019
36,Grandview Elementary School,"PK, KG-3",North Caldwell School District,391,0.0%,"$9,810",93.2,2019
37,Cherry Hill School,"PK, KG-6",River Edge School District,740,0.5%,"$11,402",93.1,2019
38,Wildwood Elementary School,K-5,Mountain Lakes Public School District,443,0.7%,"$14,491",93.1,2019
39,Washington Elementary School,1-5,Summit Public School District,346,11.8%,"$6,324",92.9,2019
40,Wandell School,"PK, KG-5",Saddle River School District,162,1.9%,"$23,157",92.9,2019
41,Betsy Ross Elementary,K-3,Mahwah Township Public School District,231,4.3%,"$9,947",92.9,2019
42,Walter M. Schirra Elementary School,K-5,Old Bridge Township School District,278,10.4%,"$14,693",92.7,2019
43,Essex Fells Elementary School,"PK, KG-6",Essex Fells School District,250,0.0%,"$16,556",92.7,2019
44,High Mountain Road School,"PK, KG-5",Franklin Lakes School District,218,1.4%,"$12,337",92.7,2019
45,Mountain Park School,3-5,Berkeley Heights School District,230,1.3%,"$10,264",92.6,2019
46,Edith A. Bogert Elementary School,3-5,Upper Saddle River School District,377,0.8%,"$15,177",92.6,2019
47,Brookside Place School,K-5,Cranford Public School District,365,0.8%,"$7,629",92.6,2019
48,Zane North Elementary School,"PK, KG-5",Collingswood Public School District,160,14.4%,"$13,644",92.5,2019
49,Hillside Elementary School,K-5,Livingston Board of Education School District,403,2.2%,"$11,276",92.5,2019
50,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,590,0.0%,"$13,291",92.4,2019
51,Franklin Elementary School,1-5,Westfield Public School District,580,1.6%,"$6,401",92.4,2019
52,Hatikvah International Academy Charter School,K-8,Hatikvah International Academy Charter School,492,5.1%,"$8,359",92.3,2019
53,Peter Cooper School,K-3,Ringwood School District,253,3.6%,"$13,283",92.2,2019
54,South Mountain School,"PK, KG-4",Millburn Township School District,296,2.0%,"$14,387",92.2,2019
55,Alpine Elementary School,K-8,Alpine School District,135,0.0%,"$27,835",92.1,2019
56,Salt Brook School,K-6,New Providence School District,650,1.4%,"$8,390",91.9,2019
