RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1874.236365134692,1888.1964481926786,1901.4234317684613,1913.3822254034073,1930.887412587873,1945.0304577432087,1959.3153826795497,1966.5220380868395,1974.3564497297227,1978.799338299436,1988.1309759190385,2002.322676854862,2020.3911106322857,2030.5845763114462,2040.7017951953226,2050.788283363841,2064.6733802204494,2075.433050915946,2083.220220499894,2088.3608532020344,2088.7433469186276,2093.0817740786797,2102.929383713435,2118.147998318704,2134.331971076126,2150.0785145622626,2165.926742099394,2175.8603830993043,2188.7592826164027,2196.982717628402,2206.522176769377,2208.7438908310496,2211.8039817084205,2213.696732053137,2219.722999600683,2227.967818950947,2240.4253567606547,2252.2885940923447,2265.8706184212137,2279.845674802893,2292.523582892272,2305.6339147257922,2313.1539892626083,2318.200228618387,2320.6029285104087,2325.091905621775,2332.4357307935866,2339.3928009145984,2348.276068739471,2357.9189201228087,2368.2701678883263,2380.522385333495,2390.071874936895,2399.825750350802,2404.8007100297878,2407.3810103231685,2406.4925783063136,2408.743225407951,2413.1438821251427,2420.0175907876614,2422.055317219144,2410.1229071322014,2392.755963556335,2380.1032790600343,2379.8639380940263,2377.5390076717003,2373.6802657778635,2370.031317853615,2374.267239944761,2373.040318972376,2370.536643465765,2371.0030738913983,2381.290851593807,2399.394215819058,2424.5240910773905,2456.8173033766025,2496.4260021358104,2543.70846512295,2582.3090986985258,2612.7070050510774,2626.621409327425,2646.545814674279,2664.578792243057,2690.935882304539,2716.9651058043646,2748.593452320116,2780.4661658765954,2802.4331403757787,2821.7281914871273,2836.4806545512597,2850.265225981831,2849.9765789248354,2844.8126549197677,2839.046096443445,2837.307363839968,2841.4997188608972
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1482.0805184993103,1496.6307995831764,1509.4307125145338,1537.011247317121,1544.3996649284982,1551.6869514091786,1549.8218409291483,1541.4898880186795,1529.0479898266399,1523.159565962973,1528.0935565679035,1539.8481315331096,1552.917918884285,1563.9636646637243,1575.125909117383,1585.2653640375843,1593.0207721674615,1594.1181649676714,1587.183268142778,1573.976177435802,1560.5944546847693,1553.743825353448,1555.2122409130527,1569.755136084803,1586.7824854632813,1604.9410369159455,1615.9041847755623,1623.8217095862672,1628.560097557562,1626.9132047160945,1619.127639990155,1606.6924203870772,1595.0033759846037,1590.1051132058838,1594.0805655857957,1603.3748275646383,1616.6836733702096,1627.9462939806244,1640.8671636604508,1652.0391650734962,1659.0699304242717,1658.4153998349673,1650.761268245184,1637.5319248973406,1627.7512681223607,1620.615591449442,1625.445124079468,1634.5186398936892,1649.97557702683,1666.2374121192659,1680.7185537231705,1692.7800913535007,1699.3612936603495,1700.7346340565027,1697.0973228291473,1688.9799812048873,1677.5137471660746,1669.668329828966,1672.6611486964277,1683.8806245498274,1698.3518003386616,1701.048882095756,1700.4530693277932,1695.0806831227442,1693.1729885048917,1683.5584888685364,1664.4216063145175,1637.809025640544,1614.058646000797,1600.7405937487908,1597.4917161504568,1603.7308656976534,1623.2617149930754,1655.2071103977103,1693.5206004736506,1725.2168654107916,1746.8928145388,1762.300476087928,1766.7625171410054,1766.6880764537784,1762.2798610651098,1768.493678602962,1782.8435150812845,1801.931472848273,1824.2219645227433,1846.8364362348157,1873.3683248922205,1894.6214233744777,1913.8820930641896,1920.696429585622,1921.2146577457956,1918.5782053151347,1912.5483238295787,1915.052342401136,1919.8095459234069,1935.751767561891
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1268.252729864169,1276.397328117499,1286.715659917827,1295.9812681858948,1300.531965523827,1303.3809421222086,1301.520253789438,1297.4737826789255,1294.2495036153903,1292.7367768733316,1294.0921393020067,1298.0385473312863,1305.9837427813711,1309.762936702171,1309.0422803725805,1306.3305360002564,1306.2103910834528,1303.4617591848557,1298.5285293475706,1295.7307075456679,1290.8578858507935,1287.5152913069624,1282.044800311333,1286.5169111291716,1294.2738940165093,1301.3985641885074,1307.822836829456,1309.8379657161436,1311.6966989313682,1310.66278107413,1312.5257682751082,1322.3338572391972,1332.1950998933157,1339.8840015760952,1340.5146636179134,1342.4336711801511,1346.2477835168966,1354.0903977017342,1359.0139896657938,1364.0320228288454,1367.5778834626828,1368.3619914744181,1365.5567227891574,1362.0872460808953,1364.056217912708,1363.4755275764085,1361.728078225943,1358.2557508470907,1362.3470466258364,1367.6424385740197,1376.9568872479933,1384.3022614019494,1391.114800266363,1392.0849492760074,1389.2890694561024,1386.4987772269806,1384.3130341222513,1387.168794641993,1388.8426235101915,1392.075126145586,1395.1834392844155,1390.1051013931428,1381.6446567448584,1373.3348455035946,1372.851564302369,1375.1258763346827,1375.3965774392868,1378.8306737965997,1381.8498139324875,1383.229053535831,1381.9141026315708,1380.5592341343904,1386.1321370060084,1400.0587472478544,1426.447666461346,1458.2157207608948,1487.8488781166036,1513.2469091210014,1524.5021746631933,1534.164117357763,1536.5688417604072,1545.2191755698723,1548.3410752897535,1556.217241111105,1564.1207870946103,1575.8364054206268,1589.5732650529358,1604.096152334575,1617.1858018534458,1625.9979081937752,1624.7872549457263,1620.4131465488335,1612.4102989045775,1606.7233491455381,1613.5110254820256,1621.4571656862636
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,994.1248689464813,1006.7766366842583,1009.9129739916801,1018.7002990877475,1020.3404161495233,1023.3158001633966,1026.6985267871669,1028.8458540419113,1031.1528472880666,1032.339109063296,1038.2340917115857,1044.9569056293756,1053.9456005935774,1061.190477399568,1069.0382580613314,1074.526504117272,1079.1284868470962,1080.9000568381805,1081.4496929176862,1082.140141874153,1083.3088728910639,1085.1014472688594,1089.794658083006,1097.5732722158452,1107.7481575134025,1117.1600075721424,1126.3595509759693,1134.0252594542444,1140.8795599166406,1144.7431857193185,1145.6055509718215,1147.129815025468,1148.2965995180334,1150.3894018331155,1153.8939313580202,1158.8977402303888,1172.0943897200534,1186.5303495223316,1200.9807345905015,1208.4530916704484,1215.0578344089274,1221.917334299958,1227.727805047422,1232.5060245207164,1237.2464609741435,1243.050930951603,1246.7332642967272,1255.388741154241,1266.2711168447659,1282.23708047998,1294.7501164860228,1306.7936641114231,1315.3048785595245,1323.2990196196547,1325.3011223879373,1329.2088247039533,1331.9858775981718,1344.7128333061048,1353.789766464598,1366.8001794648244,1371.269435032725,1369.3243913388853,1363.9463597994202,1365.0027791414484,1377.4854075321364,1394.4513830082626,1411.85727597915,1427.7688368341173,1443.7901119881963,1454.0732402364454,1468.2422568508277,1478.7782760276982,1503.4901469359402,1535.221890460946,1584.3633285732526,1636.5638508190405,1694.0147679816282,1743.9132579850254,1781.7003925245322,1805.1244792485884,1821.6255445668148,1833.964709213478,1841.8283198539239,1847.995196843345,1861.8103175205001,1878.2495467085414,1895.7244530552307,1904.6892839860336,1909.9244854023364,1906.960805925882,1900.194858534792,1889.3177943784024,1876.8300428464838,1866.7106282235561,1860.002529932583,1864.8242548597002
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1781.804382918778,1794.0893835777172,1800.169880510921,1809.3939068136185,1818.8523574227256,1830.9470527197254,1840.3133588443332,1843.2483208447813,1847.8273036484507,1850.890630666573,1858.7933388694914,1865.714110301989,1881.0710645099705,1894.8423711467024,1911.6265809894924,1923.624781764234,1929.660594553995,1933.7268540667303,1936.72772359922,1943.536377170698,1944.3173378723695,1940.8131869978515,1943.3753778620417,1957.9814401811013,1975.8147282728937,1994.854957125709,2010.955533450017,2027.406651658485,2040.4391179707163,2047.582299933397,2050.0998754774873,2051.809176826677,2046.040458232694,2046.765325909344,2052.455132103293,2067.285956883391,2082.652978793669,2096.2140919166936,2112.4565307038415,2127.567709521023,2140.2333783981235,2151.6619924682163,2157.9036934361425,2158.6525102849237,2155.6228960239214,2151.00661753111,2151.7684673316544,2154.378498439144,2163.2926272097757,2176.7018972912924,2190.3896623007745,2203.2401236016512,2214.229525546267,2224.040106031089,2230.0151291643524,2234.8470654837593,2232.297658003156,2230.315131820626,2230.3127453430016,2238.0319407577153,2245.625956703051,2235.0665253501306,2224.0105676609332,2220.5697288874767,2235.3499376771106,2248.018868751184,2260.4221926729588,2273.883355371038,2289.86017167487,2300.645439921407,2307.6785228652957,2314.192292170019,2333.0217731164253,2365.8572337495266,2410.717422516949,2457.0640098345552,2510.0780794036173,2571.3516824460526,2628.6937873011543,2671.19320484679,2697.765816303875,2715.9756857980205,2723.7144696040523,2745.9688263354606,2782.128259834752,2838.6664904545996,2886.324209991286,2934.281926839587,2973.3024201952207,3008.7472523195675,3017.3021307543513,3013.3052835466565,2985.8884108183966,2965.734147916187,2949.864945231633,2959.4470859574303
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1985.9255908658918,1998.2250729080142,2013.3563942576388,2022.7869720150481,2033.8896516073767,2045.6426318520714,2052.440338125836,2053.5131621887185,2055.0522672340844,2060.050535462357,2069.3130284734248,2075.215138501664,2080.8887805384816,2087.8198814044063,2101.930358431975,2118.568899881872,2133.379406767958,2135.1733614476775,2140.4264098089075,2139.398024155077,2144.9977463505747,2139.763107611917,2143.2386230020757,2151.019781018281,2166.172958234635,2181.597180919174,2193.610024525957,2204.938867210905,2215.4610350235857,2220.9122492569695,2224.3041850121126,2222.5341966681317,2222.7614542955666,2222.09223701891,2227.7089669169363,2234.080266250062,2242.189583308777,2250.569268741395,2257.361192441649,2266.7132921039574,2271.4733353090032,2276.748258268953,2278.630918078637,2283.8059080632647,2290.1395840552314,2295.5271045132954,2295.7579340095317,2295.3145772132634,2297.8473120227804,2308.012638172184,2319.5981759880233,2334.892468325981,2344.7797806233993,2353.1440948445575,2357.727596854297,2359.140051096978,2361.5401748540166,2364.3761541231142,2372.1645754482724,2377.7172531434508,2380.102286697929,2361.494605629164,2341.50012806774,2324.969472499432,2330.744614104634,2339.672720184701,2355.1870856169035,2370.3588442160517,2383.30971437712,2392.725263652985,2406.8658808642335,2422.9345727024615,2447.364982664051,2472.2486328240743,2507.0988654136163,2556.605275766262,2631.7037993999693,2729.1977925306915,2813.393046448724,2869.144394533382,2895.3994702073473,2907.4138067118483,2918.8878982969272,2935.538147266656,2966.9008675139053,2995.306449444891,3025.485517980886,3050.6703842693505,3077.3433269141537,3088.755895429602,3084.0845010389835,3069.254969060307,3056.023956203168,3040.8825589416087,3029.5867556368275,3028.2496992179294
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1789.1585964853869,1797.0781503040762,1809.6734182428718,1818.4807596204998,1827.2103682682296,1831.7453348129586,1834.7352687261116,1847.1593773377194,1855.2389326506552,1862.487593016136,1865.7478195106548,1873.5858755311128,1879.7942250554545,1878.5579183158568,1876.0353263795403,1873.0631738888762,1876.064413207969,1873.793161336235,1870.6081569603318,1865.5806785439265,1861.674635868768,1859.295224699851,1863.3645206207038,1868.8869300861502,1878.45275053644,1879.654433588455,1881.6594460526373,1883.4426502731155,1885.9356326002844,1889.2651235520962,1889.0633331175197,1893.5275042086794,1894.9942946448643,1897.9944357867041,1900.312089601906,1903.006749376988,1908.6461637376171,1911.586996292646,1915.4453368535962,1919.900923157681,1923.2885228587522,1930.5641847473637,1934.0328249141128,1942.096517141629,1942.12124463714,1945.73763264224,1945.6437477693394,1948.2513401215974,1953.2770725203898,1956.0398789566154,1959.4857775109938,1960.9822101380241,1962.0037354834105,1967.2372197251625,1969.2225051738474,1978.6038871767266,1984.710444168816,1991.6115739359557,1997.1056771245178,2001.8692132289857,2005.5501145808662,1995.9920326539113,1985.5981719877905,1973.8730379787994,1977.1875371136082,1979.4496086053439,1980.3690283849473,1978.7481482820942,1985.3548328899676,2000.6715580051732,2025.0586601282962,2053.8268212361113,2093.5513663577194,2140.0716590521984,2195.7674508485034,,,2402.536139643041,2469.455444256159,2522.4869242050745,2571.755621375907,2632.174760336804,2684.244191645432,2754.3578382148894,2815.591430720719,2890.861171589308,2956.348901528874,2994.8192541227186,3023.395452186477,3023.5672944628113,3035.8920442809754,3026.6519967378,3022.205073515671,3015.0617538985293,3021.0527182268547,3007.511839391242
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1138.5662136172025,1148.1188368632809,1162.216133465005,1171.5444956870574,1180.2922146808828,1185.3932521033187,1187.8018467461327,1184.9574221820228,1186.2964899830133,1186.5292209440718,1194.9089042503285,1201.0566119487685,1214.7429675030587,1222.2665876131375,1230.689355915265,1237.4572204500134,1241.5670977913423,1243.8890180880348,1240.8123006367782,1243.0608576211382,1249.407002419054,1256.7949863661397,1259.5370358863627,1259.3259387875348,1266.9315582200072,1274.5131953656642,1286.4875957565905,1292.7411565088173,1301.6510827281322,1305.1479231258186,1304.6935205679433,1305.0521006817412,1303.1143362625264,1305.1010366560924,1306.2704306581154,1314.832828852538,1319.1478187175594,1325.306312666826,1323.7677085828354,1330.4034607427818,1335.7708592339873,1346.2770202255504,1345.4111589695794,1346.6678638810038,1348.6940115046698,1351.256892554573,1352.8314424198013,1354.9580798816257,1361.2692184698878,1370.4152840371285,1376.9324627011702,1390.6229077801024,1396.4769289831042,1398.6153293505179,1397.4513700614195,1396.4769913481255,1394.1821844967815,1388.8669020245031,1387.8915707844858,1392.9008570357607,1398.342207173,1396.5807161755051,1391.65965838548,1388.5074712956014,1388.5185068445844,1387.0475522267309,1384.7471309985676,1388.499432543203,1393.2193008580487,1398.3477170792348,1400.107140136684,1408.9365471203873,1422.139375528034,1444.4924454373622,1472.018080470015,1508.943250282436,1548.0093232843365,1583.838570816822,1609.485220302568,1620.9082809305464,1629.5756932506245,1634.095892243314,1645.9453848471912,1660.468540894585,1673.9252025041062,1696.7103385575936,1725.01811703785,1765.2656691325053,1794.696223645456,1806.4190414953594,1804.6816686637706,1787.903628227442,1768.6196633884906,1750.5554379428866,1744.9500057926848,1749.767412127807
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2333.45217559456,2350.968666199057,2374.900920473044,2398.4734909175086,2415.437137313993,2429.7191183892446,2444.676123231284,2457.4052295052993,2456.220274687467,2443.0264888181423,2432.5083845587956,2427.6614755913056,2436.672395969362,2438.6136295144565,2447.8481794702757,2462.3940387121465,2481.8035673788936,2497.7906753544125,2503.499510842233,2498.752985984281,2498.3093988257892,2485.928680165264,2482.35121819766,2468.195287330067,2472.8937168120965,2480.980023192145,2495.6835958871025,2506.797533970771,2522.2728390643333,2535.253705482917,2539.7688009094913,2528.3904674674527,2514.752032389141,2504.9740634340164,2502.3534274901035,2499.028566305712,2507.9196388459495,2521.292734801528,2542.170009393633,2554.982494405031,2564.3451077956493,2572.907492470451,2576.665707518616,2572.70415671552,2560.1201302904783,2541.1495854777,2534.804079521314,2545.841925492963,2571.2736728033187,2591.391641780266,2613.936267208233,2628.7449047087844,2652.8620974445103,2668.1956245923125,2682.316234205628,2681.183390498608,2666.2348889817486,2657.9980832769234,2659.6216239908526,2676.1036233650325,2694.531099465881,2695.243243500498,2680.0473311512055,2649.619471138593,2623.6495867469284,2589.5698315488066,2545.339504081083,2496.741904366036,2464.281972118954,2442.7409395537015,2437.800373771148,2438.364830456821,2456.276139325229,2488.422759020418,2527.854808280433,2575.3721185059094,2627.90762818407,2682.0706325545375,2731.5657325170127,2755.3448028202524,2772.152477854225,2777.839930766785,2802.665792363208,2841.4100532206994,2894.877371520419,2950.9761357627917,3017.040163032707,3082.952365369182,3146.0747574453044,3182.837823374887,3190.6042905327527,3175.688272252101,3135.5155983016743,3104.234905224776,3096.6496956843234,3111.371435012455
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1440.448307646182,1448.5804563751033,1454.3205473692112,1457.81467886959,1465.4111047713175,1473.3226724781157,1484.0203078971297,1488.6053726688174,1496.8918853900002,1499.004398589107,1502.626304450218,1505.219086120596,1510.4289462826966,1512.298277981946,1517.5733706921408,1526.8681566708688,1538.5338012003576,1542.9548014405045,1551.1835946768397,1553.9514376988743,1561.8399593524719,1559.3186320341042,1573.1532780456373,1578.398020544777,1593.1223515991517,1604.6169091003483,1620.5777184448739,1630.2623484845137,1634.8452761324902,1642.6597326132537,1652.7551941629242,1660.0712514379504,1665.0353814398013,1661.3227779147544,1668.649467040079,1676.0403392291992,1688.8214526350232,1694.420609091959,1697.1932766854386,1706.9948069813408,1716.2432097409203,1729.0512009902523,1739.3196622344196,1751.6402072442986,1757.8507755488458,1762.83356618051,1761.4589425696695,1764.0738539681486,1769.5910237890498,1779.3486113661756,1788.8905479094765,1795.4033959450433,1803.6098493944448,1814.0872735378014,1823.5318193692015,1830.376383331697,1832.1650435173756,1836.4688775306295,1838.619540851173,1845.9369527549804,1850.042461924363,1845.1576270274982,1837.4315447584606,1840.8962736138967,1860.699450867357,1894.13793468682,1924.5530364141953,1956.7240145792007,1989.0491407776562,2008.5169667324242,2020.2432211943492,2034.486109669454,2066.0830318799794,2109.3675205918844,2145.454762578757,2188.748700486355,2236.5357826791433,2297.556616549779,2347.7130734012176,2377.1736201399035,2400.773751169593,2399.2520530463526,2421.355460867771,2424.5621059507407,2467.090558976168,2492.0296346455034,2519.429501337129,2532.9542711931917,2549.7093971910795,2561.065983511355,2565.7163254195807,2553.8771071159376,2548.989052082677,2528.395550281274,2518.5810216445025,2516.26216926793
