rank,school,type,grades,address,city,zip,county,district,year
412,Whitman Elementary School,Public,K-5,827 Whitman School Dr,Turnersville,08012,Gloucester County,Washington Township School District,2019
413,Hilltop School,Public,"PK, KG-5",200 KIPP Avenue,Lodi,07644,Bergen County,Lodi School District,2019
414,Bay Head Elementary,Public,K-8,145 Grove Street,Bay Head,08742,Ocean County,Bay Head Borough School District,2019
415,Laurel Springs School,Public,"PK, KG-6",623 Grand Avenue,Laurel Springs,08021,Camden County,Laurel Springs School District,2019
416,Frank W. Gavlak Elementary School,Public,K-6,106 King St,Wallington,07057,Bergen County,Wallington Boro School District,2019
417,Robert Erskine School,Public,K-3,88 Erskine Road,Ringwood,07456,Passaic County,Ringwood School District,2019
418,Springville Elementary School,Public,"PK, KG-4",520 Hartford Road,Mount Laurel,08054,Burlington County,Mount Laurel Township School District,2019
419,Bradford Elementary School,Public,"PK, KG-5",87 Mt Hebron Rd,Upper Montclair,07042,Essex County,Montclair Public School District,2019
420,Learning Community Charter School,"Public, Charter","PK, KG-8",2495 John F Kennedy Blvd,Jersey City,07304,Hudson County,The Learning Community Charter School,2019
421,Ravine Drive Elementary School,Public,K-4,170 Ravine Drive,Matawan,07747,Monmouth County,Matawan-Aberdeen Regional School District,2019
422,James F. Cooper Elementary School,Public,K-5,1960 Greentree Rd.,Cherry Hill,08003,Camden County,Cherry Hill School District,2019
423,Leroy Gordon Cooper Elementary School,Public,K-5,160 Birchwood Drive,Keyport,07735,Middlesex County,Old Bridge Township School District,2019
424,Robert Hunter Elementary School,Public,K-4,8 Dayton Road,Flemington,08822,Hunterdon County,Flemington-Raritan Regional School District,2019
425,School #4,Public,K-5,279 Columbia Avenue,Cliffside Park,07010,Bergen County,Cliffside Park School District,2019
426,Wanaque Elementary School,Public,"PK, KG-8",First Street,Wanaque,07465,Passaic County,Wanaque School District,2019
427,Ridge Ranch Elementary School,Public,K-4,345 Lockwood Drive,Paramus,07652,Bergen County,Paramus Public School District,2019
428,School #9,Public,"PK, KG-5",25 Brighton Road,Clifton,07012,Passaic County,Clifton Public School District,2019
429,Walter F. Robinson Community School,Public,"PK, KG-8",95 West 31st Street,Bayonne,07002,Hudson County,Bayonne School District,2019
430,Elwood Kindle Elementary School,Public,2-5,211 Washington Avenue,Pitman,08071,Gloucester County,Pitman Boro School District,2019
431,South Mountain Elementary School,Public,"PK, KG-5",444  West South Orange Ave,South Orange,07079,Essex County,South Orange-Maplewood School District,2019
432,Hillside Elementary School,Public,3-5,54 Orange Rd,Montclair,07042,Essex County,Montclair Public School District,2019
433,Newbury Elementary School,Public,3-5,179 Newbury Road,Howell,07731,Monmouth County,Howell Township Public School District,2019
434,Ocean City Primary School,Public,"PK, KG-3",550 West Avenue,Ocean City,08226,Cape May County,Ocean City School District,2019
435,Whiton Elementary School,Public,"PK, KG-3",470 Whiton Road,Neshanic Station,08853,Somerset County,Branchburg Township School District,2019
436,School #3,Public,"PK, KG-4",397 Palisade Avenue,Cliffside Park,07010,Bergen County,Cliffside Park School District,2019
437,William P Tatem Elementary School,Public,K-5,265 Lincoln Avenue,Collingswood,08108,Camden County,Collingswood Public School District,2019
438,Van Sciver Elementary School,Public,"PK, KG-5",625 Rhoads Avenue,Haddonfield,08033,Camden County,Haddon Township School District,2019
439,Mohawk Avenue School,Public,3,18 Mohawk Avneue,Sparta,07871,Sussex County,Sparta Township Public School District,2019
440,Intervale Elementary School,Public,K-5,60 Pitt Road,Boonton,07005,Morris County,Parsippany-Troy Hills Township School District,2019
441,Charles H. Bullock School,Public,K-5,55 Washington Street,Montclair,07042,Essex County,Montclair Public School District,2019
442,Byram Lakes Elementary School,Public,"PK, KG-4",11 Mansfield Drive,Stanhope,07874,Sussex County,Byram Township School District,2019
443,Campbell Elementary School,Public,1-4,24 Durham Avenue,Metuchen,08840,Middlesex County,Metuchen Public School District,2019
444,Triangle Elementary School,Public,K-4,156 South  Triangle Road,Hillsborough,08844,Somerset County,Hillsborough Township Public School District,2019
445,M. Scott Carpenter Elementary School,Public,K-5,One Par Avenue,Old Bridge,08857,Middlesex County,Old Bridge Township School District,2019
446,Robert L. Craig School,Public,"PK, KG-8",20 West Park Street,Moonachie,07074,Bergen County,Moonachie School District,2019
447,Rockaway Meadow Elementary School,Public,K-5,160 Edwards Road,Parsippany,07054,Morris County,Parsippany-Troy Hills Township School District,2019
448,Sandshore Rd. Elementary School,Public,K-5,498 Sandshore  Road,Budd Lake,07828,Morris County,Mount Olive Township School District,2019
449,Edgemont Elementary School,Public,K-5,20 Edgemont Rd,Montclair,07042,Essex County,Montclair Public School District,2019
450,High Bridge Elementary School,Public,"PK, KG-4",40 Fairview Avenue,High Bridge,08829,Hunterdon County,High Bridge Borough School District,2019
451,John Hill School,Public,3-8,435 Lathrop Avenue,Boonton,07005,Morris County,Boonton Town Public School District,2019
452,Columbus School,Public,K-5,370 Westervelt Place,Lodi,07644,Bergen County,Lodi School District,2019
453,Sherman Elementary School,Public,"PK, KG-5",375 E Grant Ave,Roselle Park,07204,Union County,Roselle Park Public School District,2019
454,Wenonah Elementary School,Public,"PK, KG-6",200 N Clinton Ave,Wenonah,08090,Gloucester County,Wenonah Boro School District,2019
455,Lawrenceville Elementary School,Public,"PK, KG-3",40 Craven Lane,Lawrenceville,08648,Mercer County,Lawrence Township Public School District,2019
456,Marion T. Bedwell Elementary School,Public,"PK, KG-4",141 Seney Drive,Bernardsville,07924,Somerset County,Somerset Hills Regional School District,2019
457,Chesterfield Township Elementary School,Public,"PK, KG-6",30 Saddle Way,Chesterfield,08515,Burlington County,Chesterfield Township School District,2019
458,Demarest Elementary School,Public,K-6,465 Broughton Ave,Bloomfield,07003,Essex County,Bloomfield Township School District,2019
459,William A. Miller Elementary School,Public,K-5,2 Old Matawan Road,Old Bridge,08857,Middlesex County,Old Bridge Township School District,2019
460,Emma Arleth Elementary School,Public,K-3,3198 Washington Road,Parlin,08859,Middlesex County,Sayreville School District,2019
461,Mary Bray Elementary School,Public,"PK, KG-5",225 West Kings Highway,Mount Ephraim,08059,Camden County,Mt. Ephraim School District,2019
462,Peter Muschal Elementary,Public,"PK, KG-5",323 Ward Ave,Bordentown,08505,Burlington County,Bordentown Regional School District,2019
463,Chittick Elementary School,Public,"PK, KG-5",5 Flagler Street,E Brunswick,08816,Middlesex County,East Brunswick Township School District,2019
464,Riverdale School,Public,"PK, KG-8",52 Newark Pompton Turnpike,Riverdale,07457,Morris County,Riverdale School District,2019
465,Mark Newbie Elementary School,Public,K-5,2 East Browning Rd,Collingswood,08108,Camden County,Collingswood Public School District,2019
466,Horace Mann Elementary School,Public,K-5,150 Walt Whitman Blvd.,Cherry Hill,08003,Camden County,Cherry Hill School District,2019
467,Flocktown-Kossmann Elementary School,Public,"PK, KG-5",90 Flocktown Road,Long Valley,07853,Morris County,Washington Township School District,2019
468,Canfield Avenue School,Public,"PK, KG-6",42 Canfield Avenue,Mine Hill,07803,Morris County,Mine Hill Township School District,2019
469,Indiana Avenue Elementary School,Public,K-5,Indiana Avenue,Iselin,08830,Middlesex County,Woodbridge Township School District,2019
470,Frelinghuysen Township Elementary School,Public,"PK, KG-6",780 Route 94,Newton,07860,Warren County,Frelinghuysen Township School District,2019
471,James Madison School #10,Public,"PK, KG-5",55 Lincoln Place,Garfield,07026,Bergen County,Garfield Public School District,2019
472,Countryside Elementary School,Public,"PK, KG-4",115 Schoolhouse Lane,Mount Laurel,08054,Burlington County,Mount Laurel Township School District,2019
473,Frank K. Hehnly,Public,K-5,590 Raritan Road,Clark,07066,Union County,Clark Township Public School District,2019
474,Belleville PS9,Public,K-6,301 Ralph St,Belleville,07109,Essex County,Belleville Public School District,2019
475,Lanoka Harbor Elementary School,Public,K-4,281 Manchester Ave,Lanoka Harbor,08734,Ocean County,Lacey Township School District,2019
476,Woodrow Wilson Elementary School,Public,K-3,65 Dane Street,Sayreville,08872,Middlesex County,Sayreville School District,2019
477,Lincoln School,Public,"PK, KG-3",414 Montross Avenue,Rutherford,07070,Bergen County,Rutherford School District,2019
478,Newell Elementary School,Public,"PK, KG-4",27 High Street,Allentown,08501,Monmouth County,Upper Freehold Regional School District,2019
479,Thomas Jefferson Elementary School,Public,"PK, KG-5",233 Goffle Hill Road,Hawthorne,07507,Passaic County,Hawthorne Public School District,2019
480,Swimming River School,Public,3-5,220 Hance Avenue,Tinton Falls,07724,Monmouth County,Tinton Falls School District,2019
481,Holly Glen Elementary School,Public,"PK, KG-4",900 North Main Street,Williamstown,08094,Gloucester County,Monroe Township Public School District,2019
482,Gantner Avenue School,Public,K-5,99 Roosevelt Ave,Elmwood Park,07407,Bergen County,Elmwood Park School District,2019
483,Manasquan Elementary School,Public,"PK, KG-8",168 Broad Street,Manasquan,08736,Monmouth County,Manasquan School District,2019
484,James Russell Lowell Elementary School,Public,K-4,1025 Lincoln Place,Teaneck,07666,Bergen County,Teaneck School District,2019
485,Woodcrest Elementary School,Public,K-5,400 Cranford Dr.,Cherry Hill,08003,Camden County,Cherry Hill School District,2019
486,Mary S. Shoemaker School,Public,1-5,201 E  Millbrooke Ave,Woodstown,08098,Salem County,Woodstown-Pilesgrove Regional School District,2019
