rank,school,type,grades,address,city,zip,county,district,year
520,F. W. Holbein Middle School,Public,5-8,333 Levis Drive,Mount Holly,08060,Burlington County,Mount Holly Township Public School District,2018
521,Fords Middle School,Public,6-8,Fanning Street,Fords,08863,Middlesex County,Woodbridge Township School District,2018
522,Paterson Arts and Science Charter School,"Public, Charter, Alternative",K-12,225 Grand Street,Paterson,07501,Passaic County,Paterson Arts and Science Charter School,2018
523,Dr. Antonia Pantoja School No. 27,Public,"PK, KG-8",505 -517 Morris Avenue,Elizabeth,07208,Union County,Elizabeth Public Schools,2018
524,Halsted Middle School,Public,5-8,59 Halsted Street,Newton,07860,Sussex County,Newton Public School District,2018
525,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",909 Broad Street,Newark,07102,Essex County,Great Oaks Legacy Charter School,2018
526,Howard M. Phifer Middle School,Public,6-8,8201 Park Ave,Pennsauken,08109,Camden County,Pennsauken Township Board of Education School District,2018
527,Franklin L. Williams School,Public,6-8,222 Laidlaw Avenue,Jersey City,07306,Hudson County,Jersey City Public Schools,2018
528,Julia A. Barnes School,Public,"PK, KG-8",91 Astor Place,Jersey City,07304,Hudson County,Jersey City Public Schools,2018
529,Woodrow Wilson,Public,"PK, KG-8",210 West Sylvania Ave,Neptune City,07753,Monmouth County,Neptune City School District,2018
530,Woodbury Junior-Senior High School,Public,6-12,25 N. Broad Street,Woodbury,08096,Gloucester County,Woodbury City Public School District,2018
531,Magnolia,Public,"PK, KG-8",420 North Warwick Rd,Magnolia,08049,Camden County,Magnolia School District,2018
532,Raymond W. Kershaw School,Public,"PK, KG-8",125 South Black Horse Pike,Mount Ephraim,08059,Camden County,Mt. Ephraim School District,2018
533,Phillipsburg Middle School,Public,6-8,200 Hillcrest Blvd.,Phillipsburg,08865,Warren County,Phillipsburg School District,2018
534,Heywood Avenue Elementary School,Public,"PK, KG-7",421 Heywood Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
535,Long Branch Middle School,Public,6-8,350 Indiana Avenue,Long Branch,07740,Monmouth County,LONG BRANCH PUBLIC SCHOOL District,2018
536,Cleveland Street Elementary School,Public,"PK, KG-7",355 Cleveland St,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
537,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,"Public, Alternative",K-10,525 Clinton Street,Camden,08103,Camden County,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,2018
538,Jersey City Community Charter School,"Public, Charter",K-8,128 Danforth Avenue,Jersey City,07305,Hudson County,Jersey City Community Charter School,2018
539,School 25,Public,"PK, KG-8",287 Trenton Avenue,Paterson,07503,Passaic County,Paterson Public School District,2018
540,Elmora School No. 12,Public,"PK, KG-8",638 Magie Ave,Elizabeth,07208,Union County,Elizabeth Public Schools,2018
541,James F. Murray School,Public,"PK, KG-8",339 Stegman Parkway,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
542,Lincoln Avenue Elementary School,Public,"PK, KG-7",216 Lincoln Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
543,Woodruff Middle School,Public,6-8,1385 Highway 77,Seabrook,08302,Cumberland County,Upper Deerfield Township School District,2018
544,South Amboy Middle/High School,Public,6-12,200 Governor Harold G  Hoffman,South Amboy,08879,Middlesex County,South Amboy School District,2018
545,Florence Riverfront School,Public,4-8,500 East Front Street,Florence,08518,Burlington County,Florence Township School District,2018
546,Park Avenue Elementary School,Public,"PK, KG-8",231 Park Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
547,Joseph Battin School No 4,Public,K-8,300 South Broad Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
548,Whitney E. Houston Academy,Public,"PK, KG-8",215 Dodd St,East Orange,07017,Essex County,East Orange School District,2018
549,Franklin Elementary School,Public,1-8,5211 Columbia Avenue,North Bergen,07047,Hudson County,North Bergen School District,2018
550,Joseph H. Brensinger School,Public,"PK, KG-8",600 Bergen Ave,Jersey City,07304,Hudson County,Jersey City Public Schools,2018
551,Winslow Township Middle School,Public,7-8,30 Cooper Folly Road,Atco,08004,Camden County,Winslow Township School District,2018
552,Walnut Street School,Public,6-8,411 Walnut St,Delanco,08075,Burlington County,Delanco Township School District,2018
553,Belvidere Elementary School,Public,"PK, KG-8",807 Oxford Street,Belvidere,07823,Warren County,Belvidere School District,2018
554,New Hanover Township School,Public,"PK, KG-8",122 Fort Dix Street,Wrightstown,08562,Burlington County,New Hanover Township,2018
555,Robert Morris School No. 18,Public,"PK, KG-8",860 Cross Ave,Elizabeth,07208,Union County,Elizabeth Public Schools,2018
556,Joseph E. Soehl Middle School,Public,6-8,300 East Henry St.,Linden,07036,Union County,Linden Public School District,2018
557,Lincoln School,Public,5-8,140 Anderson  Avenue,Fairview,07022,Bergen County,Fairview Public School District,2018
558,Marion P. Thomas Charter School,"Public, Charter, Alternative","PK, KG-12",125 Sussex Ave,Newark,07103,Essex County,Marion P. Thomas Charter School,2018
559,Samuel E. Shull Middle School,Public,5-8,380 Hall Avenue,Perth Amboy,08861,Middlesex County,Perth Amboy Public School District,2018
560,Veterans Memorial Middle,Public,6-8,424 S Main Rd,Vineland,08360,Cumberland County,Vineland Public School District,2018
561,Wildwood Middle School,Public,6-8,4300 Pacific Ave,Wildwood,08260,Cape May County,Wildwood City School District,2018
562,Nicholas S. Lacorte-Peterstown School No. 3,Public,K-8,700 Second Ave,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
563,Speedway Avenue School,Public,K-8,701 South Orange Avenue,Newark,07106,Essex County,Newark Public School District,2018
