rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Infinity Institute,12-Jun,Jersey City Public Schools,298,68.10%,"$9,826 ",98.1,2019
2,Sara M. Gilmore Academy,8-Jan,Union City School District,399,56.60%,"$11,311 ",97.5,2019
3,Mendham Township Middle School,8-May,Mendham Township School District,313,0.00%,"$18,518 ",96.4,2019
4,Markham Place School,8-May,Little Silver Boro School District,380,1.10%,"$9,993 ",96.1,2019
5,Alpine Elementary School,K-8,Alpine School District,135,0.00%,"$27,835 ",95.7,2019
6,Science Park High School,12-Jul,Newark Public School District,843,72.20%,"$11,449 ",94.9,2019
7,Forrestdale School,8-Apr,Rumson Borough School District,608,0.50%,"$10,265 ",94.7,2019
8,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,590,0.00%,"$13,291 ",94.3,2019
9,Harding Township School,"PK, KG-8",Harding Township School District,277,1.10%,"$20,191 ",94.1,2019
10,Demarest Middle School,8-May,Demarest School District,309,1.00%,"$12,207 ",94.1,2019
11,Knollwood School,8-Apr,Fair Haven School District,564,0.50%,"$10,199 ",93.6,2019
12,Brookside School,8-Apr,Allendale Public School District,512,0.60%,"$10,272 ",93.2,2019
13,Robert Treat Academy Charter School,K-8,Robert Treat Academy Charter School,685,71.10%,"$11,271 ",92.8,2019
14,Hoboken Dual Language Charter School,K-8,Hoboken Dual Language Charter School,399,10.50%,"$9,496 ",92.7,2019
15,Woodcliff Middle School,8-Jun,Woodcliff Lake School District,265,1.10%,"$17,046 ",92.6,2019
16,Tenakill Middle School,8-May,Closter Public School District,511,0.80%,"$10,466 ",92.3,2019
17,Eugene A. Tighe Middle School,8-May,Margate City School District,181,8.30%,"$17,865 ",92.3,2019
18,Millburn Middle School,8-Jun,Millburn Township School District,"1,169",1.20%,"$14,838 ",92.2,2019
19,New Providence Middle School,8-Jul,New Providence School District,411,3.60%,"$9,397 ",92.1,2019
20,Old Turnpike School,8-Jun,Tewksbury Township School District,214,2.30%,"$16,739 ",92,2019
21,School 28,"PK, KG-8",Paterson Public School District,505,65.10%,"$9,579 ",91.9,2019
22,Emil A. Cavallini Middle School,8-Jun,Upper Saddle River School District,414,0.70%,"$15,979 ",91.7,2019
23,Heritage Middle School,8-Jul,Livingston Board of Education School District,994,1.90%,"$10,996 ",90.9,2019
24,Lavallette Elementary School,K-8,Lavallette Borough School District,143,11.90%,"$18,143 ",90.3,2019
25,Princeton Charter School,K-8,Princeton Charter School,423,3.30%,,90.2,2019
26,East Amwell Township,"PK, KG-8",East Amwell Township School District,359,18.40%,"$16,880 ",90.1,2019
27,Tenafly Middle School,8-Jun,Tenafly Public School District,906,2.50%,"$10,776 ",90,2019
28,Academy I,8-Jun,Jersey City Public Schools,490,59.40%,"$10,195 ",89.9,2019
29,Lawton C. Johnson Summit Middle School,8-Jun,Summit Public School District,942,12.80%,"$6,058 ",89.8,2019
30,Monmouth Beach Elementary School,"PK, KG-8",Monmouth Beach School District,234,0.00%,"$15,153 ",89.7,2019
31,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,125,0.00%,"$19,511 ",89.6,2019
32,Jersey City Global Charter School,K-8,Jersey City Global Charter School,437,0.00%,"$6,567 ",88.8,2019
33,Branchburg Central Middle School,8-Jun,Branchburg Township School District,499,5.40%,"$17,027 ",88.8,2019
34,Deerfield Elementary School,8-Mar,Mountainside School District,245,2.90%,"$8,613 ",88.8,2019
35,Upper School,8-Mar,Englewood Cliffs School District,328,0.00%,"$12,826 ",88.8,2019
36,William Annin Middle School,8-Jun,Bernards Township School District,"1,317",1.40%,"$10,219 ",88.7,2019
37,Charles DeWolf Middle School,8-May,Old Tappan Public School District,294,0.00%,"$9,136 ",88.6,2019
38,Roosevelt Intermediate School,8-Jun,Westfield Public School District,777,1.70%,"$7,490 ",88.6,2019
39,Community Middle School,8-Jun,West Windsor-Plainsboro Regional School District,"1,170",5.40%,"$12,257 ",88.6,2019
40,Hatikvah International Academy Charter School,K-8,Hatikvah International Academy Charter School,492,5.10%,"$8,359 ",88.6,2019
41,Nicholas Oresko Community School,"PK, KG-8",Bayonne School District,454,41.60%,"$11,130 ",88.5,2019
