rank,school,type,grades,address,city,zip,county,district,year
1,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2020
2,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2020
3,Hatikvah International Academy Charter School,"Public, Charter",K-8,7 Lexington Avenue,East Brunswick,08816,Middlesex County,Hatikvah International Academy Charter School,2020
4,Infinity Institute,Public,6-12,193 Old Bergen Road,Jersey City,07305,Hudson County,Jersey City Public Schools,2020
5,Forrestdale School,Public,4-8,60 Forrest Avenue,Rumson,07760,Monmouth County,Rumson Borough School District,2020
6,Upper School,Public,3-8,143 Charlotte Pl,Englewood Cliffs,07632,Bergen County,Englewood Cliffs School District,2020
7,Roosevelt Intermediate School,Public,6-8,301 Clark Street,Westfield,07090,Union County,Westfield Public School District,2020
8,Harrington Park School,Public,"PK, KG-8",191 Harriot Ave,Harrington Park,07640,Bergen County,Harrington Park School District,2020
9,Millburn Middle School,Public,6-8,25 Old Short Hills Rd,Millburn,07041,Essex County,Millburn Township School District,2020
10,H W Mountz Elementary School,Public,"PK, KG-8",411 Tuttle Ave,Spring Lake,07762,Monmouth County,Spring Lake Borough,2020
11,Mendham Township Middle School,Public,5-8,16 Washington Valley Road,Brookside,07926,Morris County,Mendham Township School District,2020
12,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2020
13,Sea Girt Elementary School,Public,"PK, KG-8",451 Bell Place,Sea Girt,08750,Monmouth County,Sea Girt Borough School District,2020
14,Glen Rock Middle School,Public,6-8,600 Harristown Road,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
15,Columbia Middle School,Public,6-8,345 Plainfield Ave,Berkeley Hts,07922,Union County,Berkeley Heights School District,2020
16,Emil A. Cavallini Middle School,Public,6-8,392 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2020
17,Tenafly Middle School,Public,6-8,10 Sunset Lane,Tenafly,07670,Bergen County,Tenafly Public School District,2020
18,Cresskill Middle School,Public,6-8,220 Jefferson Ave,Cresskill,07626,Bergen County,Cresskill Public School District,2020
19,Princeton Middle School,Public,6-8,217 Walnut Lane,Princeton,08540,Mercer County,Princeton Public School District,2020
20,Monmouth Beach Elementary School,Public,"PK, KG-8",7 Hastings Place,Monmouth Beach,07750,Monmouth County,Monmouth Beach School District,2020
