rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Academy for Mathematics Science and Engineering,12-Sep,Morris County Vocational School District,101,0.00%,"$12,298 ",98.8,2017
2,Marine Academy of Technology and Environmental Science,12-Sep,Ocean County Vocational Technical School District,280,7.50%,"$12,615 ",98.7,2017
3,Middlesex County Vocational Academy Math Science &Engineering Techn,12-Sep,Middlesex County Vocational and Technical School District,160,1.90%,"$11,783 ",98,2017
4,Academy For Allied Health Sciences,12-Sep,Union County Vocational-Technical School District,291,11.00%,"$8,221 ",97.7,2017
5,Union County Magnet High School,12-Sep,Union County Vocational-Technical School District,298,10.40%,"$8,753 ",97.6,2017
6,Academy For Information Technology,12-Sep,Union County Vocational-Technical School District,287,10.80%,"$8,671 ",97.2,2017
7,Middlesex County Vocational Academy Allied Health & Biomedical Science,12-Aug,Middlesex County Vocational and Technical School District,276,9.10%,"$9,375 ",96.9,2017
8,Dr Ronald McNair High School,12-Sep,Jersey City Public Schools,685,54.70%,"$11,528 ",96.4,2017
9,Communications High School,12-Sep,Monmouth County Vocational School District,312,1.30%,"$16,390 ",96.3,2017
10,Monmouth County Academy of Allied Health and Science,12-Sep,Monmouth County Vocational School District,300,4.30%,"$16,078 ",96.3,2017
11,Marine Academy of Science and Technology,12-Sep,Monmouth County Vocational School District,290,3.80%,"$16,104 ",96.1,2017
12,Biotechnology High School,12-Sep,Monmouth County Vocational School District,330,2.40%,"$16,641 ",95.8,2017
13,High Technology High School,12-Sep,Monmouth County Vocational School District,291,1.70%,"$16,345 ",95.6,2017
14,Bergen County Academies,12-Sep,Bergen County Vocational Technical School District,"1,069",4.70%,"$18,595 ",95.3,2017
15,Academy For Performing Arts,12-Sep,Union County Vocational-Technical School District,209,11.00%,"$11,042 ",95,2017
16,Bergen County Technical High School - Teterboro,12-Sep,Bergen County Vocational Technical School District,677,8.70%,"$17,807 ",94.5,2017
17,Infinity Institute,12-Jun,Jersey City Public Schools,253,74.70%,"$9,826 ",93.3,2017
18,Union County Technical,12-Sep,Union County Vocational-Technical School District,425,17.60%,"$6,462 ",91.6,2017
19,Morris County School of Technology,12-Sep,Morris County Vocational School District,727,4.30%,"$13,307 ",91.6,2017
20,West Windsor-Plainsboro High School North,12-Sep,West Windsor-Plainsboro Regional School District,"1,387",5.80%,"$14,022 ",87.2,2017
21,Kinnelon High School,12-Sep,Kinnelon School District,676,3.80%,"$19,732 ",86.7,2017
22,Ridge High School,12-Sep,Bernards Township School District,"1,898",1.70%,"$10,069 ",86.4,2017
23,Science Park High School,12-Jul,Newark Public School District,805,70.40%,"$11,449 ",86.2,2017
24,Technology High School,12-Sep,Newark Public School District,615,87.80%,"$11,824 ",85.3,2017
25,Mountain Lakes High School,12-Sep,Mountain Lakes Public School District,714,2.90%,"$13,883 ",85.1,2017
26,West Windsor-Plainsboro High School South,12-Sep,West Windsor-Plainsboro Regional School District,"1,597",5.40%,"$12,191 ",84.2,2017
27,Montgomery High School,12-Sep,Montgomery Township School District,"1,653",4.10%,"$13,405 ",84.2,2017
28,Summit High School,12-Sep,Summit Public School District,"1,245",16.10%,"$7,246 ",84,2017
29,Millburn High School,12-Sep,Millburn Township School District,"1,457",1.70%,"$16,959 ",83.9,2017
30,Northern Valley Regional High School at Old Tappan,12-Sep,Northern Valley Regional High School District,"1,230",0.90%,"$14,765 ",83.5,2017
31,Ridgewood High School,12-Sep,Ridgewood Public School District,"1,738",1.50%,"$11,059 ",82.5,2017
32,John P. Stevens High School,12-Sep,Edison Township School District,"2,337",17.00%,"$6,666 ",82.4,2017
33,Glen Ridge High School,12-Jul,Glen Ridge Public School District,828,0.00%,"$10,966 ",81.8,2017
34,New Providence High School,12-Sep,New Providence School District,657,4.90%,"$12,987 ",81.4,2017
35,Mahwah High School,12-Sep,Mahwah Township Public School District,932,9.80%,"$12,658 ",81.2,2017
36,West Morris Central High School,12-Sep,West Morris Regional High School District,"1,298",1.30%,"$13,366 ",80.5,2017
37,Madison High School,12-Sep,Madison Public School District,837,7.20%,"$14,709 ",80,2017
38,Chatham High School,12-Sep,School District of the Chathams,"1,241",1.70%,"$9,966 ",79.3,2017
39,North Hunterdon High School,12-Sep,North Hunterdon-Voorhees Regional High School District,"1,617",2.20%,"$13,041 ",79,2017
40,Mount Olive High School,12-Sep,Mount Olive Township School District,"1,487",14.20%,"$10,202 ",78.8,2017
41,Tenafly High School,12-Sep,Tenafly Public School District,"1,161",2.60%,"$11,703 ",78.5,2017
42,Northern Valley Regional High School at Demarest,12-Sep,Northern Valley Regional High School District,"1,022",0.70%,"$15,340 ",76.9,2017
43,Haddonfield Memorial High School,12-Sep,Haddonfield School District,827,1.80%,"$8,175 ",76.6,2017
44,North Star Academy Charter School,K-12,North Star Academy Charter School,"4,490",86.90%,"$10,058 ",76.3,2017
45,Dumont High School,12-Sep,Dumont Public School District,805,9.20%,"$10,719 ",76.2,2017
46,Northern Highlands Regional High School,12-Sep,Northern Highlands Regional High School District,"1,361",0.40%,"$15,404 ",76.2,2017
47,Fair Lawn High School,12-Sep,Fair Lawn Public School District,"1,451",14.10%,"$8,865 ",75.6,2017
48,Scotch Plains-Fanwood High School,12-Sep,Scotch Plains-Fanwood School District,"1,530",6.20%,"$9,238 ",75.3,2017
49,Princeton High School,12-Sep,Princeton Public School District,"1,586",8.80%,"$11,506 ",74.5,2017
50,Hunterdon Central Regional High School District,12-Sep,Hunterdon Central Regional High School District,"3,020",6.10%,"$15,819 ",74.2,2017
