rank,school,type,grades,address,city,zip,county,district,year
1,Infinity Institute,Public,6-12,193 Old Bergen Road,Jersey City,07305,Hudson County,Jersey City Public Schools,2019
2,Sara M. Gilmore Academy,Public,1-8,1700 Kerrigan Avenue,Union City,07087,Hudson County,Union City School District,2019
3,Mendham Township Middle School,Public,5-8,16 Washington Valley Road,Brookside,07926,Morris County,Mendham Township School District,2019
4,Markham Place School,Public,5-8,95 Markham Place,Little Silver,07739,Monmouth County,Little Silver Boro School District,2019
5,Alpine Elementary School,Public,K-8,500 Hillside Avenue,Alpine,07620,Bergen County,Alpine School District,2019
6,Science Park High School,Public,7-12,260 Norfolk Street,Newark,07102,Essex County,Newark Public School District,2019
7,Forrestdale School,Public,4-8,60 Forrest Avenue,Rumson,07760,Monmouth County,Rumson Borough School District,2019
8,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2019
9,Harding Township School,Public,"PK, KG-8",34 Lees Hill Road,New Vernon,07976,Morris County,Harding Township School District,2019
10,Demarest Middle School,Public,5-8,568 Piermont Rd,Demarest,07627,Bergen County,Demarest School District,2019
11,Knollwood School,Public,4-8,224 Hance Road,Fair Haven,07704,Monmouth County,Fair Haven School District,2019
12,Brookside School,Public,4-8,100 Brookside Avenue,Allendale,07401,Bergen County,Allendale Public School District,2019
13,Robert Treat Academy Charter School,"Public, Charter",K-8,443 Clifton Avenue,Newark,07104,Essex County,Robert Treat Academy Charter School,2019
14,Hoboken Dual Language Charter School,"Public, Charter",K-8,123 Jefferson Street,Hoboken,07030,Hudson County,Hoboken Dual Language Charter School,2019
15,Woodcliff Middle School,Public,6-8,134 Woodcliff Ave,Woodcliff Lake,07677,Bergen County,Woodcliff Lake School District,2019
16,Tenakill Middle School,Public,5-8,275 High Street,Closter,07624,Bergen County,Closter Public School District,2019
17,Eugene A. Tighe Middle School,Public,5-8,7804 Amherst Avenue,Margate City,08402,Atlantic County,Margate City School District,2019
18,Millburn Middle School,Public,6-8,25 Old Short Hills Rd,Millburn,07041,Essex County,Millburn Township School District,2019
19,New Providence Middle School,Public,7-8,35 Pioneer Drive,New Providence,07974,Union County,New Providence School District,2019
20,Old Turnpike School,Public,6-8,171 Old Turnpike Road,Califon,07830,Hunterdon County,Tewksbury Township School District,2019
21,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2019
22,Emil A. Cavallini Middle School,Public,6-8,392 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2019
23,Heritage Middle School,Public,7-8,20 Foxcroft Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2019
24,Lavallette Elementary School,Public,K-8,105 Brooklyn Ave.,Lavallette,08735,Ocean County,Lavallette Borough School District,2019
25,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2019
26,East Amwell Township,Public,"PK, KG-8",43 Wertsville Rd,Ringoes,08551,Hunterdon County,East Amwell Township School District,2019
27,Tenafly Middle School,Public,6-8,10 Sunset Lane,Tenafly,07670,Bergen County,Tenafly Public School District,2019
28,Academy I,Public,6-8,209 Bergen Avenue,Jersey City,07305,Hudson County,Jersey City Public Schools,2019
29,Lawton C. Johnson Summit Middle School,Public,6-8,272 Morris Ave,Summit,07901,Union County,Summit Public School District,2019
30,Monmouth Beach Elementary School,Public,"PK, KG-8",7 Hastings Place,Monmouth Beach,07750,Monmouth County,Monmouth Beach School District,2019
31,Sea Girt Elementary School,Public,"PK, KG-8",451 Bell Place,Sea Girt,08750,Monmouth County,Sea Girt Borough School District,2019
32,Jersey City Global Charter School,"Public, Charter",K-8,255 Congress Street,Jersey City,07307,Hudson County,Jersey City Global Charter School,2019
33,Branchburg Central Middle School,Public,6-8,220 Baird Road,Branchburg,08876,Somerset County,Branchburg Township School District,2019
34,Deerfield Elementary School,Public,3-8,302 Central Avenue,Mountainside,07092,Union County,Mountainside School District,2019
35,Upper School,Public,3-8,143 Charlotte Pl,Englewood Cliffs,07632,Bergen County,Englewood Cliffs School District,2019
36,William Annin Middle School,Public,6-8,70 Quincy Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2019
37,Charles DeWolf Middle School,Public,5-8,275 Old Tappan Rd,Old Tappan,07675,Bergen County,Old Tappan Public School District,2019
38,Roosevelt Intermediate School,Public,6-8,301 Clark Street,Westfield,07090,Union County,Westfield Public School District,2019
39,Community Middle School,Public,6-8,95 Grovers Mill Road,Plainsboro,08536,Middlesex County,West Windsor-Plainsboro Regional School District,2019
